,id_recipe,name,Prep Time:,Cook Time:,Cool Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Bake Time:,Additional Time:
15,6737647,Zucchini Brownies,15 mins,25 mins,, 1 hr,24 ,1 9x13-inch pan,24,209,9g,2g,0mg,200mg,33g,2g,23g,2g,1mg,14mg,1mg,101mg,4.5,"3,108",,20 mins
16,6648734,Brooke's Best Bombshell Brownies,15 mins,35 mins,,50 mins,24 ,24 brownies,24,248,11g,7g,51mg,165mg,38g,2g,29g,3g,,15mg,1mg,103mg,4.6,"5,038",,
17,6740887,Cheesecake Brownies,15 mins,25 mins,,40 mins,24 ,24 brownies,24,187,12g,3g,34mg,102mg,20g,1g,,2g,0mg,15mg,1mg,67mg,4.5,786,,
18,6648949,Chewiest Brownies,15 mins,30 mins,,45 mins,24 ,1 9x13-inch pan,24,139,5g,3g,26mg,58mg,24g,1g,18g,2g,,9mg,1mg,68mg,4.1,678,,
19,6650894,Easy Banana Brownies,15 mins,35 mins,,50 mins,16 ,16 squares,16,151,8g,5g,27mg,85mg,19g,1g,14g,1g,1mg,14mg,1mg,73mg,4.5,98,,
20,6596816,Absolutely Best Brownies,5 mins,25 mins,,30 mins,12 ,,12,201,12g,6g,51mg,181mg,23g,1g,17g,3g,0mg,32mg,1mg,79mg,4.5,624,,
21,6585460,Egg-Free Brownies,15 mins,25 mins,,55 mins,20 ,20 brownies,20,179,5g,3g,12mg,96mg,33g,1g,,2g,,33mg,1mg,62mg,4.0,188,,15 mins
22,6578864,S'mores Brownies,15 mins,25 mins,,40 mins,20 ,20 brownies,20,252,10g,4g,4mg,131mg,40g,1g,13g,2g,0mg,31mg,1mg,73mg,4.5,372,,
23,6649383,Black Bean Brownies,10 mins,30 mins,,40 mins,16 ,16 brownies,16,126,5g,2g,35mg,129mg,18g,3g,12g,3g,1mg,18mg,1mg,139mg,4.2,902,,
24,6648702,Butterscotch Brownies,20 mins,30 mins,, 1 hr 15 mins,36 ,36 bars,36,208,10g,5g,36mg,112mg,28g,0g,,2g,,30mg,1mg,48mg,4.2,54,,25 mins
25,6593858,Fudgy Brownies,15 mins,35 mins,,50 mins,24 ,24 brownies,24,156,7g,1g,16mg,57mg,24g,1g,17g,2g,,7mg,1mg,55mg,4.0,388,,
26,6568356,Philadelphia Marble Brownies,15 mins,35 mins,,50 mins,32 ,32 brownies,32,106,5g,2g,14mg,83mg,16g,1g,2g,1g,0mg,4mg,0mg,40mg,4.7,68,,
27,6591651,Easy Brownie In A Mug,5 mins,5 mins,,10 mins,1 ,1 brownie,1,588,30g,3g,,160mg,81g,5g,51g,5g,,31mg,3mg,207mg,3.9,54,,
28,6664955,Deep-Dish Brownies,15 mins,40 mins,,55 mins,9 ,1 8-inch square pan,9,340,18g,11g,103mg,290mg,44g,2g,34g,4g,,37mg,2mg,113mg,4.5,"1,095",,
29,6650024,Brownie Mix-Black Bean Brownies,10 mins,25 mins,, 1 hr,24 ,24 servings,24,150,6g,2g,,139mg,25g,2g,4g,2g,1mg,13mg,1mg,131mg,4.7,62,,25 mins
