,id_recipe,Prep Time:,Cook Time:,Chill Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Freeze Time:,Rise Time:,Stand Time:,Cool Time:,Marinate Time:,Rest Time:,Refrigerate Time:,Other Time Time:,Bake Time:,Roast Time:,Soak Time:
36,7370170,15 mins,20 mins,,35 mins,2 ,,2,1224,70g,21g,278mg,1745mg,65g,13g,15g,91g,228mg,195mg,4mg,2526mg,5.0,4,,,,,,,,,,,
37,7254611,5 mins,5 mins,,10 mins,4 cups,,4,216,14g,8g,7mg,65mg,18g,3g,12g,4g,0mg,90mg,3mg,286mg,5.0,4,,,,,,,,,,,
38,7185428,20 mins, 3 hrs 45 mins,, 4 hrs 5 mins,4 ,,4,676,25g,10g,74mg,2329mg,83g,9g,8g,26g,47mg,116mg,5mg,2311mg,5.0,18,,,,,,,,,,,
39,7113436,20 mins, 1 hr 10 mins,, 2 hrs 30 mins,2 ,,2,691,38g,18g,351mg,2946mg,54g,2g,,36g,,,,514mg,5.0,1,,,,,,, 1 hr,,,,
40,7111885,40 mins,20 mins,, 2 hrs 15 mins,4 ,,4,430,27g,9g,153mg,996mg,17g,1g,,28g,,,,376mg,5.0,4,15 mins,,, 1 hr,,,,,,,
41,6831800,15 mins, 1 hr 10 mins,, 1 hr 35 mins,8 ,,8,730,32g,14g,131mg,1467mg,61g,5g,,46g,,,,820mg,4.5,6,,,10 mins,,,,,,,,
42,6835064,30 mins,35 mins,40 mins, 1 hr 45 mins,2 ,,2,935,72g,24g,204mg,460mg,39g,1g,,31g,,,,374mg,5.0,5,,,,,,,,,,,
43,6836099,45 mins,,, 4 hrs 10 mins,24 ,24 rolls,24,152,7g,4g,31mg,130mg,20g,1g,,3g,,,,46mg,4.7,3,, 3 hrs,,,,,,,25 mins,,
44,6891180,45 mins,,, 5 hrs 40 mins,8 ,8 pastries,8,521,22g,12g,134mg,269mg,71g,3g,,12g,,,,206mg,4.3,4, 1 hr, 3 hrs,10 mins,20 mins,,,,,25 mins,,
45,6950917,15 mins,,,1 day 1 hr 55 mins,4 ,,4,2152,196g,86g,429mg,3176mg,1g,0g,,90g,,,,1451mg,4.5,8,,,20 mins,,,,1 day,,, 1 hr 20 mins,
46,6931031,25 mins, 5 hrs 10 mins,, 5 hrs 35 mins,4 ,2 1/2 cups,4,730,60g,27g,134mg,1435mg,14g,1g,,31g,,,,698mg,5.0,3,,,,,,,,,,,
47,7090808,30 mins,35 mins,, 1 hr 5 mins,4 ,4 tartines,4,514,32g,12g,55mg,977mg,38g,6g,,20g,,,,545mg,,,,,,,,,,,,,
48,7108113,,,,,6 ,,6,451,32g,9g,144mg,601mg,9g,0g,,31g,,,,388mg,4.9,11,,,,,,,,,,,
49,7092188,20 mins,40 mins,, 1 hr 10 mins,2 ,,2,820,29g,6g,132mg,2268mg,87g,3g,,51g,,,,701mg,5.0,7,,,10 mins,,,,,,,,
