,id_recipe,Prep Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cook Time:,Yield:,Saturated Fat,Cholesterol,Additional Time:,Rise Time:,Cool Time:,Chill Time:,Bake Time:
16,6663393,30 mins, 1 hr 30 mins,8 ,8,373,19g,124mg,52g,3g,,2g,5mg,23mg,1mg,156mg,4.8,"12,640", 1 hr,1 9-inch pie,9g,31mg,,,,,
17,6650740,20 mins,30 mins,48 ,48,86,4g,60mg,12g,0g,6g,1g,,6mg,0mg,11mg,4.5,"8,598",10 mins,4 dozen,3g,14mg,,,,,
18,6650664,20 mins, 4 hrs 30 mins,24 ,24,158,6g,125mg,24g,1g,11g,2g,,26mg,1mg,133mg,4.6,380,10 mins,2 dozen cookies,4g,23mg, 4 hrs,,,,
19,6650495,15 mins, 1 hr 55 mins,8 ,8,389,21g,254mg,48g,3g,28g,5g,1mg,49mg,1mg,251mg,4.8,"3,331", 1 hr 40 mins,1 (9-inch) pie,10g,78mg,,,,,
20,6649798,40 mins, 2 hrs,8 ,8,405,27g,749mg,22g,2g,1g,18g,1mg,22mg,2mg,263mg,4.4,205,40 mins,1 9-inch pie,8g,55mg,40 mins,,,,
21,6649348,20 mins, 9 hrs 50 mins,8 ,8,377,26g,1015mg,13g,1g,4g,22g,1mg,331mg,2mg,313mg,4.6,"2,161", 1 hr 30 mins,,12g,160mg, 8 hrs,,,,
22,6575510,30 mins,45 mins,6 ,6,530,17g,703mg,82g,4g,36g,13g,3mg,296mg,4mg,348mg,4.6,363,15 mins,,10g,161mg,,,,,
23,6663266,10 mins,30 mins,15 ,15,264,19g,660mg,11g,0g,0g,13g,0mg,249mg,1mg,125mg,4.5,"1,311",20 mins,30 sausage balls,9g,49mg,,,,,
24,6663122,5 mins,40 mins,6 ,,,,,,,,,,,,,4.8,316,35 mins,3 cups,,,,,,,
25,6584371,,,8 ,8,396,18g,128mg,60g,5g,40g,4g,8mg,35mg,1mg,245mg,4.4,8,,6 to 8 - servings,7g,19mg,,,,,
26,6649257,15 mins, 1 hr,8 ,8,267,3g,143mg,60g,3g,38g,2g,5mg,39mg,1mg,306mg,4.7,522,45 mins,1 9x13-inch casserole,1g,,,,,,
27,6650351,20 mins, 4 hrs 55 mins,8 ,8,415,28g,354mg,35g,1g,,7g,1mg,63mg,2mg,148mg,4.8,"3,965",35 mins,1 (9-inch) cheesecake,14g,108mg, 4 hrs,,,,
28,6663665,25 mins, 4 hrs 45 mins,24 ,24,828,38g,756mg,15g,1g,2g,100g,0mg,71mg,4mg,922mg,4.9,532, 4 hrs,,11g,383mg,20 mins,,,,
29,6664735,15 mins,40 mins,6 ,6,353,16g,160mg,51g,3g,32g,3g,17mg,102mg,1mg,430mg,4.5,404,25 mins,,10g,43mg,,,,,
30,6664595,10 mins, 1 hr 5 mins,8 ,8,283,12g,357mg,39g,3g,26g,6g,1mg,134mg,1mg,173mg,4.8,"1,352",55 mins,1 9-inch deep-dish pie,5g,59mg,,,,,
31,6584968,40 mins, 3 hrs 20 mins,30 ,30,216,5g,133mg,37g,1g,12g,6g,0mg,29mg,2mg,78mg,4.6,58,30 mins,3 to 1 - pound loaves,2g,22mg, 2 hrs 10 mins,,,,
32,6737629,5 mins, 1 hr 15 mins,48 ,48,141,7g,41mg,21g,1g,,1g,0mg,15mg,0mg,49mg,4.5,423,10 mins,3 pounds,2g,1mg, 1 hr,,,,
33,6649916,10 mins, 1 hr 10 mins,8 ,8,277,12g,558mg,40g,2g,12g,8g,5mg,43mg,1mg,278mg,4.7,988, 1 hr,1 (2-quart) casserole,6g,138mg,,,,,
34,6664585,20 mins,55 mins,10 ,10,282,12g,238mg,41g,1g,32g,4g,1mg,38mg,1mg,97mg,4.8,448,15 mins,1 cake roll,7g,85mg,20 mins,,,,
35,6648423,5 mins,5 mins,8 ,8,176,10g,157mg,21g,1g,13g,1g,,8mg,1mg,25mg,4.7,"1,184",,1 8- or 9-inch crust,6g,23mg,,,,,
36,6663365,20 mins,30 mins,48 ,48,92,4g,55mg,12g,0g,7g,1g,,4mg,0mg,33mg,4.8,"6,978",10 mins,48 cookies,2g,13mg,,,,,
37,6664203,20 mins,35 mins,24 ,24,143,6g,147mg,21g,0g,11g,2g,0mg,13mg,1mg,71mg,4.7,"6,823",10 mins,2 dozen,1g,8mg,5 mins,,,,
38,6664094,15 mins, 8 hrs 45 mins,8 ,8,382,17g,352mg,48g,1g,32g,10g,0mg,133mg,2mg,223mg,4.7,672,30 mins,1 (9x13-inch) casserole,9g,175mg, 8 hrs,,,,
39,6649705,15 mins, 6 hrs 15 mins,6 ,6,682,47g,1183mg,53g,3g,3g,13g,4mg,168mg,4mg,336mg,4.7,"1,433",,1 bread bowl with dip,15g,48mg, 6 hrs,,,,
40,6648244,20 mins, 1 hr 35 mins,15 ,15,521,28g,1492mg,42g,1g,39g,26g,0mg,24mg,1mg,370mg,4.7,"1,533", 1 hr 15 mins,,12g,96mg,,,,,
41,6650765,5 mins, 2 hrs 5 mins,10 ,10,346,22g,1174mg,28g,0g,,10g,0mg,12mg,1mg,213mg,4.5,259, 2 hrs,,7g,50mg,,,,,
42,6599962,20 mins, 2 hrs,12 ,12,456,22g,179mg,63g,3g,35g,7g,2mg,78mg,2mg,312mg,4.8,6, 1 hr 40 mins,1 (8x3-inch) cake,11g,103mg,,,,,
43,6649043,20 mins, 3 hrs 15 mins,32 ,32,59,3g,18mg,3g,0g,0g,5g,1mg,8mg,0mg,68mg,4.7,452, 2 hrs 55 mins,8 cups,1g,15mg,,,,,
44,6649926,10 mins, 1 hr,8 ,8,434,29g,857mg,32g,3g,1g,13g,3mg,281mg,3mg,149mg,4.8,112,50 mins,1 9x13-inch casserole,18g,73mg,,,,,
45,6650775,15 mins,40 mins,60 ,60,108,6g,85mg,13g,1g,9g,1g,,7mg,0mg,39mg,4.6,538,10 mins,60 cookies,3g,14mg,15 mins,,,,
46,6648990,20 mins, 2 hrs 35 mins,48 ,48,97,4g,81mg,14g,0g,6g,1g,,10mg,1mg,16mg,4.5,"1,619",15 mins,4 dozen,1g,8mg, 2 hrs,,,,
47,6651099,,25 mins,8 ,8,170,16g,346mg,7g,0g,0g,1g,0mg,14mg,0mg,24mg,4.5,251,25 mins,,10g,45mg,,,,,
48,6650326,5 mins, 2 hrs 35 mins,20 ,20,511,30g,2172mg,19g,0g,19g,39g,2mg,26mg,2mg,546mg,4.8,930, 2 hrs 30 mins,,11g,111mg,,,,,
49,6649094,15 mins, 1 hr 5 mins,6 ,6,591,37g,1044mg,40g,4g,,25g,52mg,380mg,2mg,1034mg,4.7,500,50 mins,1 1 1/2-quart caserole,21g,108mg,,,,,
50,6650688,5 mins, 1 hr 20 mins,6 ,6,484,32g,271mg,0g,,0g,45g,0mg,12mg,3mg,763mg,4.6,498, 1 hr,,13g,138mg,15 mins,,,,
51,6649130,5 mins, 8 hrs 5 mins,24 ,24,360,20g,1425mg,18g,,18g,26g,,24mg,1mg,367mg,4.6,"1,424", 8 hrs,,7g,74mg,,,,,
52,6650681,10 mins,35 mins,12 ,12,265,18g,1136mg,15g,1g,6g,10g,17mg,275mg,1mg,193mg,4.6,"3,114",25 mins,,11g,57mg,,,,,
53,6648996,10 mins,10 mins,24 ,24,69,4g,56mg,8g,,8g,0g,,5mg,,6mg,4.8,515,,1 cup,3g,12mg,,,,,
54,6664431,5 mins, 4 hrs 45 mins,6 ,6,576,46g,880mg,1g,0g,0g,37g,0mg,24mg,4mg,539mg,4.8,"1,981", 1 hr 30 mins,,19g,137mg, 3 hrs 10 mins,,,,
55,6604880,10 mins,20 mins,8 ,8,365,18g,271mg,49g,1g,,2g,,24mg,2mg,57mg,4.3,15,10 mins,1 9-inch pie crust,8g,23mg,,,,,
56,6663299,20 mins, 2 hrs 40 mins,,,,,,,,,,,,,,4.4,44, 2 hrs,10 to 12 ornaments,,,20 mins,,,,
57,6651007,15 mins, 1 hr 30 mins,8 ,8,324,30g,32mg,6g,0g,0g,7g,4mg,9mg,3mg,92mg,4.2,25, 1 hr 15 mins,,9g,141mg,,,,,
58,6648595,10 mins, 5 hrs,18 ,18,635,40g,2848mg,14g,1g,12g,52g,,44mg,2mg,700mg,4.6,146, 4 hrs 30 mins,,14g,148mg,20 mins,,,,
59,6664601,30 mins,55 mins,20 ,20,190,13g,231mg,15g,0g,8g,3g,0mg,40mg,1mg,64mg,4.6,"1,456",25 mins,20 to 25 cream puffs,8g,77mg,,,,,
60,6579716,10 mins,25 mins,8 ,8,237,11g,87mg,35g,2g,18g,2g,,5mg,0mg,41mg,4.6,213,15 mins,8 popcorn balls,6g,23mg,,,,,
61,6664860,25 mins,35 mins,40 ,40,122,7g,119mg,14g,1g,9g,2g,,13mg,1mg,61mg,4.8,"4,520",10 mins,40 cookies,3g,11mg,,,,,
