,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Saturated Fat,Additional Time:,Cholesterol
0,6649411,10 mins,15 mins,25 mins,4 ,4,121,0g,3mg,32g,4g,27g,0g,6mg,13mg,0mg,150mg,4.8,"3,299",,,,
1,6649424,10 mins, 6 hrs 30 mins, 6 hrs 40 mins,8 ,8,151,0g,8mg,39g,3g,34g,0g,6mg,27mg,0mg,176mg,4.7,417,,,,
2,6586409,20 mins,15 mins,35 mins,4 ,4,195,0g,2mg,51g,5g,45g,1g,9mg,13mg,0mg,202mg,4.7,284,4 servings,0g,,
3,6663636,15 mins,25 mins,40 mins,20 ,20,63,0g,60mg,17g,2g,14g,0g,5mg,11mg,0mg,93mg,4.9,47,5 quarts,,,
4,6571454,10 mins,35 mins,45 mins,12 ,12,195,7g,100mg,36g,3g,22g,2g,13mg,24mg,1mg,220mg,4.8,741,12 servings,1g,,
5,6575446,5 mins,25 mins,30 mins,10 ,10,112,,2mg,29g,2g,26g,0g,7mg,7mg,0mg,76mg,4.9,24,,,,
6,6569951,15 mins,,15 mins,16 ,16,107,0g,5mg,28g,3g,24g,0g,5mg,20mg,0mg,132mg,4.5,13,16 servings,,,
7,6605101,10 mins,20 mins,45 mins,6 ,6,123,0g,5mg,32g,3g,24g,0g,6mg,9mg,0mg,148mg,5.0,13,,,15 mins,
8,6575891,30 mins,25 mins,55 mins,10 ,10,179,0g,3mg,47g,6g,39g,1g,13mg,17mg,0mg,252mg,4.6,27,10 servings,0g,,
9,6578614,10 mins, 4 hrs, 4 hrs 10 mins,16 ,16,76,0g,2mg,20g,4g,15g,0g,7mg,16mg,0mg,156mg,4.7,73,,0g,,
10,6664895,15 mins,20 mins,35 mins,8 ,8,160,0g,8mg,42g,5g,34g,1g,10mg,24mg,0mg,237mg,4.8,39,8 servings,0g,,
11,6561461,10 mins,20 mins,30 mins,6 ,6,119,0g,2mg,31g,5g,25g,1g,10mg,13mg,0mg,178mg,4.3,7,6 servings,,,
12,6591622,15 mins,15 mins,45 mins,30 ,30,28,0g,40mg,8g,1g,6g,0g,5mg,8mg,0mg,57mg,5.0,4,3 3/4 cups,,15 mins,
13,6563652,10 mins,25 mins, 1 hr 35 mins,32 ,32,78,1g,7mg,18g,1g,16g,0g,14mg,7mg,0mg,74mg,,,32 servings,1g, 1 hr,2mg
14,6565292,20 mins,40 mins, 9 hrs,32 ,32,140,0g,4mg,36g,3g,32g,0g,13mg,21mg,0mg,109mg,4.8,24,8 cups,, 8 hrs,
15,6597418,20 mins,25 mins,45 mins,12 ,12,105,0g,3mg,26g,4g,21g,1g,37mg,49mg,0mg,290mg,5.0,6,6 cups,0g,,
16,6599418,10 mins,13 mins,38 mins,12 ,12,70,0g,2mg,19g,4g,13g,0g,6mg,11mg,0mg,144mg,5.0,1,12 servings,,15 mins,
17,6602740,15 mins,35 mins,50 mins,12 ,12,135,0g,3mg,36g,3g,32g,1g,23mg,20mg,0mg,222mg,4.8,8,6 cups,0g,,
18,6599370,15 mins,35 mins,50 mins,12 ,12,69,0g,2mg,18g,4g,13g,0g,5mg,17mg,0mg,128mg,4.0,1,3 cups,,,
19,6580265,15 mins,35 mins, 12 hrs 50 mins,4 ,4,223,0g,6mg,60g,6g,37g,1g,33mg,28mg,1mg,366mg,,,4 servings,, 12 hrs,
20,6565671,30 mins,45 mins, 1 hr 15 mins,24 ,24,150,4g,2mg,31g,3g,26g,1g,14mg,14mg,0mg,124mg,4.5,15,5 cups,0g,,
21,6576272,15 mins,20 mins,35 mins,16 ,16,87,0g,4mg,22g,2g,19g,0g,4mg,18mg,0mg,112mg,,,16 servings,,,
22,6592455,10 mins, 6 hrs, 6 hrs 10 mins,10 ,10,117,0g,5mg,31g,4g,26g,1g,14mg,22mg,1mg,193mg,4.0,1,10 servings,,,
23,6572401,10 mins,30 mins,50 mins,14 ,14,130,3g,28mg,26g,2g,23g,0g,2mg,23mg,0mg,127mg,,,3 1/2 cups,2g,10 mins,9mg
24,6585049,10 mins,30 mins, 2 hrs 10 mins,12 ,12,117,0g,3mg,30g,4g,24g,1g,9mg,25mg,0mg,162mg,,,4 to 5 cups,0g, 1 hr 30 mins,
25,6565954,15 mins,,2 days 15 mins,20 ,20,106,4g,1mg,18g,2g,15g,1g,12mg,14mg,0mg,91mg,4.4,9,20 servings,0g,2 days,
26,6563846,10 mins,20 mins,30 mins,12 ,12,119,0g,26mg,31g,2g,27g,0g,8mg,6mg,0mg,71mg,5.0,4,12 servings,,,
27,6576618,10 mins,25 mins,35 mins,6 ,6,105,0g,35mg,26g,3g,20g,1g,5mg,30mg,0mg,157mg,4.0,1,6 servings,0g,,
28,6565604,5 mins,,5 mins,12 ,12,190,0g,40mg,49g,3g,25g,0g,2mg,8mg,0mg,89mg,4.7,6,12 servings,,,
29,6562226,15 mins, 3 hrs, 11 hrs 15 mins,12 ,12,170,0g,171mg,42g,3g,31g,0g,16mg,18mg,0mg,79mg,4.3,6,12 servings,, 8 hrs,
30,6562310,10 mins,20 mins,30 mins,8 ,8,65,0g,1mg,17g,3g,12g,0g,8mg,7mg,0mg,80mg,3.6,5,8 servings,,,
31,6582538,15 mins,30 mins,45 mins,8 ,8,186,0g,5mg,49g,4g,43g,1g,8mg,13mg,0mg,186mg,4.6,149,4 cups plus,,,
32,6565305,10 mins,,10 mins,2 ,2,132,0g,2mg,35g,7g,23g,1g,10mg,19mg,0mg,271mg,,,2 servings,,,
33,6562829,5 mins,20 mins,25 mins,4 ,4,95,0g,4mg,25g,5g,18g,1g,10mg,21mg,0mg,157mg,,,4 servings,0g,,
