,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Yield:
0,6664867,10 mins,10 mins,20 mins,4 ,4,247,10g,2g,51mg,804mg,34g,1g,9g,7g,0mg,183mg,2mg,142mg,4.2,"1,902",,
1,6664591,20 mins,10 mins, 4 hrs 30 mins,10 ,10,390,19g,3g,8mg,529mg,49g,3g,16g,7g,13mg,21mg,2mg,134mg,4.4,"2,821", 4 hrs,
2,6664511,15 mins,20 mins,35 mins,8 ,8,383,16g,5g,39mg,322mg,57g,1g,34g,4g,2mg,95mg,2mg,73mg,4.6,"15,004",,8 large muffins
3,6663850,15 mins, 1 hr, 1 hr 15 mins,12 ,12,229,9g,5g,51mg,223mg,35g,2g,14g,4g,4mg,20mg,1mg,204mg,4.6,"16,411",,1 9x5-inch loaf
4,6663818,15 mins, 1 hr 15 mins, 2 hrs,6 ,6,423,32g,7g,97mg,662mg,1g,0g,1g,31g,0mg,28mg,2mg,305mg,4.7,"4,102",30 mins,
5,6663152,15 mins,40 mins, 1 hr 15 mins,24 ,24,255,13g,2g,23mg,180mg,32g,1g,19g,3g,2mg,26mg,1mg,74mg,4.8,"11,505",20 mins,2 (8x4-inch) loaves
6,6663137,20 mins,10 mins,30 mins,12 ,12,394,23g,5g,31mg,209mg,42g,3g,37g,12g,,23mg,1mg,291mg,4.4,"1,823",,1 dozen
7,6650861,15 mins, 1 hr 30 mins, 1 hr 45 mins,10 ,10,152,9g,2g,37mg,68mg,4g,1g,2g,13g,3mg,24mg,1mg,227mg,4.5,299,,
8,6650488,15 mins,,15 mins,4 ,4,262,22g,3g,,596mg,18g,11g,3g,4g,26mg,35mg,1mg,866mg,4.8,"7,609",,
9,6650318,10 mins,15 mins,25 mins,5 ,5,379,16g,9g,113mg,899mg,48g,1g,9g,10g,0mg,267mg,3mg,196mg,4.5,"3,973",,10 to 12 waffles
10,6650035,10 mins,20 mins,30 mins,4 ,4,216,9g,5g,111mg,235mg,26g,1g,2g,7g,0mg,56mg,2mg,115mg,4.6,"4,162",,8 crêpes
11,6649033,5 mins,15 mins,20 mins,8 ,8,158,6g,3g,38mg,504mg,22g,1g,4g,5g,0mg,140mg,1mg,92mg,4.6,"18,725",,
12,6648200,10 mins,25 mins,35 mins,12 ,12,187,6g,3g,29mg,275mg,32g,1g,17g,3g,3mg,25mg,1mg,146mg,4.8,"4,931",,12 muffins
13,6650609,5 mins,15 mins,20 mins,4 ,4,188,18g,8g,31mg,525mg,5g,2g,2g,3g,7mg,36mg,8mg,247mg,4.6,"1,785",,
14,6648238,20 mins, 8 hrs 20 mins, 8 hrs 40 mins,8 ,8,540,31g,12g,147mg,272mg,18g,3g,2g,46g,18mg,47mg,6mg,1173mg,4.6,"2,411",,
15,6648446,15 mins,25 mins,40 mins,12 ,12,134,12g,6g,28mg,315mg,3g,1g,0g,4g,3mg,88mg,0mg,54mg,4.7,"3,106",,
16,6664138,30 mins,30 mins, 1 hr,4 ,4,329,2g,1g,53mg,22mg,67g,3g,1g,10g,7mg,23mg,3mg,397mg,4.3,664,,
17,6663486,10 mins,10 mins,50 mins,4 ,4,200,8g,1g,51mg,945mg,4g,0g,2g,27g,13mg,29mg,1mg,584mg,4.7,"1,214",30 mins,
18,6649845,10 mins, 1 hr, 1 hr 20 mins,10 ,10,291,16g,8g,30mg,295mg,36g,1g,,3g,0mg,25mg,1mg,66mg,4.8,"10,288",10 mins,1 9x5-inch loaf
19,6650088,10 mins,40 mins, 3 hrs,12 ,12,174,5g,1g,,195mg,27g,1g,2g,4g,,6mg,2mg,46mg,4.7,"3,722", 2 hrs 10 mins,1 loaf
20,6649717,15 mins,20 mins,35 mins,12 ,12,249,10g,3g,17mg,233mg,38g,1g,20g,4g,,96mg,2mg,94mg,4.0,"1,557",,1 dozen
21,6663335,10 mins,50 mins, 1 hr,24 ,24,263,10g,2g,31mg,305mg,41g,1g,26g,3g,1mg,14mg,1mg,69mg,4.8,"10,302",,2 (9x5-inch) loaves
22,6664641,15 mins,20 mins,45 mins,4 ,4,481,41g,13g,94mg,1369mg,6g,1g,0g,22g,2mg,44mg,2mg,308mg,4.8,"1,325",10 mins,
23,6663567,10 mins,,40 mins,16 ,16,45,4g,1g,,2mg,3g,2g,1g,1g,5mg,7mg,0mg,152mg,4.6,"1,063",30 mins,2 cups
24,6649875,15 mins,40 mins, 1 hr 5 mins,15 ,15,378,15g,3g,1mg,746mg,57g,1g,,5g,,52mg,2mg,133mg,4.7,"2,234",10 mins,1 tube pan
25,6739313,10 mins,25 mins,35 mins,12 ,12,182,6g,1g,17mg,233mg,30g,1g,14g,3g,,97mg,1mg,59mg,4.5,"1,259",,1 dozen
26,6648351,10 mins,15 mins, 2 hrs 25 mins,6 ,6,318,20g,3g,56mg,1092mg,13g,0g,12g,21g,3mg,27mg,1mg,389mg,4.8,"5,577", 2 hrs,
27,6650741,15 mins,45 mins, 1 hr,20 ,20,172,8g,3g,16mg,269mg,23g,1g,3g,4g,0mg,53mg,1mg,56mg,4.5,"1,652",,1 (1 1/2-pound) loaf
28,6649705,15 mins,, 6 hrs 15 mins,6 ,6,682,47g,15g,48mg,1183mg,53g,3g,3g,13g,4mg,168mg,4mg,336mg,4.7,"1,433", 6 hrs,1 bread bowl with dip
29,6648752,10 mins,20 mins,30 mins,12 ,12,123,3g,1g,48mg,230mg,19g,1g,3g,5g,,77mg,2mg,81mg,4.6,"4,614",,
30,6649095,10 mins,5 mins,15 mins,4 ,4,53,4g,1g,,2mg,4g,2g,2g,3g,6mg,27mg,2mg,229mg,4.7,878,,
31,6650121,10 mins,20 mins, 1 hr,4 ,4,265,12g,3g,67mg,633mg,14g,0g,12g,23g,5mg,30mg,1mg,473mg,4.7,"5,742",30 mins,
32,6650503,10 mins,10 mins,20 mins,4 ,4,4263,455g,30g,0mg,268mg,57g,1g,33g,3g,0mg,13mg,2mg,37mg,4.4,830,,
33,6650039,15 mins,15 mins,35 mins,8 ,8,319,16g,9g,60mg,249mg,41g,1g,15g,5g,0mg,58mg,2mg,143mg,4.9,"3,016",5 mins,8 scones
34,6740965,15 mins,15 mins,30 mins,12 ,12,168,7g,1g,16mg,262mg,26g,4g,9g,4g,0mg,58mg,2mg,166mg,4.8,"1,849",,12 muffins
35,6649532,15 mins,30 mins,45 mins,9 ,9,284,12g,7g,59mg,318mg,39g,1g,17g,5g,0mg,45mg,2mg,98mg,4.8,"7,468",,1 8x8-inch pan
36,6648670,15 mins,20 mins,35 mins,12 ,12,200,8g,1g,17mg,296mg,30g,2g,12g,4g,2mg,72mg,1mg,137mg,4.5,"1,589",,12 muffins
37,6650159,20 mins,10 mins,30 mins,60 ,60,61,3g,1g,3mg,60mg,9g,0g,,1g,,4mg,0mg,27mg,4.8,"1,226",,60 cookies
38,6648710,20 mins,15 mins, 3 hrs,12 ,12,502,19g,9g,64mg,388mg,77g,2g,43g,8g,0mg,76mg,3mg,148mg,4.8,"7,927", 2 hrs 25 mins,12 rolls
39,6648518,25 mins,25 mins, 2 hrs 50 mins,36 ,36,134,2g,1g,4mg,207mg,26g,2g,5g,4g,,8mg,1mg,76mg,4.8,"2,536", 2 hrs,3 loaves
40,6737797,10 mins,5 mins,15 mins,4 ,4,32,1g,1g,3mg,160mg,4g,2g,2g,3g,6mg,33mg,2mg,231mg,4.6,137,,
41,6736714,30 mins,45 mins, 1 hr 25 mins,16 ,16,603,34g,9g,229mg,571mg,2g,0g,0g,69g,1mg,52mg,5mg,926mg,4.8,88,10 mins,
42,6664086,5 mins,25 mins,30 mins,4 ,4,172,4g,2g,46mg,354mg,7g,3g,,25g,61mg,81mg,1mg,497mg,4.5,"1,256",,
43,6737982,10 mins,15 mins,25 mins,2 ,2,213,11g,2g,67mg,1850mg,8g,3g,0g,24g,48mg,117mg,2mg,663mg,4.4,427,,
