,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Servings:,Servings Per Recipe,Rise Time:,Yield:,Cool Time:,Additional Time:
10,7496725,Tavern Pizza,10 mins,10 mins, 1 hr 50 mins,325,14g,5g,29mg,976mg,38g,2g,6g,13g,28mg,165mg,3mg,272mg,,,4 servings,4, 1 hr 30 mins,1 (12-inch) pizza,,
11,7483839,Pizza Bombs,15 mins,15 mins,30 mins,301,17g,8g,29mg,859mg,28g,1g,5g,8g,2mg,94mg,2mg,183mg,,,8 servings,8,,,,
12,7480222,Bread and Butter Pizza,10 mins,20 mins,30 mins,321,24g,13g,66mg,632mg,14g,1g,2g,12g,3mg,250mg,1mg,178mg,4.7,15,6 ,6,,6 bread and butter pizza slices,,
13,7369199,Chicken Parmesan Pizza,5 mins,18 mins,23 mins,4455,105g,17g,38mg,7719mg,746g,31g,17g,117g,1mg,328mg,45mg,1457mg,4.3,3,4 servings,4,,,,
14,7368465,Pizza Dough Breadsticks,5 mins,20 mins,25 mins,287,11g,4g,15mg,439mg,41g,2g,1g,6g,0mg,16mg,3mg,80mg,4.0,1,4 ,4,,,,
15,6583633,Lasagna Flatbread,25 mins,15 mins,40 mins,602,37g,16g,134mg,1679mg,31g,11g,6g,44g,3mg,683mg,2mg,537mg,4.5,42,6 ,6,,6 servings,,
16,6738665,Easy Tortilla Pizza,10 mins,10 mins,20 mins,833,43g,13g,201mg,1024mg,37g,5g,5g,71g,57mg,393mg,6mg,841mg,4.8,61,1 ,1,,1 tortilla pizza,,
17,6739222,Veggie Pizza,25 mins,10 mins, 1 hr 40 mins,196,13g,8g,36mg,359mg,16g,2g,1g,5g,18mg,56mg,1mg,124mg,4.7,522,16 ,16,,1 pizza,, 1 hr 5 mins
18,6571277,BBQ Chicken Pizza,20 mins,15 mins,35 mins,385,16g,9g,58mg,1666mg,38g,2g,9g,23g,3mg,24mg,1mg,94mg,4.5,430,8 ,8,,1 (12-inch) pizza,,
19,7255338,Puff Pastry Margherita Pizza,15 mins,18 mins,33 mins,194,14g,5g,57mg,314mg,8g,1g,2g,10g,10mg,194mg,1mg,213mg,4.6,5,6 servings,6,,,,
20,7104308,Hawaiian Pizza,20 mins,20 mins,45 mins,322,14g,5g,32mg,844mg,34g,1g,,14g,,,,72mg,4.5,6,8 ,8,,1 (12-inch) pizza,,5 mins
21,6889025,Air Fryer Pizza,15 mins,8 mins,23 mins,966,36g,16g,105mg,2660mg,101g,3g,,55g,,,,158mg,3.0,1,2 ,2,,2 personal pizzas,,
22,6824198,Cowboy Pizza,10 mins,15 mins,25 mins,885,51g,23g,134mg,2225mg,60g,4g,,48g,,,,314mg,4.5,2,4 ,4,,,,
23,6747232,Mushroom Pizza,20 mins,25 mins,45 mins,714,35g,13g,63mg,1495mg,64g,4g,,35g,,,,483mg,5.0,4,4 ,4,,1 (14-inch) pizza,,
24,6746960,Spinach-Artichoke Garlic Naan Pizza,15 mins,10 mins,25 mins,301,19g,4g,20mg,493mg,23g,5g,,12g,,,,162mg,5.0,4,3 ,3,,,,
25,6648965,Fast English Muffin Pizzas,10 mins,10 mins,20 mins,327,14g,7g,45mg,839mg,30g,1g,2g,21g,3mg,554mg,1mg,70mg,4.6,294,4 ,4,,8 pizzas,,
26,6738734,Mexican Pizza,20 mins,25 mins,45 mins,370,19g,10g,56mg,848mg,32g,5g,3g,20g,10mg,324mg,3mg,452mg,4.6,643,8 ,8,,2 Mexican pizzas,,
27,6649786,Vegetable Pizza,15 mins,15 mins, 1 hr 45 mins,467,39g,14g,58mg,741mg,21g,1g,4g,9g,24mg,111mg,2mg,198mg,4.6,320,12 ,12,,1 pizza,, 1 hr 15 mins
28,6574061,Pita Pizza,5 mins,10 mins,15 mins,158,6g,3g,13mg,514mg,20g,2g,1g,8g,5mg,165mg,1mg,165mg,4.5,68,12 ,12,,6 pizzas,,
29,6568963,Homemade Pepperoni Pizza,20 mins,20 mins,40 mins,590,29g,10g,48mg,1408mg,60g,3g,6g,20g,0mg,168mg,3mg,104mg,4.8,60,6 ,6,,2 12-inch pizzas,,
30,6588932,Breakfast Pizza,15 mins,35 mins,50 mins,340,22g,9g,165mg,811mg,16g,0g,3g,21g,2mg,168mg,2mg,314mg,4.3,64,8 ,8,,1 12-inch pizza,,
31,6737818,Pizza on the Grill,45 mins,15 mins, 3 hrs,212,11g,3g,11mg,399mg,22g,1g,1g,6g,3mg,82mg,2mg,95mg,4.7,456,16 ,16,,2 pizzas,, 2 hrs
32,6738978,Brick-Oven Pizza (Brooklyn Style),30 mins,10 mins, 16 hrs 45 mins,145,5g,2g,7mg,213mg,19g,1g,0g,6g,1mg,91mg,1mg,56mg,4.8,213,16 ,16,,2 14-inch pizzas,, 16 hrs 5 mins
33,6651076,Pesto Pizza,10 mins,10 mins,20 mins,394,20g,8g,36mg,937mg,39g,3g,4g,17g,17mg,282mg,1mg,164mg,4.7,210,6 ,6,,,,
34,6577103,Mike's Homemade Pizza,35 mins,20 mins, 1 hr 50 mins,174,6g,3g,14mg,370mg,21g,1g,,8g,3mg,177mg,2mg,169mg,4.5,181,16 ,16,,2 12-inch pizzas,,55 mins
35,6649923,Mexican Fiestada for School Lunch,10 mins,20 mins,30 mins,511,20g,9g,55mg,1748mg,56g,2g,8g,23g,3mg,268mg,4mg,96mg,4.5,6,4 ,4,,2 small pizzas,,
