,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:
0,6664647,15 mins,40 mins,5 mins, 1 hr,4 ,4,392,25g,6g,96mg,1073mg,14g,3g,7g,30g,14mg,81mg,4mg,715mg,4.7,305,
1,6650606,10 mins, 6 hrs,, 6 hrs 10 mins,4 ,4,364,9g,2g,69mg,1200mg,42g,8g,25g,31g,30mg,103mg,4mg,1448mg,4.4,244,4 chicken breast halves
2,6736715,,,,,8 ,8,670,38g,10g,170mg,423mg,29g,2g,3g,47g,23mg,40mg,4mg,601mg,4.4,613,4 servings
3,6585307,30 mins, 1 hr,20 mins, 1 hr 50 mins,6 ,6,631,26g,6g,117mg,1457mg,55g,8g,10g,44g,43mg,96mg,7mg,998mg,4.6,9,6 servings
4,6575898,15 mins, 1 hr 5 mins,, 1 hr 20 mins,4 ,4,520,29g,6g,117mg,1084mg,21g,4g,9g,35g,22mg,119mg,8mg,695mg,4.9,25,4 servings
5,6739280,20 mins, 1 hr 30 mins,, 1 hr 50 mins,6 ,6,513,29g,7g,149mg,401mg,11g,3g,6g,50g,89mg,54mg,3mg,783mg,4.7,265,6 servings
6,6739328,15 mins, 9 hrs,, 9 hrs 15 mins,6 ,6,261,6g,2g,63mg,590mg,24g,5g,14g,27g,38mg,53mg,2mg,787mg,4.0,916,6 servings
7,6579134,15 mins,15 mins,,30 mins,6 ,6,172,4g,1g,43mg,1081mg,15g,4g,9g,19g,55mg,80mg,4mg,781mg,4.8,4,6 servings
8,6605453,15 mins,20 mins,5 mins,40 mins,6 ,6,320,10g,2g,65mg,1218mg,30g,3g,6g,27g,36mg,73mg,4mg,643mg,4.5,13,
9,6569778,30 mins,40 mins,, 1 hr 10 mins,6 ,6,329,8g,2g,76mg,836mg,38g,3g,2g,25g,11mg,113mg,3mg,327mg,4.5,71,6 servings
10,6596335,5 mins,15 mins,,20 mins,2 ,2,240,6g,1g,119mg,221mg,9g,3g,4g,38g,37mg,64mg,3mg,652mg,4.1,87,
11,6582308, 1 hr, 1 hr 35 mins,, 2 hrs 35 mins,12 ,12,655,21g,5g,114mg,598mg,73g,7g,9g,40g,39mg,117mg,7mg,936mg,4.6,32,12 servings
12,6598288,30 mins,35 mins,5 mins, 1 hr 10 mins,6 ,6,279,13g,3g,62mg,1283mg,13g,3g,6g,23g,68mg,55mg,13mg,620mg,4.9,21,6 servings
13,6573202,15 mins, 1 hr 55 mins,15 mins, 2 hrs 25 mins,6 ,6,875,38g,11g,175mg,933mg,68g,5g,8g,54g,38mg,119mg,9mg,918mg,4.6,109,6 servings
14,6738653,15 mins,50 mins,, 1 hr 5 mins,6 ,6,289,12g,3g,69mg,295mg,13g,3g,8g,22g,25mg,83mg,5mg,562mg,4.6,157,6 servings
15,6599785,,,,,5 ,5,1248,91g,25g,319mg,1905mg,16g,2g,6g,80g,16mg,112mg,7mg,1145mg,4.3,26,4 servings
16,6663531,25 mins,50 mins,, 1 hr 15 mins,8 ,8,557,38g,10g,171mg,318mg,5g,1g,,44g,,,,643mg,5.0,1,8 servings
17,6575017,15 mins,,25 mins,40 mins,4 ,,,,,,,,,,,,,,,4.8,5,4 servings
18,6602151,15 mins,25 mins,,40 mins,6 ,6,556,18g,4g,64mg,521mg,67g,12g,2g,26g,36mg,39mg,3mg,395mg,4.5,4,6 servings
19,6585558,30 mins,55 mins,, 1 hr 25 mins,8 ,8,587,30g,8g,146mg,543mg,24g,3g,6g,51g,31mg,79mg,5mg,936mg,4.9,8,8 servings
20,6581372,15 mins, 1 hr,, 1 hr 15 mins,6 ,6,528,29g,7g,115mg,844mg,26g,4g,4g,41g,23mg,66mg,4mg,839mg,4.3,15,6 servings
21,6648240,20 mins, 8 hrs, 8 hrs, 16 hrs 20 mins,10 ,10,278,2g,1g,53mg,638mg,31g,4g,,24g,,,,886mg,,,10 servings
22,6663604,20 mins, 1 hr 45 mins,, 2 hrs 5 mins,4 ,4,1093,63g,17g,377mg,975mg,32g,8g,,89g,,,,2189mg,5.0,3,4 servings
23,6594233,30 mins, 1 hr 54 mins,, 2 hrs 24 mins,8 ,8,342,17g,3g,31mg,271mg,35g,6g,7g,15g,53mg,76mg,3mg,958mg,,,8 servings
24,6570269,20 mins, 6 hrs 18 mins,, 6 hrs 38 mins,6 ,6,372,16g,3g,67mg,1061mg,21g,5g,8g,29g,67mg,171mg,5mg,724mg,3.0,1,6 main-dish servings
25,6664941,10 mins,55 mins,, 1 hr 5 mins,4 ,4,724,41g,9g,146mg,1180mg,50g,7g,,38g,,,,1154mg,5.0,1,4 servings
26,6650946,20 mins,15 mins,,35 mins,8 ,8,663,26g,9g,107mg,1335mg,56g,5g,,48g,,,,758mg,,,8 sandwiches
27,6650212,10 mins, 1 hr 45 mins,, 1 hr 55 mins,10 ,10,250,5g,3g,38mg,1736mg,35g,2g,,15g,,,,406mg,,,10 servings
