,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Yield:,Cool Time:,Chill Time:,Stand Time:,Freeze Time:,Refrigerate Time:,Bake Time:,Active Time:
0,7970804,25 mins, 1 hr 15 mins, 1 hr 40 mins,12 ,12,358,15g,5g,66mg,242mg,45g,0g,30g,7g,2mg,109mg,2mg,81mg,,,,,,,,,,,
1,6597677,40 mins,40 mins, 2 hrs 25 mins,12 ,12,1019,43g,26g,186mg,455mg,155g,1g,126g,9g,0mg,136mg,2mg,210mg,4.7,88, 1 hr 5 mins,1 (3-layer) 9-inch cake,,,,,,,
2,7963451,30 mins,45 mins, 1 hr 45 mins,8 ,8,287,13g,8g,77mg,240mg,38g,2g,24g,3g,3mg,53mg,1mg,116mg,4.9,16,,,30 mins,,,,,,
3,6595315,25 mins,50 mins, 1 hr 15 mins,14 ,14,326,16g,9g,128mg,252mg,41g,0g,25g,6g,0mg,31mg,2mg,97mg,4.8,4,,1 (10-inch) cake,,,,,,,
4,7554374,15 mins,30 mins,45 mins,24 ,24,171,12g,7g,42mg,157mg,14g,1g,8g,3g,0mg,29mg,0mg,50mg,4.7,3,,24 bars,,,,,,,
5,7552490,20 mins,30 mins,50 mins,6 ,6,567,31g,19g,118mg,361mg,67g,3g,31g,7g,3mg,189mg,3mg,154mg,5.0,3,,6 shortcakes,,,,,,,
6,7554364,15 mins,40 mins,55 mins,12 ,12,474,29g,14g,88mg,324mg,52g,2g,34g,5g,3mg,119mg,2mg,176mg,4.6,8,,1 (13x9-inch) coffee cake ,,,,,,,
7,6781972,15 mins,30 mins, 1 hr 15 mins,8 ,8,407,16g,9g,85mg,327mg,63g,1g,40g,5g,1mg,30mg,1mg,72mg,4.4,24,30 mins,1 (8x4-inch) loaf cake,,,,,,,
8,7554460,40 mins,20 mins, 1 hr 50 mins,24 ,24,130,10g,6g,43mg,83mg,9g,1g,6g,2g,4mg,29mg,0mg,54mg,5.0,3,,24 cheesecake bites,20 mins,30 mins,,,,,
9,7552425,35 mins,45 mins, 1 hr 50 mins,12 ,12,279,12g,7g,46mg,213mg,40g,1g,22g,3g,3mg,43mg,1mg,79mg,,,,,30 mins,,,,,,
10,6563880,15 mins,45 mins, 1 hr,8 ,8,304,13g,8g,77mg,100mg,45g,2g,29g,4g,9mg,52mg,1mg,193mg,5.0,2,,1 (10-inch) cake,,,,,,,
11,7509612,20 mins,25 mins, 1 hr 15 mins,6 ,6,331,16g,8g,57mg,286mg,46g,1g,39g,3g,2mg,44mg,2mg,75mg,,,,,30 mins,,,,,,
12,7511366,20 mins,35 mins, 5 hrs 40 mins,8 ,8,382,29g,16g,118mg,309mg,27g,1g,20g,6g,0mg,73mg,1mg,128mg,5.0,2,,,, 4 hrs,45 mins,,,,
13,6599930,25 mins,40 mins, 1 hr 5 mins,12 ,12,302,9g,5g,22mg,245mg,54g,2g,37g,4g,10mg,82mg,1mg,165mg,4.6,10,,1 9x13-inch cake,,,,,,,
14,7507864,15 mins,50 mins, 2 hrs 10 mins,10 ,10,431,21g,12g,123mg,447mg,57g,1g,36g,6g,5mg,135mg,2mg,87mg,3.7,15,,1 loaf cake,,, 1 hr 5 mins,,,,
15,7499206,30 mins,, 3 hrs 45 mins,12 ,12,192,15g,9g,42mg,126mg,13g,1g,8g,2g,2mg,37mg,0mg,66mg,4.3,3,,12 mini cheesecakes,,,,15 mins, 3 hrs,,
16,6570741,15 mins,45 mins, 1 hr,8 ,8,227,12g,2g,123mg,245mg,24g,0g,13g,6g,,71mg,1mg,80mg,5.0,1,,1 (9-inch) chiffon cake,,,,,,,
17,6581493,20 mins,20 mins, 1 hr 10 mins,10 ,10,279,20g,12g,87mg,223mg,23g,0g,13g,3g,,68mg,1mg,52mg,3.8,113,30 mins,1 (8-inch) sponge cake,,,,,,,
18,7372948,20 mins,30 mins, 8 hrs,16 ,16,506,32g,17g,47mg,276mg,53g,5g,44g,8g,0mg,111mg,3mg,282mg,5.0,2,,1 cake,10 mins,,,, 7 hrs,,
19,6575921,30 mins,25 mins, 1 hr 25 mins,12 ,12,794,44g,13g,103mg,529mg,96g,1g,71g,7g,5mg,64mg,2mg,167mg,4.7,170,30 mins,1 (9-inch) layer cake,,,,,,,
20,6582006,15 mins,30 mins, 1 hr 10 mins,6 ,6,636,33g,10g,113mg,714mg,80g,1g,54g,6g,2mg,124mg,2mg,104mg,5.0,8,25 mins,1 (7-inch) layer cake,,,,,,,
21,7112583, 1 hr,45 mins, 3 hrs 45 mins,16 ,16,580,28g,16g,113mg,289mg,78g,1g,,7g,,,,156mg,,,,, 2 hrs,,,,,,
22,7112390,10 mins,, 1 hr 10 mins,16 ,16,333,19g,7g,60mg,448mg,40g,3g,,4g,,,,203mg,,,,,,,,,, 1 hr,
23,6567031,15 mins,20 mins,35 mins,24 ,24,97,3g,1g,8mg,127mg,17g,1g,8g,2g,,44mg,1mg,57mg,4.0,3,,24 cupcakes,,,,,,,
24,7107579, 1 hr, 1 hr, 2 hrs 30 mins,16 ,16,291,18g,10g,58mg,145mg,29g,1g,,4g,,,,112mg,5.0,4,,,30 mins,,,,,,
25,7105151,20 mins,, 2 hrs 15 mins,10 ,10,336,21g,12g,106mg,128mg,29g,2g,,9g,,,,270mg,5.0,6,,, 1 hr 30 mins,,,,,25 mins,
26,7104331,30 mins, 1 hr 30 mins, 2 hrs 10 mins,16 ,16,625,30g,19g,124mg,221mg,85g,2g,,7g,,,,132mg,4.1,7,10 mins,1 10-inch tube cake,,,,,,,
27,7104165,20 mins, 1 hr 25 mins, 3 hrs 45 mins,14 ,14,707,34g,22g,80mg,249mg,99g,3g,74g,6g,0mg,83mg,2mg,185mg,3.8,8, 2 hrs 20 mins,1 (10-inch) Bundt cake,,,,,,,
28,6649765,10 mins,45 mins,55 mins,12 ,12,398,18g,11g,41mg,237mg,60g,3g,,2g,,,,109mg,4.9,7,,1 (9x13-inch) cake,,,,,,,
29,7096822, 1 hr,40 mins, 7 hrs 40 mins,8 ,8,785,45g,25g,51mg,539mg,81g,5g,,18g,,,,455mg,5.0,1,,1 cheesecake,,, 6 hrs,,,,
30,7094876,,5 mins, 1 hr 55 mins,12 ,12,636,44g,19g,152mg,256mg,58g,4g,,9g,,,,319mg,5.0,1,,12 cupcakes, 1 hr 40 mins,,,,,25 mins,45 mins
31,6650054,45 mins,30 mins, 2 hrs 30 mins,10 ,10,781,38g,23g,156mg,368mg,103g,1g,,8g,,,,139mg,4.0,1, 1 hr 15 mins,1 sheet cake,,,,,,,
32,6741073,45 mins,20 mins, 2 hrs 30 mins,12 ,12,890,37g,20g,126mg,738mg,134g,2g,,11g,,,,394mg,4.0,1, 1 hr 25 mins,1 9-inch layer cake,,,,,,,
33,6741070,20 mins,25 mins, 1 hr 25 mins,12 ,12,916,39g,22g,150mg,406mg,139g,1g,,7g,,,,161mg,5.0,2,40 mins,1 8-inch layer cake,,,,,,,
34,6741256,30 mins,55 mins, 2 hrs 25 mins,12 ,12,518,23g,11g,87mg,415mg,79g,5g,,7g,,,,346mg,,,,, 1 hr,,,,,,
35,7089580,40 mins,, 12 hrs 40 mins,10 ,10,479,39g,24g,165mg,360mg,25g,0g,,9g,,,,126mg,4.4,9,,1 cheesecake, 2 hrs 35 mins,,,, 8 hrs 20 mins, 1 hr 5 mins,
36,6950778,40 mins,, 13 hrs 40 mins,12 ,12,730,57g,34g,255mg,438mg,45g,3g,,14g,,,,288mg,,,,1 cheesecake, 2 hrs 40 mins, 9 hrs,,,, 1 hr 20 mins,
37,6950748,40 mins,, 3 hrs 30 mins,12 ,12,966,51g,29g,163mg,488mg,122g,1g,,7g,,,,138mg,4.0,2,,1 strawberry crunch cake, 1 hr 10 mins, 1 hr,,,,40 mins,
38,6944514,30 mins,, 2 hrs 20 mins,12 ,12,1160,61g,27g,143mg,544mg,151g,3g,,7g,,,,401mg,4.0,2,,, 1 hr 10 mins,,,,,25 mins,
39,6597397,,,,14 ,14,416,19g,4g,60mg,381mg,50g,1g,36g,4g,0mg,62mg,1mg,68mg,4.7,259,,1 to 10 - inch tube pan,,,,,,,
40,6890484,15 mins,, 1 hr 5 mins,12 ,12,799,40g,15g,31mg,998mg,105g,2g,,6g,,,,83mg,,,,,10 mins,,,,,40 mins,
41,6750908,10 mins,35 mins,45 mins,9 ,9,221,8g,1g,,310mg,35g,1g,,2g,,,,31mg,4.5,2,,1 8x8-inch cake,,,,,,,
42,6599556,10 mins,45 mins, 1 hr 25 mins,14 ,14,295,9g,5g,42mg,247mg,53g,2g,27g,3g,2mg,83mg,2mg,147mg,4.7,324,30 mins,1 9x13-inch cake,,,,,,,
43,6747593,,,,12 ,12,554,28g,17g,94mg,207mg,83g,12g,,11g,,,,619mg,4.8,4,,12 cupcakes,,,,,,,
44,6753202, 1 hr,, 4 hrs,12 ,12,889,52g,24g,134mg,601mg,103g,5g,,9g,,,,269mg,,,,1 chocolate chestnut cake, 1 hr 10 mins, 1 hr 30 mins,,,,20 mins,
45,6588940,5 mins,,20 mins,12 ,12,225,22g,14g,82mg,23mg,6g,,5g,1g,0mg,39mg,,46mg,4.7,6,15 mins,3 cups,,,,,,,
46,6663337,10 mins,30 mins,40 mins,12 ,12,209,9g,5g,52mg,142mg,29g,0g,17g,3g,,61mg,1mg,47mg,4.2,"4,237",,1 9-inch square cake,,,,,,,
47,6650992,15 mins,30 mins, 1 hr,24 ,24,280,14g,8g,82mg,87mg,35g,0g,28g,6g,1mg,139mg,1mg,173mg,4.4,"1,856",15 mins,1 9x13-inch cake,,,,,,,
48,6648349,5 mins,2 mins,7 mins,1 ,1,603,30g,3g,4mg,470mg,82g,4g,53g,7g,0mg,73mg,3mg,270mg,4.5,"2,101",,,,,,,,,
49,6583611,30 mins, 1 hr, 1 hr 30 mins,16 ,16,509,26g,15g,132mg,288mg,65g,1g,40g,7g,2mg,92mg,2mg,104mg,4.6,128,,1 (10-inch) pound cake,,,,,,,
50,6650151,20 mins,30 mins, 1 hr,24 ,24,157,6g,1g,16mg,217mg,26g,1g,17g,2g,,36mg,1mg,73mg,4.7,"4,377",10 mins,1 2 layer (9-inch) cake,,,,,,,
51,6595327,30 mins, 1 hr, 1 hr 30 mins,8 ,8,847,36g,22g,172mg,319mg,130g,3g,84g,7g,0mg,126mg,2mg,319mg,,,,,,,,,,,
