,id_recipe,name,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cholesterol,Yield:
0,6663120,Jamie's Sweet and Easy Corn on the Cob,5 mins,5 mins,10 mins,20 mins,6 ,6,94,1g,0g,14mg,22g,2g,7g,3g,7mg,2mg,1mg,246mg,4.8,520,,
1,6650861,Homemade Chicken Soup,15 mins, 1 hr 30 mins,, 1 hr 45 mins,10 ,10,152,9g,2g,68mg,4g,1g,2g,13g,3mg,24mg,1mg,227mg,4.5,299,37mg,
2,6649199,Roasted Pork Loin,20 mins, 1 hr 30 mins,, 1 hr 50 mins,8 ,8,300,21g,6g,58mg,1g,0g,,23g,1mg,29mg,1mg,428mg,4.5,"1,377",71mg,1 pork loin
3,6649411,Sarah's Homemade Applesauce,10 mins,15 mins,,25 mins,4 ,4,121,0g,,3mg,32g,4g,27g,0g,6mg,13mg,0mg,150mg,4.8,"3,300",,
4,6649117,Homemade Crispy Hash Browns,20 mins,15 mins,,35 mins,4 ,4,183,7g,1g,25mg,26g,3g,2g,5g,22mg,24mg,2mg,496mg,4.5,"1,206",47mg,4 servings
5,6649729,Perfect Summer Fruit Salad,25 mins,5 mins, 3 hrs, 3 hrs 30 mins,10 ,10,155,1g,0g,5mg,39g,5g,29g,2g,94mg,45mg,1mg,451mg,4.6,583,,
6,6664138,Gnocchi,30 mins,30 mins,, 1 hr,4 ,4,329,2g,1g,22mg,67g,3g,1g,10g,7mg,23mg,3mg,397mg,4.3,665,53mg,
7,6650983,Easy Roasted Broccoli,10 mins,20 mins,,30 mins,4 ,4,63,4g,1g,71mg,7g,3g,2g,3g,87mg,46mg,1mg,310mg,4.7,154,,
8,6649095,Grilled Asparagus,10 mins,5 mins,,15 mins,4 ,4,53,4g,1g,2mg,4g,2g,2g,3g,6mg,27mg,2mg,229mg,4.7,878,,
9,6741038,High Temperature Eye-of-Round Roast,5 mins, 3 hrs,, 3 hrs 5 mins,6 ,6,227,13g,5g,59mg,,,,27g,,6mg,2mg,359mg,4.4,"2,415",71mg,
