,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Vitamin C
0,6741043,15 mins,40 mins,15 mins, 1 hr 10 mins,36 ,36 cookies,36,83,3g,1g,13mg,40mg,12g,0g,5g,1g,23mg,1mg,16mg,4.7,"1,122",
1,6664087,25 mins,45 mins,10 mins, 1 hr 20 mins,36 ,36 cookies,36,92,4g,1g,10mg,55mg,12g,1g,6g,2g,16mg,1mg,66mg,4.8,"1,811",0mg
2,6603503,20 mins,30 mins,30 mins, 1 hr 20 mins,12 ,1 dozen biscotti,12,294,9g,5g,51mg,257mg,50g,2g,27g,4g,35mg,2mg,51mg,4.7,52,1mg
3,6586524,25 mins,40 mins,15 mins, 1 hr 20 mins,36 ,3 dozen,36,99,5g,3g,18mg,53mg,13g,1g,7g,2g,29mg,1mg,39mg,4.6,341,
4,6580739,,,,,30 ,30 cookies,30,275,14g,6g,61mg,150mg,32g,2g,12g,6g,48mg,2mg,98mg,4.7,219,
5,6739184,15 mins, 1 hr,45 mins, 2 hrs,15 ,30 biscotti,15,200,8g,2g,31mg,81mg,29g,1g,15g,4g,45mg,1mg,85mg,4.8,75,
6,6588668,25 mins,40 mins,, 1 hr 5 mins,48 ,4 dozen,48,70,2g,0g,12mg,27mg,12g,1g,5g,1g,20mg,1mg,49mg,4.4,413,0mg
7,6589316,30 mins,50 mins,10 mins, 1 hr 30 mins,15 ,30 cookies,15,189,3g,0g,25mg,92mg,36g,1g,20g,4g,38mg,1mg,70mg,4.4,149,
8,6596225,25 mins,40 mins,30 mins, 1 hr 35 mins,30 ,30 cookies,30,138,8g,3g,25mg,89mg,16g,1g,7g,2g,18mg,1mg,48mg,4.7,435,0mg
9,6596549,15 mins,30 mins, 1 hr, 1 hr 45 mins,12 ,12 cookies,12,215,5g,3g,57mg,201mg,37g,1g,17g,4g,57mg,2mg,48mg,4.8,59,
10,6576516,20 mins,40 mins,15 mins, 1 hr 15 mins,20 ,40 cookies,20,120,4g,2g,38mg,86mg,19g,1g,9g,2g,23mg,1mg,24mg,4.6,265,
11,6582009,20 mins,30 mins,,50 mins,12 ,,12,219,5g,1g,47mg,99mg,40g,1g,21g,5g,67mg,1mg,68mg,4.6,102,1mg
12,6585811,20 mins,35 mins,,55 mins,36 ,,36,151,9g,2g,16mg,36mg,17g,1g,8g,3g,23mg,1mg,63mg,4.6,32,
13,6568416,30 mins, 1 hr 20 mins, 1 hr 30 mins, 3 hrs 20 mins,28 ,28 biscotti,28,90,3g,0g,20mg,36mg,14g,1g,6g,3g,24mg,1mg,43mg,4.4,30,
14,6579833,25 mins,40 mins,10 mins, 1 hr 15 mins,36 ,3 dozen,36,114,5g,3g,23mg,55mg,17g,0g,8g,2g,25mg,1mg,35mg,4.7,146,
15,6571959,40 mins,40 mins, 1 hr 20 mins, 2 hrs 40 mins,30 ,30 cookies,30,254,12g,6g,19mg,116mg,32g,2g,19g,7g,36mg,1mg,133mg,4.7,32,
16,6604994,20 mins,40 mins,20 mins, 1 hr 20 mins,20 ,20 biscotti,20,239,10g,4g,32mg,128mg,35g,1g,17g,4g,35mg,1mg,82mg,4.9,21,0mg
17,6581349,25 mins,35 mins, 1 hr 10 mins, 2 hrs 10 mins,15 ,30 cookies,15,342,19g,4g,37mg,87mg,40g,1g,20g,4g,31mg,2mg,86mg,4.4,20,1mg
18,6582469,30 mins,45 mins,15 mins, 1 hr 30 mins,36 ,3 dozen biscotti,36,74,1g,0g,10mg,34mg,15g,1g,7g,2g,19mg,1mg,29mg,3.9,45,0mg
19,6596869,20 mins,33 mins,7 mins, 1 hr,56 ,112 cookies,56,139,8g,4g,23mg,73mg,16g,1g,9g,2g,30mg,1mg,28mg,4.8,63,
20,6605139,30 mins, 1 hr,, 1 hr 30 mins,24 ,24 cookies,24,115,3g,1g,33mg,17mg,19g,1g,11g,3g,19mg,1mg,49mg,5.0,1,0mg
21,6569061,30 mins,45 mins,40 mins, 1 hr 55 mins,30 ,30 cookies,30,91,4g,2g,25mg,53mg,13g,1g,6g,2g,25mg,1mg,53mg,4.5,616,
22,6651171,30 mins, 1 hr, 1 hr 50 mins, 3 hrs 20 mins,18 ,18 biscotti,18,160,6g,3g,30mg,112mg,26g,1g,13g,3g,56mg,2mg,158mg,4.8,13,1mg
23,6572665,25 mins,30 mins,2 mins,57 mins,48 ,48 servings,48,92,5g,1g,12mg,84mg,11g,1g,5g,2g,11mg,0mg,20mg,3.3,3,
24,6572451,30 mins,37 mins,5 mins, 1 hr 12 mins,40 ,40 biscotti,40,103,5g,1g,14mg,61mg,15g,1g,8g,2g,21mg,1mg,57mg,4.2,11,
25,6578789,25 mins,40 mins,30 mins, 1 hr 35 mins,18 ,18 pieces,18,123,3g,1g,31mg,13mg,24g,1g,13g,2g,10mg,1mg,40mg,,,1mg
26,6585963,25 mins, 1 hr,, 1 hr 25 mins,24 ,24 biscotti,24,151,5g,2g,28mg,33mg,25g,3g,11g,3g,25mg,1mg,143mg,4.2,22,0mg
27,6601960,15 mins,35 mins,10 mins, 1 hr,40 ,40 biscotti,40,105,4g,0g,14mg,31mg,15g,1g,7g,2g,19mg,1mg,24mg,4.0,4,0mg
28,6650960,30 mins, 1 hr,55 mins, 2 hrs 25 mins,44 ,44 biscotti,44,124,6g,2g,17mg,55mg,16g,1g,7g,2g,25mg,1mg,59mg,5.0,1,0mg
29,6590530,20 mins,25 mins,25 mins, 1 hr 10 mins,60 ,5 dozen,60,146,5g,2g,40mg,89mg,22g,1g,9g,3g,42mg,1mg,39mg,4.7,23,
30,6576396,25 mins, 1 hr, 1 hr 5 mins, 2 hrs 30 mins,20 ,20 biscotti,20,135,3g,2g,25mg,94mg,25g,1g,12g,2g,29mg,1mg,75mg,4.0,1,0mg
31,6648153,30 mins,15 mins, 1 hr 30 mins, 2 hrs 15 mins,72 ,6 dozen cookies,72,91,3g,1g,11mg,79mg,13g,0g,5g,2g,30mg,1mg,23mg,5.0,1,
32,6595047,20 mins,15 mins,45 mins, 1 hr 20 mins,20 ,20 cantucci,20,146,3g,1g,25mg,60mg,29g,1g,13g,3g,35mg,1mg,45mg,4.7,3,
33,6595456,30 mins,55 mins,, 1 hr 25 mins,42 ,3 1/2 dozen,42,118,5g,3g,25mg,73mg,17g,1g,7g,2g,11mg,1mg,23mg,4.2,23,1mg
34,6591556,20 mins,55 mins, 2 hrs 10 mins, 3 hrs 25 mins,36 ,36 biscotti,36,92,2g,0g,10mg,64mg,16g,1g,6g,2g,20mg,1mg,40mg,4.4,21,0mg
35,6582897,45 mins,55 mins,20 mins, 2 hrs,12 ,2 to 2 1/2 dozen cookies,12,292,15g,6g,48mg,153mg,36g,2g,18g,6g,82mg,2mg,135mg,3.8,4,1mg
36,6588917,30 mins,40 mins, 1 hr 10 mins, 2 hrs 20 mins,12 ,12 biscotti,12,208,9g,5g,51mg,129mg,30g,1g,13g,4g,46mg,1mg,90mg,5.0,1,
37,6603634,20 mins,30 mins, 1 hr 30 mins, 2 hrs 20 mins,24 ,2 dozen cookies,24,192,9g,1g,23mg,78mg,27g,1g,9g,3g,21mg,1mg,51mg,4.7,10,
38,6583525, 1 hr,50 mins, 1 hr, 2 hrs 50 mins,32 ,32 biscotti,32,386,17g,10g,44mg,190mg,54g,2g,37g,5g,94mg,1mg,169mg,4.8,12,0mg
39,6590988,20 mins,31 mins, 3 hrs, 3 hrs 51 mins,28 ,28 to 30 biscotti,28,147,7g,1g,20mg,34mg,18g,1g,8g,3g,25mg,1mg,43mg,4.0,1,0mg
40,6572749,15 mins,46 mins,, 1 hr 1 mins,42 ,3 1/2 dozen,42,145,7g,3g,25mg,88mg,19g,1g,9g,3g,14mg,1mg,65mg,4.9,33,2mg
41,6578491,45 mins,42 mins,, 1 hr 27 mins,60 ,60 biscotti,60,99,5g,2g,9mg,55mg,12g,1g,7g,2g,12mg,1mg,96mg,4.7,7,0mg
42,6597565,20 mins,45 mins,15 mins, 1 hr 20 mins,24 ,24 biscotti,24,208,10g,5g,41mg,62mg,26g,1g,13g,3g,34mg,1mg,58mg,5.0,1,
43,6589472,,,,,18 ,3 dozen,,,,,,,,,,,,,,4.8,32,
44,6577495,25 mins,30 mins,30 mins, 1 hr 25 mins,30 ,30 biscotti,30,138,5g,3g,8mg,78mg,23g,1g,11g,3g,40mg,1mg,96mg,4.0,1,0mg
45,6605788,20 mins,50 mins,20 mins, 1 hr 30 mins,36 ,3 dozen,36,135,7g,3g,17mg,106mg,17g,1g,10g,3g,38mg,1mg,78mg,4.4,9,0mg
46,6604314,30 mins,25 mins,10 mins, 1 hr 5 mins,40 ,40 cookies,40,124,5g,2g,15mg,112mg,19g,1g,12g,2g,34mg,1mg,69mg,4.0,1,1mg
47,6604286,25 mins,50 mins,, 1 hr 15 mins,24 ,2 dozen,24,163,7g,2g,2mg,83mg,24g,2g,12g,4g,47mg,2mg,131mg,3.9,17,
