,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Additional Time:,Soak Time:
10,6584957,Baked Beans,10 mins, 1 hr, 1 hr 10 mins,6 ,6,287,7g,2g,16mg,924mg,52g,8g,23g,9g,7mg,98mg,3mg,578mg,4.7,700,,,
11,6649690,Better Baked Beans,10 mins,35 mins,45 mins,12 ,12,192,5g,2g,6mg,558mg,35g,6g,16g,7g,1mg,49mg,2mg,334mg,4.7,61,,,
12,6664749,Calico Bean Casserole,20 mins,35 mins,55 mins,6 ,6,617,26g,10g,75mg,1089mg,69g,10g,39g,28g,6mg,128mg,5mg,565mg,4.6,368,1 (9x13-inch) casserole,,
13,6594852,Slow Cooker Baked Beans Using Canned Beans,10 mins, 8 hrs, 8 hrs 10 mins,12 ,12,207,2g,1g,5mg,355mg,38g,6g,15g,10g,15mg,70mg,2mg,493mg,4.5,75,,,
14,6739108,Bacon Baked Beans,15 mins,50 mins, 1 hr 5 mins,8 ,8,254,4g,1g,8mg,893mg,52g,6g,34g,9g,5mg,67mg,2mg,456mg,4.5,76,1 (9-inch) square dish,,
15,6595192,Slow Cooker Cowboy Beans,10 mins, 3 hrs 10 mins, 3 hrs 20 mins,8 ,8,471,13g,5g,53mg,1217mg,68g,11g,35g,25g,12mg,125mg,5mg,762mg,4.7,91,,,
16,6575232,Pat's Baked Beans,15 mins, 1 hr 15 mins, 1 hr 30 mins,10 ,10,399,9g,3g,13mg,950mg,68g,10g,27g,14g,6mg,140mg,4mg,828mg,4.7,877,10 servings,,
17,6599714,4-Bean Baked Beans,15 mins, 1 hr 45 mins, 2 hrs,16 ,16,171,3g,1g,7mg,526mg,31g,5g,14g,8g,3mg,60mg,2mg,284mg,4.5,58,16 servings,,
18,6593006,Spicy Baked Beans,15 mins,55 mins, 1 hr 10 mins,12 ,12,196,2g,1g,3mg,695mg,41g,6g,22g,8g,3mg,64mg,2mg,410mg,4.9,23,12 servings,,
19,6591988,3BC (Best Baked Bean Casserole),10 mins, 1 hr, 1 hr 10 mins,6 ,6,355,8g,3g,19mg,814mg,66g,6g,47g,11g,2mg,82mg,2mg,455mg,4.7,77,6 servings,,
20,6663892,The Best Barbecue Baked Beans,15 mins, 3 hrs 5 mins, 11 hrs 20 mins,12 ,12,273,7g,2g,10mg,995mg,43g,10g,,11g,,,,769mg,4.9,13,,, 8 hrs
21,6738353,Chef John's Boston Baked Beans,15 mins, 2 hrs 30 mins, 10 hrs 45 mins,6 ,6,411,5g,1g,10mg,861mg,73g,19g,24g,21g,5mg,175mg,5mg,1288mg,4.6,88,6 servings, 8 hrs,
22,6593934,Apple Baked Beans,10 mins, 1 hr 30 mins, 1 hr 40 mins,12 ,12,385,11g,4g,23mg,971mg,65g,7g,42g,10g,6mg,111mg,3mg,557mg,4.9,30,12 servings,,
23,6590317,Slow Cooker Baked Beans,, 14 hrs, 14 hrs,8 ,8,364,12g,4g,12mg,223mg,54g,10g,21g,12g,3mg,152mg,4mg,864mg,4.2,116,8 servings,,
24,6739081,Texas Cowboy Baked Beans,15 mins, 2 hrs, 2 hrs 15 mins,12 ,12,360,12g,5g,43mg,899mg,50g,7g,28g,15g,12mg,106mg,3mg,578mg,4.7,166,12 servings,,
25,6582608,Slow Cooker Baked Beans with Ham Hock, 1 hr, 5 hrs, 6 hrs,12 ,12,363,9g,3g,26mg,368mg,54g,8g,20g,19g,3mg,141mg,5mg,924mg,4.2,174,12 servings,,
26,6574759,Betty's 3-Bean Hot Dish (a la Minnesota),10 mins, 1 hr 20 mins, 1 hr 30 mins,8 ,8,360,12g,4g,44mg,810mg,45g,8g,22g,20g,5mg,87mg,4mg,379mg,4.8,18,1 pot,,
27,6574544,Bean-Hole Beans,55 mins, 12 hrs, 13 hrs 10 mins,30 ,30,390,16g,7g,21mg,251mg,51g,10g,16g,13g,2mg,156mg,4mg,971mg,5.0,6,30 servings,15 mins,
28,6651151,Perfect BBQ Baked Beans,10 mins,30 mins,40 mins,10 ,10,330,6g,2g,28mg,1331mg,58g,7g,33g,15g,1mg,99mg,3mg,641mg,4.8,46,10 servings,,
29,6648183,Down Home Baked Beans,10 mins, 1 hr 15 mins, 1 hr 25 mins,11 ,11,484,19g,6g,28mg,884mg,72g,6g,51g,12g,2mg,88mg,2mg,489mg,4.7,378,10 to 12 servings,,
30,6739799,Bourbon and DP Baked Beans,15 mins, 3 hrs 22 mins, 3 hrs 37 mins,8 ,8,306,6g,2g,18mg,929mg,52g,6g,30g,10g,10mg,100mg,3mg,563mg,4.7,47,2 cups,,
31,6579739,Quick Instant Pot® Baked Beans,5 mins,20 mins,30 mins,6 ,6,270,6g,2g,13mg,988mg,48g,6g,29g,12g,3mg,64mg,2mg,477mg,4.7,3,6 servings,5 mins,
32,6579399,Baked Beans with Beef,15 mins, 4 hrs 15 mins, 4 hrs 30 mins,20 ,20,500,10g,4g,42mg,1514mg,80g,17g,30g,27g,10mg,206mg,7mg,1030mg,5.0,3,,,
33,6600849,Simple Baked Beans II,5 mins,25 mins,30 mins,4 ,4,527,27g,9g,39mg,1541mg,61g,10g,31g,18g,4mg,100mg,3mg,723mg,4.6,98,4 servings,,
34,6586406,Simple Slow Cooker Pinto Beans and Ham,10 mins, 8 hrs 5 mins, 9 hrs 15 mins,8 ,8,178,1g,0g,,184mg,32g,8g,2g,11g,5mg,73mg,3mg,709mg,4.0,1,, 1 hr,
35,6586055,Easy BBQ Baked Beans,10 mins, 2 hrs 15 mins, 2 hrs 25 mins,6 ,6,350,11g,4g,23mg,887mg,56g,6g,35g,10g,6mg,108mg,3mg,508mg,4.4,7,,,
36,6578046,Skillet Baked Beans,10 mins,25 mins,35 mins,8 ,8,393,6g,2g,23mg,932mg,74g,10g,42g,15g,8mg,180mg,5mg,886mg,4.8,9,,,
37,6596247,Gigantes (Greek Lima Beans),10 mins, 1 hr 50 mins, 10 hrs,8 ,8,449,28g,4g,,171mg,40g,12g,7g,13g,11mg,83mg,6mg,1181mg,4.4,84,, 8 hrs,
38,6605540,Old-Fashioned Baked Beans,15 mins, 6 hrs 20 mins, 6 hrs 35 mins,10 ,10,242,4g,1g,8mg,417mg,43g,10g,16g,11g,2mg,104mg,3mg,563mg,3.0,2,,,
39,6736631,My Big Fat Greek Baked Beans,15 mins, 1 hr 45 mins, 10 hrs,10 ,10,330,14g,3g,10mg,1004mg,39g,8g,10g,13g,7mg,84mg,1mg,258mg,4.5,17,1 casserole, 8 hrs,
40,6590492,"Baked Beans, Texas Ranger",15 mins, 1 hr, 1 hr 15 mins,6 ,6,301,6g,2g,23mg,1031mg,56g,9g,25g,11g,26mg,114mg,4mg,742mg,4.6,327,6 servings,,
41,6580820,Rancho Baked Beans,15 mins,55 mins, 1 hr 10 mins,10 ,10,298,7g,3g,34mg,961mg,46g,7g,25g,16g,9mg,93mg,3mg,482mg,4.9,7,10 servings,,
42,6592934,The Best Slow Cooker Baked Beans (Dad's Recipe),10 mins, 9 hrs, 17 hrs 10 mins,8 ,8,374,12g,4g,12mg,508mg,54g,14g,17g,14g,3mg,136mg,4mg,999mg,4.0,37,8 servings, 8 hrs,
43,6651201,Loaded Baked Beans,15 mins,40 mins,55 mins,8 ,8,282,7g,3g,18mg,914mg,39g,10g,11g,14g,13mg,85mg,1mg,311mg,5.0,2,8 servings,,
44,6738059,Sweet Barbeque Beans,30 mins, 1 hr 20 mins, 1 hr 50 mins,10 ,10,388,10g,3g,41mg,1281mg,57g,9g,29g,21g,6mg,111mg,4mg,589mg,4.6,83,10 servings,,
45,6574820,Picnic Baked Bean Casserole,10 mins, 1 hr, 1 hr 10 mins,10 ,10,219,2g,1g,6mg,723mg,45g,10g,14g,9g,4mg,81mg,3mg,429mg,4.8,5,10 servings,,
46,6590639,Erika's Baked Beans,5 mins, 1 hr 40 mins, 1 hr 45 mins,8 ,8,106,3g,1g,9mg,321mg,17g,3g,9g,5g,3mg,41mg,1mg,207mg,4.8,31,8 servings,,
47,6649176,Cola Beans,15 mins, 10 hrs, 10 hrs 15 mins,24 ,24,207,5g,2g,6mg,530mg,38g,5g,21g,7g,,53mg,2mg,325mg,3.9,67,24 servings,,
48,6604114,Vegetarian Baked Beans,10 mins, 7 hrs, 15 hrs 10 mins,10 ,10,214,1g,0g,,13mg,42g,12g,13g,11g,4mg,102mg,3mg,711mg,4.0,7,10 servings, 8 hrs,
49,6589402,Baked Meaty Beans,20 mins, 1 hr 20 mins, 1 hr 50 mins,20 ,20,326,9g,3g,30mg,968mg,46g,7g,22g,17g,4mg,80mg,3mg,491mg,4.7,37,20 servings,10 mins,
50,6598932,Western-Style Baked Beans,15 mins, 3 hrs 10 mins, 3 hrs 25 mins,32 ,32,186,10g,3g,32mg,617mg,14g,2g,7g,12g,4mg,36mg,1mg,284mg,4.5,21,1 gallon,,
