,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Dietary Fiber,Chill Time:
0,6664762,10 mins,30 mins, 1 hr 10 mins, 1 hr 50 mins,5 ,5,561,50g,29g,417mg,55mg,24g,20g,6g,1mg,109mg,1mg,116mg,4.5,557,,,
1,6586942,15 mins,55 mins, 2 hrs, 3 hrs 10 mins,2 ,2,612,51g,30g,470mg,57mg,36g,32g,6g,1mg,110mg,1mg,118mg,4.9,119,,,
2,6598074,10 mins,35 mins,10 mins,55 mins,4 ,4,466,48g,29g,368mg,53mg,17g,0g,5g,1mg,99mg,1mg,109mg,4.6,43,,,
3,6663923,,,, 3 hrs 45 mins,2 ,,,,,,,,,,,,,,4.0,2,,,
4,6648396,10 mins,35 mins, 2 hrs, 2 hrs 45 mins,7 ,7,269,15g,9g,134mg,128mg,34g,31g,2g,2mg,58mg,1mg,133mg,4.5,41,7 servings,1g,
5,6597433,20 mins,40 mins, 3 hrs 30 mins, 4 hrs 30 mins,4 ,4,368,24g,13g,306mg,88mg,31g,24g,9g,2mg,220mg,1mg,231mg,4.8,21,4 servings,0g,
6,6649900,15 mins, 1 hr 10 mins, 5 hrs, 6 hrs 25 mins,6 ,6,417,34g,20g,314mg,39mg,22g,19g,4g,1mg,73mg,1mg,79mg,4.8,208,6 creme brulees,,
7,6738031,15 mins,35 mins, 5 hrs 45 mins, 6 hrs 35 mins,4 ,4,554,48g,29g,320mg,51mg,29g,25g,5g,1mg,95mg,1mg,103mg,4.3,271,4 to 6 ounce ramekins,,
8,6573679,15 mins,35 mins, 2 hrs 15 mins, 3 hrs 5 mins,4 ,4,320,24g,15g,160mg,37mg,23g,23g,4g,0mg,54mg,0mg,84mg,4.4,26,,0g,
9,6737469,20 mins, 2 hrs, 3 hrs 45 mins, 6 hrs 5 mins,4 ,4,466,41g,24g,341mg,191mg,20g,17g,5g,1mg,86mg,1mg,96mg,4.2,23,4 servings,,
10,6575911,10 mins,20 mins, 4 hrs 20 mins, 4 hrs 50 mins,3 ,3,369,32g,19g,245mg,87mg,17g,15g,3g,1mg,66mg,0mg,74mg,,,3 6-ounce ramekins,,
11,6591976,5 mins,30 mins, 6 hrs 45 mins, 7 hrs 20 mins,6 ,6,778,70g,41g,525mg,74mg,35g,29g,8g,1mg,140mg,1mg,200mg,4.2,24,6 creme brulees,1g,
12,6588272,25 mins,45 mins, 3 hrs 10 mins, 4 hrs 20 mins,8 ,8,298,20g,12g,216mg,48mg,27g,25g,3g,0mg,63mg,0mg,69mg,4.6,10,8 4-ounce ramekins,,
13,6575194,20 mins,40 mins, 4 hrs 15 mins, 5 hrs 15 mins,6 ,6,494,39g,23g,328mg,67mg,33g,28g,6g,1mg,121mg,1mg,145mg,4.3,3,6 desserts,0g,
14,6578178,20 mins, 1 hr 6 mins, 4 hrs 5 mins, 5 hrs 31 mins,8 ,8,619,49g,29g,368mg,131mg,44g,37g,6g,1mg,117mg,1mg,208mg,5.0,4,8 6-ounce ramekins,2g,
15,6663772,10 mins,10 mins,, 2 hrs 20 mins,4 ,4,310,25g,15g,235mg,29mg,18g,,3g,,,,58mg,,,4 crème brûlées,, 2 hrs
16,6575792,25 mins,52 mins, 2 hrs 35 mins, 3 hrs 52 mins,4 ,4,736,56g,33g,415mg,79mg,48g,44g,7g,1mg,155mg,1mg,190mg,5.0,2,4 6-ounce ramekins,0g,
17,6596096,10 mins,40 mins, 6 hrs, 6 hrs 50 mins,4 ,4,680,56g,33g,419mg,58mg,43g,37g,7g,1mg,111mg,1mg,192mg,4.6,73,4 servings,1g,
18,6588220,10 mins, 1 hr, 4 hrs, 5 hrs 10 mins,4 ,4,407,31g,18g,324mg,65mg,27g,21g,6g,1mg,143mg,1mg,169mg,5.0,1,4 ramekins,,
19,6599456,15 mins,30 mins, 2 hrs 30 mins, 3 hrs 15 mins,4 ,4,267,19g,11g,164mg,21mg,24g,22g,2g,0mg,40mg,0mg,44mg,4.0,1,,,
20,6576013,15 mins,45 mins,, 1 hr,6 ,6,610,45g,24g,249mg,58mg,50g,46g,5g,1mg,126mg,1mg,184mg,4.3,18,6 servings,1g,
21,6739234,30 mins,58 mins, 1 hr 40 mins, 3 hrs 8 mins,9 ,9,593,47g,29g,293mg,253mg,40g,35g,5g,4mg,102mg,3mg,224mg,4.0,1,9 servings,0g,
22,6575402,20 mins,17 mins, 4 hrs, 4 hrs 37 mins,12 ,12,436,35g,20g,382mg,92mg,26g,22g,6g,1mg,90mg,1mg,93mg,4.6,22,12 servings,1g,
23,6570640,20 mins, 1 hr 3 mins,55 mins, 2 hrs 18 mins,4 ,4,610,51g,30g,470mg,97mg,35g,30g,7g,1mg,120mg,1mg,128mg,,,4 servings,0g,
24,6567940,15 mins,50 mins, 2 hrs 5 mins, 3 hrs 10 mins,4 ,4,394,34g,20g,314mg,113mg,20g,15g,4g,1mg,101mg,1mg,210mg,,,4 servings,1g,
