,id_recipe,name,Prep Time:,Cool Time:,Chill Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Yield:,Saturated Fat,Cholesterol,Total Sugars,Vitamin C,Calcium,Iron,Cook Time:,Additional Time:
0,6829129,"Oolong, Orange, and Whiskey Punch",15 mins, 1 hr, 2 hrs, 3 hrs 15 mins,8 ,8,164,0g,4mg,14g,0g,1g,175mg,5.0,1,,,,,,,,,
1,6566490,Party Punch IV,10 mins,,,10 mins,48 ,,,,,,,,,4.7,78,48 (4 ounce) servings,,,,,,,,
2,6663228,Jamaican Rum Punch,10 mins,,,10 mins,8 ,8,254,1g,10mg,30g,2g,2g,350mg,4.8,25,7 cups,0g,5mg,20g,73mg,50mg,1mg,,
3,6738485,Budget Jungle Juice for a Crowd,10 mins,,,10 mins,96 ,,,,,,,,,4.7,16,6 gallons,,,,,,,,
4,6736791,Old-Fashioned Swedish Glögg,15 mins,,, 1 hr 45 mins,60 ,,,,,,,,,4.8,35,7 750-milliliter bottles,,,,,,,20 mins, 1 hr 10 mins
5,6737801,Fruit Punch,5 mins,,,5 mins,60 ,60,43,,16mg,11g,0g,0g,50mg,4.7,120,,,,10g,12mg,7mg,0mg,,
6,6738212,Party Punch,5 mins,,,5 mins,24 ,24,100,0g,41mg,24g,0g,1g,174mg,4.5,76,24 8-ounce cups,,,,61mg,15mg,0mg,,
7,6597012,Brandy Slush,10 mins,,, 8 hrs 20 mins,24 ,,,,,,,,,4.9,46,,,,,,,,10 mins, 8 hrs
8,6600437,Lime Sherbet Punch,10 mins,,,10 mins,18 ,18,246,2g,68mg,58g,1g,1g,202mg,4.8,32,,1g,5mg,48g,16mg,63mg,0mg,,
9,6739374,Luscious Slush Punch,15 mins,,, 8 hrs 20 mins,50 ,50,108,0g,25mg,27g,0g,1g,80mg,4.8,"1,420",,,,17g,14mg,9mg,0mg,5 mins, 8 hrs
10,6603490,Moose Milk,10 mins,,,10 mins,56 ,56,277,6g,61mg,20g,0g,4g,187mg,4.8,11,,4g,22mg,,0mg,130mg,0mg,,
11,6737900,Sangria Cocktail,15 mins,,,15 mins,30 ,30,128,,6mg,9g,0g,0g,167mg,4.3,12,30 servings,,,6g,2mg,12mg,1mg,,
12,6738712,Baby Blue Punch,10 mins,,,10 mins,24 ,24,121,1g,18mg,28g,,0g,15mg,4.7,299,24 servings,1g,3mg,19g,2mg,11mg,0mg,,
13,6663657,White Peachy Sangria,30 mins,,, 8 hrs 30 mins,20 ,20,376,0g,24mg,41g,2g,1g,228mg,4.9,70,20 servings,,,22g,30mg,23mg,1mg,, 8 hrs
14,6586573,Party Punch V,10 mins,,,10 mins,24 ,24,67,0g,7mg,16g,0g,1g,168mg,4.6,40,24 (4 ounce) servings,,,14g,25mg,12mg,0mg,,
15,6573667,Orange Dream Punch,15 mins,,,15 mins,30 ,30,34,,8mg,8g,0g,0g,48mg,4.8,98,30 (4 ounce) servings,,,8g,10mg,2mg,,,
16,6738661,Watermelon Sangria,20 mins,,, 4 hrs 20 mins,16 ,,,,,,,,,4.5,84,,,,,,,,, 4 hrs
17,6579671,White Sangria,30 mins,,, 1 hr 30 mins,32 ,,,,,,,,,4.7,162,1 gallon,,,,,,,, 1 hr
18,6737569,Luau Punch,10 mins,,,10 mins,10 ,10,182,0g,24mg,45g,0g,1g,321mg,4.7,92,10 servings,,,22g,43mg,28mg,1mg,,
19,6602345,Easy Berry Sangria,15 mins,,, 1 hr 15 mins,8 ,8,225,1g,12mg,22g,4g,1g,275mg,5.0,7,8 servings,0g,,9g,23mg,25mg,1mg,, 1 hr
20,6603529,Southern Coffee Punch,10 mins,,,40 mins,20 ,20,363,16g,164mg,48g,1g,11g,628mg,4.8,10,1 large punch bowl,10g,57mg,44g,1mg,357mg,1mg,,30 mins
21,6574410,Golden Wedding Punch,20 mins,,,20 mins,40 ,40,76,,4mg,19g,0g,0g,115mg,4.8,76,40 servings,,,13g,20mg,12mg,0mg,,
22,6601072,Lemonade,10 mins,,,10 mins,5 ,5,86,,6mg,23g,0g,0g,47mg,4.7,201,5 servings,,,21g,17mg,8mg,,,
23,6578994,Kelly's Super Simple Shower Punch,5 mins,,,5 mins,16 ,16,84,,14mg,22g,0g,,1mg,4.7,23,100 ounces,,,7g,3mg,3mg,0mg,,
24,6564864,Strawberry Champagne Punch,5 mins,,,5 mins,14 ,14,108,,21mg,17g,1g,0g,112mg,4.7,69,14 servings,,,14g,17mg,11mg,1mg,,
25,6561373,Jungle Juice for a Crowd,30 mins,,,30 mins,48 ,,,,,,,,,4.9,10,3 gallons,,,,,,,,
26,6566356,Hot Cinnamon Apple Brandy Cider,10 mins,,,20 mins,10 ,10,225,0g,41mg,51g,2g,0g,37mg,4.8,4,10 cups,0g,,44g,2mg,40mg,0mg,10 mins,
27,6582397,Pretty in Pink Sangria,5 mins,,,5 mins,20 ,20,134,0g,12mg,22g,1g,0g,172mg,4.8,129,1 gallon,,,18g,18mg,15mg,1mg,,
28,6603062,Tea Punch,30 mins,,, 4 hrs 30 mins,24 ,24,118,0g,13mg,29g,0g,1g,147mg,4.7,17,24 servings,,,27g,26mg,12mg,0mg,, 4 hrs
29,6562388,Easy Christmas Punch,5 mins,,,5 mins,12 ,12,153,0g,20mg,37g,0g,1g,317mg,4.5,4,12 servings,,,28g,54mg,27mg,1mg,,
30,6563388,Wassail Punch,5 mins,,, 8 hrs 5 mins,12 ,12,101,0g,8mg,25g,1g,1g,286mg,4.6,178,12 servings,0g,,21g,90mg,33mg,1mg, 8 hrs,
31,6739762,Berrylicious Frozen Sangria Slush,5 mins,,,5 mins,2 ,2,269,1g,7mg,32g,3g,1g,272mg,4.8,23,2 servings,,,25g,30mg,22mg,1mg,,
32,6600397,Caribbean Rum Punch,10 mins,,,10 mins,20 ,,,,,,,,,4.8,73,20 (4 ounce) servings,,,,,,,,
33,6594026,Rhubarb Slush,10 mins,,,25 mins,20 ,20,193,0g,14mg,42g,1g,1g,186mg,4.7,53,,,,29g,20mg,38mg,0mg,15 mins,
34,6564096,Apple Orchard Punch,10 mins,,,10 mins,12 ,12,168,0g,19mg,42g,1g,0g,164mg,4.8,502,12 servings,,,38g,28mg,12mg,1mg,,
35,6562555,Polynesian Watermelon Drink ('Otai),15 mins,,,15 mins,12 ,12,199,4g,48mg,41g,2g,5g,574mg,4.3,11,12 servings,2g,9mg,35g,35mg,117mg,1mg,,
36,6562011,Honey Limeade,15 mins,,,15 mins,6 ,6,118,,1mg,31g,0g,0g,52mg,4.6,129,6 servings,,,29g,12mg,6mg,0mg,,
37,6599146,Banana Slush Punch,15 mins,,, 4 hrs 15 mins,54 ,54,104,0g,9mg,26g,0g,1g,154mg,4.8,82,,,,24g,22mg,9mg,0mg,, 4 hrs
38,6583354,Blackberry Sangria,10 mins,,, 8 hrs 10 mins,8 ,8,373,0g,9mg,46g,1g,1g,219mg,4.7,9,8 servings,0g,,39g,21mg,16mg,1mg,, 8 hrs
39,6583297,Pineapple Sangria,25 mins,,, 8 hrs 25 mins,8 ,8,383,0g,26mg,39g,1g,1g,279mg,4.9,7,1 gallon,,,30g,30mg,42mg,1mg,, 8 hrs
40,6737735,Sunset Sangria,15 mins,,, 2 hrs 40 mins,6 ,6,259,0g,9mg,29g,2g,1g,234mg,4.8,61,6 servings,,,10g,15mg,26mg,1mg,5 mins, 2 hrs 20 mins
41,6580270,Easy Raspberry Lemonade,5 mins,,,5 mins,18 ,18,57,0g,5mg,15g,1g,0g,33mg,4.6,153,18 (4 ounce) servings,,,10g,8mg,11mg,0mg,,
42,6567691,Warm and Spicy Autumn Punch,20 mins,,, 1 hr,16 ,16,91,0g,5mg,23g,1g,0g,202mg,4.6,134,,,,20g,17mg,25mg,1mg,40 mins,
43,6566556,Cranberry Rum Punch,5 mins,,,5 mins,8 ,,,,,,,,,4.2,39,8 1/2 cups,,,,,,,,
44,6587539,Hippie Juice,5 mins,,,5 mins,7 ,7,336,2g,22mg,37g,,1g,75mg,5.0,3,7 servings,1g,10mg,32g,10mg,33mg,1mg,,
45,6580059,Swedish Glogg,5 mins,,, 8 hrs 20 mins,20 ,,,,,,,,,4.9,9,,,,,,,,15 mins, 8 hrs
46,6567441,Non-Alcoholic New Year's Eve Punch,10 mins,,,10 mins,15 ,15,161,0g,29mg,39g,1g,1g,315mg,4.2,15,,,,33g,78mg,25mg,0mg,,
47,6563066,Christmas Poinsettia Punch,5 mins,,,5 mins,16 ,16,194,0g,6mg,13g,0g,,62mg,5.0,10,,,,,36mg,8mg,0mg,,
48,6579315,New Year's Champagne Punch,5 mins,,,5 mins,52 ,52,70,0g,12mg,12g,0g,0g,115mg,4.6,63,6 1/2 quarts,0g,1mg,,,,,,
49,6565243,Mexico Chiquito Punch,5 mins,,,5 mins,32 ,32,154,0g,16mg,39g,0g,0g,78mg,5.0,4,2 gallons,,,,5mg,13mg,0mg,,
50,6567820,Kentucky Derby Bourbon Punch,15 mins,,,15 mins,32 ,32,124,0g,3mg,13g,0g,0g,96mg,,,about 3 1/2 quarts,,,10g,21mg,9mg,0mg,,
51,6584851,Classic White Wine Spritzer,5 mins,,,5 mins,2 ,,,,,,,,,4.9,21,,,,,,,,,
52,6737554,Champagne Punch,10 mins,,,10 mins,35 ,,,,,,,,,4.7,264,,,,,,,,,
53,6576148,Vodka Lemonade with Mint,10 mins,,,40 mins,6 ,6,226,,2mg,26g,0g,0g,59mg,5.0,1,6 cocktails,,,23g,21mg,12mg,0mg,,30 mins
