,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Yield:
0,6649475,25 mins,40 mins, 1 hr 5 mins,10 ,10,257,14g,5g,31mg,626mg,24g,5g,8g,10g,39mg,78mg,2mg,837mg,4.6,462,,
1,6594846,25 mins,5 mins,1 day 45 mins,8 ,8,115,4g,2g,97mg,250mg,13g,2g,10g,9g,9mg,179mg,1mg,487mg,4.4,30,1 day 15 mins,
2,6563352,20 mins, 4 hrs 45 mins, 5 hrs 5 mins,8 ,8,138,8g,4g,21mg,96mg,12g,3g,6g,6g,15mg,82mg,1mg,415mg,4.9,80,,
3,6591024,30 mins, 9 hrs, 9 hrs 30 mins,8 ,8,345,18g,8g,51mg,897mg,33g,6g,15g,16g,39mg,124mg,4mg,1153mg,4.4,82,,8 servings
4,6572147,20 mins,45 mins, 1 hr 5 mins,8 ,8,128,5g,3g,11mg,908mg,20g,4g,9g,3g,34mg,58mg,2mg,558mg,4.6,240,,8 servings
5,6583029,25 mins, 1 hr, 1 hr 25 mins,8 ,8,185,9g,6g,26mg,898mg,24g,4g,5g,3g,39mg,61mg,2mg,652mg,4.4,94,,8 servings
6,6570720,20 mins, 2 hrs, 2 hrs 20 mins,8 ,8,274,6g,4g,20mg,407mg,51g,11g,13g,7g,100mg,144mg,3mg,1383mg,4.4,21,,2 quarts
7,6587293,25 mins,40 mins, 1 hr 5 mins,8 ,8,135,4g,3g,14mg,1248mg,20g,2g,4g,5g,13mg,127mg,1mg,611mg,4.1,18,,2 quarts
8,6586730,15 mins, 1 hr, 1 hr 15 mins,6 ,6,264,6g,1g,2mg,135mg,44g,13g,7g,10g,42mg,79mg,3mg,1020mg,5.0,3,,
9,6589069,20 mins, 1 hr, 2 hrs 20 mins,6 ,6,107,5g,3g,8mg,306mg,12g,2g,7g,5g,15mg,52mg,1mg,389mg,4.4,18, 1 hr,
10,6594029,30 mins,45 mins, 1 hr 15 mins,8 ,8,732,63g,25g,249mg,1638mg,15g,1g,5g,26g,6mg,123mg,3mg,687mg,4.8,5,,
11,6576337,45 mins, 2 hrs 20 mins, 3 hrs 5 mins,8 ,8,198,10g,1g,,285mg,22g,4g,7g,8g,35mg,273mg,5mg,686mg,4.1,21,,8 servings
12,6587916,30 mins, 2 hrs 10 mins, 10 hrs 40 mins,12 ,12,482,37g,14g,93mg,1499mg,15g,4g,7g,22g,40mg,88mg,4mg,731mg,4.6,17, 8 hrs,12 servings
13,6579317,20 mins, 1 hr 10 mins, 1 hr 45 mins,10 ,10,308,11g,3g,60mg,966mg,31g,6g,8g,24g,77mg,100mg,3mg,983mg,4.2,24,15 mins,10 servings
14,6570790,, 3 hrs, 3 hrs,8 ,8,283,15g,5g,60mg,775mg,14g,3g,9g,25g,23mg,65mg,3mg,707mg,4.3,31,,8 servings
15,6599458,20 mins,, 3 hrs 20 mins,30 ,30,32,1g,1g,3mg,70mg,5g,1g,4g,1g,3mg,12mg,1mg,54mg,4.3,3, 3 hrs,30 shooters
16,6564973,25 mins,25 mins,50 mins,8 ,8,365,21g,11g,,382mg,40g,8g,10g,9g,20mg,123mg,5mg,990mg,,,,8 servings
17,6589303,45 mins,20 mins, 3 hrs 5 mins,8 ,8,243,5g,2g,103mg,92mg,43g,7g,5g,10g,62mg,175mg,4mg,1293mg,4.1,12, 2 hrs,8 servings
18,6589229,30 mins, 5 hrs 15 mins, 5 hrs 45 mins,10 ,10,132,1g,0g,,2358mg,29g,6g,9g,5g,42mg,79mg,3mg,897mg,4.0,5,,10 servings
19,6588395,15 mins, 1 hr, 1 hr 15 mins,8 ,8,140,7g,2g,3mg,658mg,19g,5g,10g,3g,38mg,86mg,1mg,548mg,,,,8 servings
20,6584391,45 mins, 6 hrs, 6 hrs 55 mins,16 ,16,238,11g,5g,69mg,333mg,16g,5g,6g,20g,31mg,81mg,3mg,447mg,4.4,5,10 mins,16 cups
21,6599065,20 mins, 1 hr, 1 hr 30 mins,8 ,8,248,6g,4g,15mg,194mg,44g,7g,7g,6g,38mg,67mg,2mg,1126mg,4.8,16,10 mins,12 cups
22,6588749,15 mins,25 mins,45 mins,4 ,4,241,8g,1g,1mg,1207mg,40g,10g,16g,6g,125mg,153mg,2mg,919mg,,,5 mins,4 servings
