,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:
0,6648910,25 mins,20 mins,45 mins,12 ,12 large mushrooms,12,88,8g,5g,22mg,82mg,2g,0g,0g,3g,1mg,36mg,0mg,86mg,4.6,"4,336",
1,6737703,15 mins,25 mins,50 mins,6 ,12 stuffed mushrooms,6,176,16g,9g,44mg,164mg,3g,0g,1g,5g,1mg,71mg,1mg,172mg,4.8,200,10 mins
2,6649789,25 mins,15 mins,40 mins,6 ,,6,166,12g,3g,43mg,337mg,6g,2g,2g,10g,7mg,109mg,2mg,414mg,4.4,336,
3,6582765,20 mins,25 mins,45 mins,12 ,24 stuffed mushrooms,12,148,10g,4g,29mg,424mg,5g,1g,1g,11g,2mg,118mg,1mg,252mg,4.5,60,
4,6583162,20 mins,10 mins,35 mins,6 ,,6,104,8g,5g,26mg,116mg,4g,1g,1g,5g,3mg,55mg,1mg,284mg,4.6,13,5 mins
5,6650831,15 mins,25 mins,40 mins,4 ,4 stuffed mushrooms,4,161,9g,4g,64mg,495mg,11g,2g,2g,10g,21mg,187mg,3mg,576mg,4.7,265,
6,6664613,15 mins,25 mins,45 mins,4 ,,4,405,27g,16g,142mg,382mg,11g,0g,,27g,3mg,133mg,5mg,293mg,4.6,52,5 mins
7,6581972,15 mins,15 mins,30 mins,8 ,8 servings,8,110,10g,5g,22mg,171mg,1g,0g,0g,5g,0mg,78mg,0mg,35mg,4.6,455,
8,6600584,30 mins,15 mins,45 mins,6 ,12 stuffed mushrooms,6,279,16g,9g,132mg,389mg,18g,1g,2g,17g,4mg,112mg,3mg,398mg,4.4,109,
9,6740971,10 mins,20 mins,30 mins,20 ,20 appetizers,20,123,11g,6g,33mg,240mg,2g,0g,0g,5g,1mg,21mg,1mg,133mg,4.6,133,
10,6590474,30 mins,15 mins,45 mins,10 ,10 servings,10,317,22g,10g,58mg,309mg,12g,2g,3g,18g,8mg,197mg,2mg,477mg,4.5,118,
11,6602269,10 mins,40 mins,50 mins,6 ,6 servings,6,162,14g,7g,33mg,232mg,4g,1g,1g,7g,2mg,57mg,1mg,304mg,4.6,281,
12,6584877,20 mins,3 mins,23 mins,10 ,10 servings,10,178,17g,8g,40mg,219mg,2g,0g,0g,5g,1mg,23mg,1mg,144mg,4.6,329,
13,6576718,20 mins,25 mins,45 mins,12 ,24 mushrooms,12,156,13g,6g,30mg,342mg,6g,2g,1g,6g,8mg,104mg,0mg,162mg,4.6,254,
14,6568096,20 mins,10 mins,30 mins,12 ,12 stuffed mushrooms,12,202,15g,6g,30mg,287mg,8g,2g,3g,11g,1mg,189mg,1mg,609mg,4.5,55,
15,6738420,20 mins,35 mins,55 mins,4 ,8 mushrooms,4,151,13g,7g,35mg,288mg,3g,1g,1g,6g,3mg,66mg,2mg,186mg,4.8,219,
