,id_recipe,name,Prep Time:,Cook Time:,Refrigerate Time:,Stand Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Chill Time:,Yield:,Additional Time:,Total Sugars,Vitamin C,Calcium,Iron
0,6825760,4-Ingredient Bacon Ranch Cheese Ball,5 mins,10 mins,30 mins,30 mins, 1 hr 15 mins,15 ,15,103,10g,5g,22mg,173mg,1g,0g,2g,46mg,4.4,5,,,,,,,
1,6824021,Bacon-Ranch Cheese Ball,15 mins,10 mins,,, 2 hrs 25 mins,32 ,32,112,10g,6g,28mg,205mg,1g,,4g,46mg,5.0,4, 2 hrs,1 large cheese ball,,,,,
2,6665055,Dried Beef Cheese Ball,5 mins,,,,35 mins,10 ,10,96,8g,5g,32mg,429mg,1g,0g,4g,69mg,4.4,214,,,30 mins,1g,1mg,23mg,1mg
3,6574138,Jimmy Dean Sausage Cheese Balls,15 mins,20 mins,,,40 mins,36 ,,,,,,,,,,,4.5,160,,6 dozen,5 mins,,,,
4,6738946,Chocolate Chip Cheese Ball,15 mins,,,, 3 hrs 15 mins,32 ,32,102,8g,4g,15mg,42mg,7g,1g,1g,36mg,4.7,"1,408",,, 3 hrs,6g,,10mg,0mg
5,6739701,Easy Cheese Ball II,5 mins,,,, 2 hrs 5 mins,7 ,7,557,53g,24g,113mg,720mg,8g,2g,17g,232mg,4.6,840,,6 to 8 servings, 2 hrs,1g,0mg,359mg,2mg
6,6580697,Cheese Ball I,15 mins,,,, 2 hrs 15 mins,32 ,32,149,14g,6g,28mg,179mg,2g,1g,5g,62mg,4.6,356,,1 large cheese ball, 2 hrs,0g,0mg,105mg,0mg
7,6741032,How to Make Cream Cheese,20 mins,,,,3 days 20 mins,12 ,12,48,1g,1g,5mg,213mg,5g,,4g,177mg,4.5,16,,1 round of cream cheese,3 days,5g,1mg,139mg,0mg
8,6590458,Canadian Sharp Cheddar Cheese Spread,10 mins,5 mins,,, 8 hrs 45 mins,12 ,12,116,9g,6g,31mg,200mg,5g,0g,5g,48mg,4.4,10,,12 servings, 8 hrs 30 mins,4g,1mg,121mg,1mg
9,6590294,Chicken Cheese Ball,15 mins,,,, 1 hr 15 mins,15 ,15,152,14g,7g,39mg,267mg,2g,0g,5g,74mg,4.5,92,,3 cups, 1 hr,0g,0mg,28mg,1mg
10,6737401,Cream Cheese Penguins,30 mins,,,,35 mins,18 ,18,57,6g,3g,14mg,104mg,1g,0g,1g,28mg,4.7,882,,18 penguins,5 mins,0g,0mg,14mg,0mg
11,6590773,Blue Cheese Ball,10 mins,,,, 8 hrs 10 mins,16 ,16,207,19g,10g,45mg,255mg,3g,1g,7g,107mg,4.6,107,,1 cheese ball, 8 hrs,1g,0mg,127mg,1mg
12,6649684,Flayed Man Cheese Ball, 1 hr,,,, 1 hr 30 mins,24 ,24,189,18g,10g,54mg,427mg,1g,0g,7g,45mg,4.9,105,,24 servings,30 mins,0g,1mg,114mg,1mg
13,6738419,Pine Cone Cheese Ball,30 mins,,,,30 mins,16 ,16,176,16g,8g,36mg,130mg,3g,1g,6g,119mg,4.7,47,,1 cheese ball,,1g,1mg,69mg,1mg
14,6599486,Traditional Christmas Cheese Ball,25 mins,,,, 2 hrs 25 mins,12 ,12,180,17g,7g,35mg,293mg,3g,1g,5g,109mg,4.5,66,,12 servings, 2 hrs,1g,1mg,38mg,1mg
15,6568662,Original Bar Cheese Spread,10 mins,,,, 8 hrs 10 mins,15 ,15,82,6g,4g,21mg,486mg,3g,0g,4g,85mg,4.7,6,,15 servings, 8 hrs,2g,2mg,106mg,0mg
16,6600485,Ham Ball,15 mins,,,,15 mins,8 ,8,315,31g,14g,70mg,378mg,5g,2g,8g,184mg,4.7,11,,8 servings,,1g,2mg,64mg,1mg
17,6598230,Salmon Cheese Ball,15 mins,,,, 3 hrs 15 mins,20 ,20,76,7g,3g,17mg,101mg,1g,0g,4g,64mg,4.3,51,,1 ball, 3 hrs,0g,2mg,36mg,0mg
18,6593846,Tuna Ball,15 mins,,,,15 mins,20 ,20,66,6g,2g,11mg,28mg,1g,0g,3g,45mg,4.5,77,,1 tuna ball,,0g,0mg,11mg,0mg
19,6583951,Pineapple Cheese Ball,15 mins,,,, 2 hrs 15 mins,16 ,16,168,15g,7g,31mg,89mg,8g,1g,3g,132mg,4.3,180,,2 cheese balls, 2 hrs,6g,7mg,36mg,1mg
20,6577146,Olive Pecan Spread,10 mins,,,, 1 hr 10 mins,12 ,12,208,22g,6g,24mg,388mg,2g,1g,3g,67mg,4.6,90,,2 cups, 1 hr,1g,0mg,29mg,1mg
21,6605954,Red Salmon Pâté,30 mins,,,, 1 hr,8 ,8,191,17g,7g,42mg,173mg,2g,1g,9g,142mg,4.7,40,,,30 mins,1g,2mg,83mg,1mg
22,6579597,Turkey Cheese Ball for Thanksgiving,20 mins,,,, 2 hrs 20 mins,32 ,32,179,17g,6g,29mg,188mg,3g,1g,5g,82mg,4.5,10,,1 large cheese ball, 2 hrs,1g,1mg,109mg,1mg
23,6588935,Cheese Ball III,15 mins,,,, 3 hrs 15 mins,20 ,20,95,9g,5g,24mg,209mg,1g,0g,4g,30mg,4.7,58,,2 1/2 cups, 3 hrs,0g,0mg,93mg,0mg
