,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Yield:
0,6648596,15 mins,50 mins, 1 hr 5 mins,16 ,16,403,30g,15g,202mg,459mg,17g,0g,1g,17g,1mg,225mg,2mg,174mg,4.5,270,,
1,6590930,10 mins,20 mins,30 mins,4 ,4,240,9g,6g,26mg,424mg,31g,1g,0g,8g,,132mg,2mg,73mg,4.5,68,,
2,6576722,15 mins,50 mins, 1 hr 20 mins,10 ,10,263,21g,12g,97mg,727mg,7g,,4g,13g,,362mg,1mg,185mg,4.7,39,15 mins,10 servings
3,6580286,5 mins,10 mins,15 mins,4 ,4,353,19g,11g,54mg,958mg,32g,1g,1g,14g,0mg,326mg,2mg,101mg,4.8,6,,4 servings
4,6588200,15 mins, 1 hr 10 mins, 1 hr 25 mins,12 ,12,267,20g,12g,56mg,453mg,15g,0g,4g,8g,0mg,229mg,1mg,160mg,4.6,88,,12 servings
5,6592391,15 mins, 1 hr 5 mins, 1 hr 40 mins,10 ,10,206,17g,11g,68mg,497mg,4g,0g,1g,10g,0mg,274mg,0mg,83mg,4.8,35,20 mins,10 servings
6,6738848,25 mins,30 mins,55 mins,4 ,4,434,20g,11g,226mg,1499mg,33g,1g,1g,30g,6mg,184mg,5mg,328mg,4.9,343,,4 servings
7,6596255,15 mins,40 mins,55 mins,6 ,6,449,26g,15g,189mg,705mg,23g,1g,1g,30g,8mg,379mg,4mg,306mg,4.8,17,,
8,6596631,25 mins, 1 hr, 1 hr 25 mins,8 ,8,281,14g,7g,117mg,750mg,20g,2g,1g,20g,21mg,279mg,3mg,283mg,4.7,247,,8 servings
9,6575764,20 mins,20 mins,40 mins,2 ,2,677,60g,30g,272mg,751mg,10g,1g,1g,21g,11mg,110mg,2mg,373mg,4.7,61,,2 servings
10,6601442,30 mins,30 mins, 1 hr,4 ,4,446,24g,13g,248mg,1120mg,17g,1g,11g,39g,20mg,508mg,4mg,629mg,4.6,59,,
11,6599591,20 mins,30 mins,50 mins,6 ,6,839,71g,39g,322mg,1109mg,22g,1g,2g,30g,8mg,272mg,3mg,533mg,4.9,56,,
12,6597440,15 mins,45 mins, 1 hr,8 ,8,314,20g,9g,128mg,541mg,17g,0g,1g,16g,1mg,124mg,2mg,191mg,4.8,56,,6 cups
13,6649162,15 mins, 1 hr 10 mins, 1 hr 25 mins,12 ,12,343,26g,14g,117mg,736mg,14g,1g,1g,14g,32mg,191mg,1mg,234mg,4.8,28,,12 servings
14,6573393,15 mins, 1 hr 11 mins, 1 hr 30 mins,12 ,12,258,22g,13g,107mg,1141mg,6g,0g,3g,9g,0mg,234mg,1mg,151mg,4.6,239,4 mins,12 servings
15,6585694,20 mins,20 mins,40 mins,4 ,4,634,33g,13g,341mg,1054mg,34g,2g,3g,50g,20mg,363mg,7mg,625mg,4.6,153,,
16,6587718,20 mins,15 mins,35 mins,6 ,6,268,15g,8g,155mg,665mg,10g,1g,4g,22g,5mg,287mg,2mg,264mg,4.7,50,,6 servings
17,6582785,10 mins, 1 hr 35 mins, 1 hr 45 mins,8 ,8,222,13g,8g,57mg,387mg,18g,0g,2g,9g,1mg,218mg,1mg,124mg,4.0,3,,1 2-quart casserole dish
18,6592874,25 mins,25 mins,50 mins,6 ,6,255,16g,10g,154mg,401mg,7g,1g,1g,20g,7mg,203mg,2mg,260mg,4.7,6,,6 servings
19,6603059,15 mins,45 mins, 1 hr,12 ,12,148,7g,4g,19mg,784mg,15g,1g,3g,7g,7mg,158mg,1mg,135mg,4.5,15,,12 servings
20,6739474,15 mins,45 mins, 1 hr 15 mins,8 ,8,123,5g,2g,56mg,670mg,15g,2g,4g,7g,22mg,112mg,1mg,407mg,4.5,34,15 mins,8 servings
21,6588499,5 mins,15 mins,25 mins,3 ,3,264,15g,9g,49mg,1404mg,22g,0g,1g,9g,,152mg,1mg,77mg,,,5 mins,
22,6564242,10 mins,20 mins,30 mins,4 ,4,723,57g,35g,196mg,189mg,48g,2g,8g,9g,3mg,83mg,2mg,247mg,,,,4 servings
23,6588817,20 mins, 1 hr 10 mins, 1 hr 30 mins,8 ,8,406,30g,12g,58mg,1063mg,22g,1g,2g,13g,11mg,140mg,2mg,280mg,4.0,9,,8 servings
24,6576022,5 mins,,5 mins,1 ,1,119,0g,,,264mg,25g,0g,0g,3g,,4mg,1mg,40mg,4.7,3,,1 serving
25,6663494,5 mins,4 mins,9 mins,1 ,1,407,27g,11g,48mg,1264mg,36g,2g,,8g,,,,176mg,5.0,2,,
26,6596674,15 mins,45 mins, 1 hr,6 ,6,668,48g,26g,135mg,1366mg,27g,1g,2g,30g,6mg,613mg,4mg,377mg,4.1,8,,6 servings
