,id_recipe,Prep Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cook Time:,Additional Time:,Yield:
0,6737713,5 mins,5 mins,2 ,2,515,18g,5g,12mg,177mg,68g,7g,47g,21g,7mg,472mg,3mg,898mg,4.6,70,,,
1,6663702,20 mins, 1 hr,34 ,34,306,17g,2g,0mg,341mg,37g,5g,16g,7g,0mg,43mg,2mg,292mg,4.8,"1,322",25 mins,15 mins,17 cups
2,6649455,5 mins,20 mins,4 ,4,529,30g,11g,41mg,115mg,60g,7g,28g,9g,0mg,80mg,3mg,302mg,4.6,350,15 mins,,4 servings
3,6577297,15 mins, 1 hr 15 mins,12 ,12,526,22g,4g,,219mg,77g,11g,33g,11g,0mg,57mg,4mg,497mg,4.6,71, 1 hr,,
4,6589646,10 mins,30 mins,20 ,20,188,11g,1g,,1mg,20g,3g,8g,4g,0mg,29mg,1mg,116mg,4.7,356,20 mins,,5 cups
5,6664475,10 mins,50 mins,18 ,18,202,12g,1g,,36mg,22g,4g,7g,4g,0mg,36mg,1mg,152mg,4.9,52,40 mins,,18 servings
6,6737926,10 mins, 1 hr 10 mins,6 ,6,332,15g,4g,,130mg,40g,8g,2g,12g,0mg,124mg,4mg,350mg,4.7,13, 1 hr,,6 servings
7,6579213,15 mins, 1 hr 15 mins,12 ,12,367,16g,4g,,25mg,50g,6g,19g,8g,0mg,52mg,3mg,331mg,4.7,72, 1 hr,,
8,6581539,10 mins, 1 hr,18 ,18,347,20g,3g,,113mg,41g,5g,23g,5g,0mg,48mg,2mg,193mg,4.8,10,30 mins,20 mins,
9,6738375,10 mins, 1 hr 10 mins,14 ,14,128,6g,1g,,106mg,18g,2g,9g,3g,,28mg,1mg,116mg,4.9,25, 1 hr,,3 1/2 cups
10,6738953,15 mins, 1 hr 45 mins,6 ,6,339,16g,3g,,213mg,44g,5g,25g,8g,1mg,60mg,4mg,378mg,4.7,49, 1 hr,30 mins,
11,6664382,10 mins,35 mins,16 ,16,332,11g,2g,,180mg,55g,6g,25g,8g,0mg,32mg,2mg,258mg,2.7,3,25 mins,,
12,6604262,15 mins, 3 hrs 50 mins,10 ,10,292,12g,5g,,92mg,44g,6g,16g,7g,1mg,40mg,3mg,304mg,4.5,2, 3 hrs 5 mins,30 mins,5 cups
13,6595482,10 mins,18 mins,8 ,8,183,18g,6g,8mg,23mg,4g,3g,1g,3g,0mg,28mg,1mg,118mg,4.7,25,8 mins,,2 cups
14,6604034,15 mins, 1 hr 15 mins,6 ,6,428,18g,3g,,202mg,60g,6g,28g,9g,0mg,41mg,3mg,297mg,4.6,139, 1 hr,,6 servings
15,6590440,10 mins,40 mins,6 ,6,269,18g,7g,10mg,154mg,21g,4g,1g,9g,1mg,31mg,5mg,325mg,4.8,5,30 mins,,6 servings
16,6576249,15 mins, 1 hr 15 mins,14 ,14,431,23g,6g,,91mg,49g,8g,14g,11g,0mg,104mg,4mg,364mg,4.2,32, 1 hr,,14 cups
17,6590025,15 mins,35 mins,20 ,20,532,34g,8g,,9mg,56g,7g,31g,9g,1mg,115mg,3mg,369mg,4.7,158,20 mins,,20 servings
18,6593672,10 mins, 2 hrs 20 mins,12 ,12,295,11g,4g,14mg,43mg,45g,5g,19g,6g,0mg,51mg,2mg,195mg,4.7,68,10 mins, 2 hrs,6 cups
19,6582155,10 mins,50 mins,10 ,10,345,21g,8g,,3mg,36g,5g,10g,7g,0mg,36mg,2mg,198mg,4.6,10,40 mins,,5 cups
20,6586302,15 mins, 1 hr 35 mins,25 ,25,283,10g,2g,,76mg,45g,7g,21g,6g,0mg,38mg,3mg,247mg,5.0,3, 1 hr 20 mins,,25 servings
21,6605764,10 mins,50 mins,10 ,10,245,13g,5g,,21mg,30g,4g,15g,6g,0mg,28mg,2mg,210mg,4.8,16,20 mins,20 mins,10 servings
22,6569425,10 mins,55 mins,3 ,3,377,17g,3g,,151mg,47g,7g,14g,14g,0mg,47mg,3mg,454mg,4.0,7,15 mins,30 mins,3 servings
23,6585384,10 mins, 1 hr,16 ,16,139,6g,1g,,76mg,19g,2g,8g,3g,0mg,24mg,1mg,100mg,4.4,22,45 mins,5 mins,4 cups
24,6600646,15 mins,30 mins,8 ,8,249,9g,2g,,121mg,40g,3g,21g,5g,,36mg,1mg,162mg,4.6,76,15 mins,,8 servings
25,6593064,15 mins, 1 hr 45 mins,10 ,10,312,9g,1g,,6mg,56g,5g,32g,6g,1mg,47mg,2mg,254mg,4.3,66, 1 hr,30 mins,5 cups
26,6573196,10 mins,30 mins,8 ,8,332,13g,8g,31mg,136mg,54g,3g,30g,3g,0mg,61mg,1mg,132mg,4.0,8,5 mins,15 mins,4 cups
27,6589961,20 mins, 1 hr 35 mins,12 ,12,422,20g,10g,,197mg,58g,7g,33g,7g,0mg,57mg,2mg,402mg,4.7,165, 1 hr 15 mins,,12 servings
28,6567442,10 mins, 2 hrs 20 mins,16 ,16,183,9g,4g,,113mg,23g,3g,7g,4g,1mg,31mg,2mg,184mg,4.4,5,40 mins, 1 hr 30 mins,16 servings
29,6570018,10 mins, 1 hr,20 ,20,278,14g,2g,,3mg,36g,5g,15g,5g,0mg,38mg,2mg,240mg,4.5,2,35 mins,15 mins,10 cups
30,6601130,10 mins,40 mins,10 ,10,291,6g,1g,,14mg,55g,6g,18g,7g,1mg,85mg,4mg,758mg,4.5,17,30 mins,,5 cups
