,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Additional Time:
0,6769466,Peach Burrata Salad,10 mins,5 mins,15 mins,4 ,4,159,13g,5g,20mg,176mg,4g,0g,2g,4g,11mg,5mg,0mg,13mg,4.8,6,,
1,7092119,Citrus and Pomegranate Salad,15 mins,,15 mins,4 ,4,225,6g,4g,13mg,18mg,43g,4g,,3g,,,,443mg,,,,
2,6746706,Balsamic Grape and Walnut Salad,20 mins,,20 mins,6 ,6,508,39g,4g,,474mg,42g,5g,28g,8g,9mg,67mg,2mg,520mg,4.0,4,6 servings,
3,6649729,Perfect Summer Fruit Salad,25 mins,5 mins, 3 hrs 30 mins,10 ,10,155,1g,0g,,5mg,39g,5g,29g,2g,94mg,45mg,1mg,451mg,4.6,583,, 3 hrs
4,7511300,"Celebrate Summer with Watermelon, Feta, and Mint Salad",15 mins,,15 mins,4 ,4,273,20g,6g,25mg,422mg,21g,1g,17g,6g,23mg,162mg,1mg,320mg,4.3,3,,
5,6584919,Tomato Watermelon Salad,20 mins,,20 mins,12 ,12,314,9g,3g,11mg,151mg,61g,4g,49g,7g,68mg,123mg,2mg,986mg,4.7,50,,
6,6738426,Cranberry Salad,20 mins,,20 mins,7 ,7,315,11g,1g,,61mg,55g,4g,49g,4g,22mg,44mg,1mg,239mg,4.6,61,,
7,6664857,Easy Apple Slaw,25 mins,,25 mins,6 ,6,137,5g,1g,3mg,108mg,25g,2g,20g,1g,33mg,38mg,0mg,206mg,4.6,787,,
8,6602195,Cream Cheese Fruit Salad,15 mins,, 1 hr 15 mins,8 ,8,486,27g,17g,31mg,111mg,61g,5g,46g,5g,12mg,54mg,1mg,486mg,4.8,47,, 1 hr
9,6663408,Bionicos (Mexican Fruit Bowls),30 mins,,30 mins,4 ,4,426,17g,10g,37mg,94mg,66g,6g,48g,8g,65mg,154mg,2mg,816mg,4.8,5,,
10,6603777,Very Easy Fruit Salad,10 mins,, 1 hr 10 mins,10 ,10,142,1g,0g,,12mg,35g,3g,27g,2g,50mg,20mg,0mg,335mg,4.5,137,10 servings, 1 hr
11,6737426,Apple Snicker Salad,20 mins,,20 mins,16 ,16,103,4g,2g,10mg,131mg,15g,1g,12g,2g,1mg,37mg,0mg,91mg,4.4,76,16 servings,
12,6649580,5 Cup Salad,10 mins, 5 hrs, 5 hrs 10 mins,8 ,8,157,9g,6g,13mg,51mg,19g,1g,15g,2g,14mg,42mg,0mg,156mg,4.7,55,8 servings,
13,6586456,Sarah's Ambrosia Fruit Salad,15 mins,, 2 hrs 15 mins,10 ,10,393,11g,7g,20mg,87mg,72g,3g,59g,3g,74mg,96mg,1mg,517mg,4.8,66,10 servings, 2 hrs
14,6573955,Berry Fruit Salad,10 mins,,10 mins,6 ,6,45,0g,,,1mg,11g,4g,6g,1g,28mg,17mg,0mg,128mg,4.6,22,6 servings,
15,6649533,Watermelon Salad,20 mins,,20 mins,15 ,15,94,4g,2g,14mg,182mg,14g,1g,11g,3g,15mg,93mg,1mg,243mg,4.5,127,,
16,6598786,Watermelon Basil Salad,20 mins,,50 mins,4 ,4,2,,,,122mg,0g,0g,0g,0g,2mg,5mg,0mg,14mg,4.9,10,,30 mins
17,6583447,Easy Caramel Apple Salad,10 mins,,40 mins,12 ,12,181,11g,5g,,228mg,20g,2g,15g,3g,3mg,12mg,0mg,129mg,4.9,15,12 servings,30 mins
18,6596018,Mandarin Orange Watergate Salad,15 mins,, 2 hrs 15 mins,12 ,12,347,11g,10g,,88mg,62g,2g,47g,1g,31mg,21mg,1mg,217mg,4.5,18,12 servings, 2 hrs
19,6571599,Kid-Friendly Fruit Salad,15 mins,,15 mins,2 ,2,300,2g,1g,22mg,129mg,62g,2g,56g,10g,33mg,319mg,1mg,618mg,4.7,7,2 servings,
20,6594633,Spicy Watermelon,10 mins,,10 mins,2 ,2,52,0g,,,296mg,13g,1g,10g,1g,16mg,18mg,1mg,195mg,4.1,17,2 servings,
21,6591826,Easy Mango Salad,20 mins,,20 mins,4 ,4,84,1g,0g,,568mg,19g,2g,16g,2g,34mg,19mg,0mg,200mg,4.3,9,4 servings,
22,6570696,Cucumber and Apple Salad,10 mins,,10 mins,4 ,4,58,0g,,,283mg,15g,1g,12g,0g,3mg,9mg,0mg,110mg,4.9,16,4 servings,
23,6739000,Winter Fruit Salad with Lemon Poppyseed Dressing,25 mins,,25 mins,12 ,12,277,21g,4g,9mg,201mg,21g,2g,14g,5g,13mg,103mg,1mg,193mg,4.8,854,12 servings,
24,6590010,Cranberry Jell-O® Salad with Walnuts,15 mins,, 3 hrs,20 ,20,131,4g,0g,,48mg,24g,1g,18g,2g,0mg,7mg,0mg,33mg,4.8,12,20 servings, 2 hrs 45 mins
25,6583189,Fruit Salad for Easter Sunday,20 mins,,20 mins,8 ,8,146,1g,0g,1mg,44mg,34g,3g,30g,4g,40mg,131mg,1mg,382mg,3.3,6,,
26,6582761,Herb Watermelon Feta Salad,20 mins,,20 mins,12 ,12,177,6g,2g,8mg,112mg,31g,2g,25g,4g,36mg,89mg,1mg,480mg,4.7,126,12 servings,
27,6569912,Spicy Mango Salad,15 mins,,45 mins,6 ,6,140,5g,1g,,4mg,26g,3g,21g,1g,43mg,19mg,0mg,274mg,4.5,63,6 servings,30 mins
28,6581047,"Summer Fruit Salad with a Lemon, Honey, and Mint Dressing",20 mins,, 1 hr 20 mins,8 ,8,99,1g,0g,,3mg,25g,3g,20g,2g,51mg,25mg,1mg,316mg,4.9,26,8 servings, 1 hr
29,6576132,"100% Fruit ""Cake""",30 mins,,30 mins,8 ,8,233,1g,0g,,18mg,59g,4g,48g,5g,120mg,59mg,2mg,934mg,5.0,10,8 servings,
30,6663936,Watermelon Feta Salad,20 mins,,20 mins,8 ,8,131,8g,3g,13mg,284mg,12g,1g,9g,3g,15mg,96mg,1mg,237mg,4.7,44,,
31,6595246,Watermelon Cucumber Salad,15 mins,,25 mins,10 ,10,203,7g,3g,13mg,172mg,36g,2g,29g,5g,39mg,110mg,1mg,529mg,4.6,78,,10 mins
32,6574466,Betsy's Mandarin Orange Salad,25 mins,,25 mins,5 ,5,397,27g,4g,,509mg,38g,3g,33g,4g,55mg,79mg,1mg,443mg,4.7,160,5 servings,
33,6738235,"Red, White, and Blueberry Fruit Salad",10 mins,,40 mins,8 ,8,140,1g,0g,,2mg,36g,3g,26g,1g,37mg,13mg,1mg,316mg,4.7,65,,30 mins
34,6582620,Cranberry Jell-O Salad with Mandarin Oranges,15 mins,, 8 hrs 15 mins,12 ,12,209,7g,1g,,51mg,37g,2g,34g,3g,18mg,18mg,1mg,144mg,4.7,12,, 8 hrs
35,6589452,Watermelon Summer Salad,30 mins,,30 mins,6 ,6,157,10g,4g,17mg,315mg,15g,1g,11g,4g,17mg,126mg,1mg,215mg,4.3,126,6 servings,
36,6572187,Lazy Days Ambrosia,10 mins,,40 mins,10 ,10,206,6g,5g,,153mg,39g,2g,35g,1g,29mg,24mg,1mg,240mg,4.9,7,,30 mins
37,6581276,Snow Grapes,20 mins,, 8 hrs 20 mins,12 ,12,247,11g,7g,29mg,69mg,37g,2g,34g,3g,17mg,54mg,1mg,331mg,4.7,39,, 8 hrs
38,6736938,Creamy Cranberry Salad,25 mins,, 8 hrs 25 mins,12 ,12,351,21g,9g,48mg,100mg,41g,3g,,4g,14mg,43mg,1mg,166mg,4.8,132,, 8 hrs
39,6579762,Christmas Cranberry Salad,20 mins,, 9 hrs 20 mins,8 ,8,444,22g,14g,67mg,19mg,64g,2g,59g,2g,11mg,49mg,0mg,141mg,4.6,88,, 9 hrs
40,6581331,Fruit Punch Salad,10 mins,,10 mins,4 ,4,69,0g,0g,,3mg,17g,2g,14g,1g,44mg,16mg,0mg,191mg,4.7,10,4 servings,
41,6574487,Creamy Cranberry Salad,20 mins,, 3 hrs 20 mins,10 ,10,157,6g,2g,1mg,17mg,26g,3g,20g,1g,6mg,30mg,0mg,106mg,4.7,41,, 3 hrs
42,6573280,Sour Cream Cranberry Jell-O Salad,10 mins,, 6 hrs 10 mins,24 ,24,94,4g,3g,8mg,48mg,14g,0g,13g,1g,1mg,23mg,0mg,32mg,4.6,11,, 6 hrs
43,6583669,Strawberry Mango Mesclun Salad,15 mins,,15 mins,12 ,12,320,20g,2g,,205mg,34g,4g,29g,3g,22mg,58mg,1mg,281mg,4.8,86,,
44,6664407,Avocado Watermelon Salad,15 mins,,15 mins,6 ,6,350,32g,4g,,24mg,18g,8g,7g,3g,27mg,42mg,2mg,700mg,3.9,11,12 cups,
45,6737935,Autumn Apple Salad II,10 mins,,10 mins,4 ,4,202,4g,1g,3mg,41mg,39g,4g,31g,5g,7mg,126mg,1mg,319mg,4.5,192,4 servings,
46,6590207,Avocado Pineapple Salad,20 mins,,20 mins,12 ,12,77,5g,1g,,149mg,9g,3g,4g,1g,22mg,13mg,0mg,241mg,4.7,28,,
47,6569637,Green Papaya Salad,20 mins,,20 mins,6 ,6,45,2g,0g,,368mg,7g,1g,4g,2g,32mg,20mg,0mg,201mg,4.0,24,,
48,6574540,"Green Apple Salad With Blueberries, Feta, and Walnuts",15 mins,,45 mins,4 ,4,417,34g,7g,17mg,372mg,26g,4g,19g,6g,13mg,145mg,2mg,332mg,4.7,6,,30 mins
49,6599600,Watermelon and Blue Cheese Salad,20 mins,,20 mins,12 ,12,192,13g,4g,11mg,201mg,16g,1g,13g,4g,16mg,92mg,1mg,261mg,4.8,6,12 servings,
50,6578920,Mojito Fruit Salad,20 mins,, 1 hr 20 mins,6 ,6,83,1g,0g,,7mg,21g,3g,16g,1g,63mg,27mg,1mg,310mg,4.7,132,6 servings, 1 hr
