,id_recipe,name,Prep Time:,Cook Time:,Cool Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Additional Time:
0,7509612,Air Fryer Mini Dark Chocolate Cake with Brown Butter Frosting,20 mins,25 mins,30 mins, 1 hr 15 mins,6 ,6,331,16g,8g,57mg,286mg,46g,1g,39g,3g,2mg,44mg,2mg,75mg,,,,
1,7485999,White Chocolate Buttercream,15 mins,,,15 mins,12 ,12,224,12g,7g,23mg,14mg,29g,0g,28g,1g,0mg,30mg,0mg,43mg,,,Frosting for 12 cupcakes,
2,6588940,Black Forest Cake Icing,5 mins,,,20 mins,12 ,12,225,22g,14g,82mg,23mg,6g,,5g,1g,0mg,39mg,,46mg,4.7,6,3 cups,15 mins
3,6664954,Homemade Whipped Cream,5 mins,,,5 mins,16 ,16,54,6g,3g,20mg,6mg,1g,,1g,0g,0mg,10mg,,12mg,4.6,"1,203",,
4,6649127,Quick and Almost-Professional Buttercream Icing,10 mins,,,10 mins,8 ,8,228,12g,7g,31mg,4mg,32g,,,0g,,8mg,,11mg,4.5,"2,207",2 1/2 cups,
5,6648711,Basic Cream Cheese Frosting,10 mins,,,10 mins,12 ,12,292,14g,9g,41mg,111mg,40g,,39g,2g,,18mg,0mg,27mg,4.7,"1,672",2 cups,
6,6674440,Sugar Cookie Icing,10 mins,,,10 mins,12 ,12,42,,,,1mg,11g,,10g,,,0mg,,0mg,4.5,"3,770",1 dozen cookies' worth,
7,6739871,Fluffy Peanut Butter Frosting,10 mins,,,10 mins,16 ,16,208,14g,5g,16mg,116mg,19g,1g,17g,4g,,12mg,0mg,111mg,4.6,"2,303",2 cups,
8,6663862,Chocolate Ganache,5 mins,5 mins,,15 mins,16 ,16,142,11g,7g,21mg,7mg,9g,1g,7g,1g,0mg,10mg,0mg,72mg,4.8,"1,175",2 cups,5 mins
9,6648996,The Perfect Cinnamon Roll Icing,10 mins,,,10 mins,24 ,24,69,4g,3g,12mg,56mg,8g,,8g,0g,,5mg,,6mg,4.8,515,1 cup,
10,6590617,Vanilla Chantilly Cream,10 mins,,,10 mins,12 ,12,79,7g,5g,27mg,8mg,3g,,3g,0g,0mg,13mg,,15mg,5.0,13,1 1/2 to 2 cups,
