,id_recipe,name,Prep Time:,Cook Time:,Stand Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Active Time:,Yield:,Additional Time:
11,6649033,Good Old-Fashioned Pancakes,5 mins,15 mins,,20 mins,8 ,8,158,6g,3g,38mg,504mg,22g,1g,4g,5g,0mg,140mg,1mg,92mg,4.6,"18,735",,,
12,6740967,Fluffy Pancakes,10 mins,10 mins,,25 mins,4 ,4,230,8g,5g,65mg,650mg,33g,1g,9g,6g,0mg,134mg,2mg,121mg,4.8,"16,943",,8 pancakes,5 mins
13,6663763,Pumpkin Pancakes,10 mins,15 mins,,25 mins,6 ,6,268,6g,1g,34mg,592mg,45g,3g,10g,8g,2mg,200mg,3mg,247mg,4.6,"3,100",,12 pancakes,
14,6600276,Fluffy Flapjack Pancakes,10 mins,5 mins,,15 mins,8 ,8,243,10g,2g,51mg,468mg,32g,1g,8g,7g,0mg,150mg,2mg,142mg,4.3,45,,8 pancakes,
15,6663300,Buttermilk Pancakes,15 mins,10 mins,,25 mins,12 ,12,219,7g,4g,63mg,516mg,31g,1g,7g,7g,1mg,146mg,2mg,160mg,4.7,"3,918",,12 5-inch pancakes,
16,6664163,Authentic Swedish Pancakes,10 mins,15 mins,,25 mins,13 ,13,66,3g,1g,47mg,122mg,8g,0g,2g,3g,,35mg,1mg,59mg,4.6,66,,52 mini pancakes,
17,6648557,Quick Almond Flour Pancakes,10 mins,10 mins,,20 mins,4 ,4,240,19g,2g,93mg,181mg,10g,3g,4g,10g,,17mg,1mg,44mg,4.3,349,,4 pancakes,
18,6650373,Todd's Famous Blueberry Pancakes,10 mins,15 mins,, 1 hr 25 mins,6 ,6,146,3g,1g,37mg,397mg,25g,1g,4g,5g,0mg,150mg,2mg,108mg,4.4,"1,394",,12 pancakes, 1 hr
19,6649622,German Pancakes,15 mins,30 mins,,45 mins,6 ,6,236,14g,7g,210mg,190mg,18g,1g,2g,10g,0mg,80mg,2mg,153mg,4.6,496,,,
20,6649223,Old-Fashioned Pancakes,5 mins,20 mins,,25 mins,4 ,4,318,12g,7g,76mg,1119mg,44g,1g,7g,9g,0mg,342mg,3mg,185mg,4.6,"1,068",,12 pancakes,
21,6648818,Vegan Pancakes,5 mins,10 mins,,15 mins,3 ,3,264,5g,1g,,717mg,49g,1g,9g,5g,,191mg,3mg,58mg,4.4,889,,9 pancakes,
