,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:
0,6664591,20 mins,10 mins, 4 hrs, 4 hrs 30 mins,10 ,10,390,19g,3g,8mg,529mg,49g,3g,16g,7g,13mg,21mg,2mg,134mg,4.4,"2,821",
1,6650488,15 mins,,,15 mins,4 ,4,262,22g,3g,,596mg,18g,11g,3g,4g,26mg,35mg,1mg,866mg,4.8,"7,609",
2,6664067,5 mins,15 mins,,20 mins,4 ,4,510,27g,4g,95mg,1136mg,56g,5g,10g,13g,43mg,104mg,4mg,556mg,4.7,"1,056",
3,6649729,25 mins,5 mins, 3 hrs, 3 hrs 30 mins,10 ,10,155,1g,0g,,5mg,39g,5g,29g,2g,94mg,45mg,1mg,451mg,4.6,583,
4,6648675,2 mins,3 mins,,5 mins,1 ,1,123,2g,0g,,22mg,27g,4g,5g,5g,10mg,3mg,1mg,386mg,4.6,558,
5,6582018,15 mins,40 mins,,55 mins,8 ,8,398,12g,7g,31mg,232mg,74g,3g,50g,3g,14mg,26mg,2mg,123mg,4.7,21,
6,6665053,15 mins, 2 hrs 50 mins,15 mins, 3 hrs 20 mins,4 ,4,488,23g,8g,88mg,782mg,52g,2g,42g,19g,2mg,83mg,3mg,459mg,4.6,857,4 servings
7,6664300,15 mins,,,15 mins,6 ,,,,,,,,,,,,,,,4.8,"1,782",
8,6664153,20 mins,30 mins,,50 mins,10 ,10,224,16g,8g,68mg,469mg,15g,2g,5g,6g,5mg,150mg,1mg,227mg,4.7,"2,477",1 (9x13-inch) casserole
9,6648169,25 mins,50 mins,, 1 hr 15 mins,8 ,8,366,17g,5g,4mg,318mg,53g,4g,26g,3g,7mg,11mg,2mg,86mg,4.6,"2,038",1 pie
10,6737337,30 mins,40 mins,15 mins, 1 hr 25 mins,8 ,8,428,20g,6g,31mg,358mg,59g,2g,30g,5g,36mg,22mg,2mg,81mg,4.6,787,1 9-inch pie
11,6648925,30 mins, 1 hr 5 mins,, 1 hr 35 mins,6 ,6,441,30g,11g,117mg,582mg,17g,1g,11g,25g,2mg,65mg,3mg,469mg,4.7,760,
12,6664574,10 mins,10 mins,,20 mins,4 ,4,445,28g,12g,174mg,967mg,9g,1g,2g,39g,3mg,171mg,4mg,517mg,4.3,810,4 hamburgers
13,6650049,20 mins,20 mins,,40 mins,16 ,16,318,23g,8g,43mg,776mg,19g,1g,6g,9g,,79mg,2mg,136mg,4.6,945,16 corn dogs
14,6663373,30 mins,,,30 mins,56 ,56,66,5g,3g,13mg,178mg,4g,1g,1g,2g,4mg,54mg,0mg,96mg,4.7,"2,824",
15,6650752,30 mins,15 mins,,45 mins,8 ,8,443,32g,10g,39mg,836mg,25g,4g,3g,16g,35mg,242mg,3mg,259mg,4.7,276,
16,6663425,30 mins,30 mins,, 1 hr,15 ,15,722,29g,9g,333mg,1576mg,46g,6g,5g,68g,43mg,168mg,6mg,1878mg,4.8,547,
17,6650668,30 mins, 1 hr,30 mins, 2 hrs,8 ,8,373,22g,14g,82mg,52mg,42g,2g,37g,4g,54mg,60mg,0mg,252mg,4.8,486,1 pavlova
18,6649212,5 mins,10 mins,,15 mins,3 ,3,65,5g,1g,,1286mg,6g,3g,1g,2g,15mg,64mg,1mg,234mg,4.7,557,
19,6650098,15 mins,20 mins,14 days 8 hrs,14 days 8 hrs 35 mins,48 ,48,8,,,,2mg,2g,1g,0g,1g,4mg,11mg,0mg,55mg,4.6,170,6 (1/2-pint) jars
20,6737994,15 mins,15 mins, 3 hrs, 3 hrs 30 mins,8 ,8,265,11g,5g,20mg,109mg,42g,2g,29g,2g,45mg,26mg,1mg,147mg,4.6,"1,299",1 9-inch pie
21,6663849,40 mins,40 mins, 1 hr, 2 hrs 20 mins,8 ,8,248,8g,2g,0mg,119mg,42g,5g,22g,3g,15mg,29mg,1mg,145mg,4.7,731,1 9-inch pie
22,6649139,15 mins,5 mins,,20 mins,6 ,6,164,6g,1g,230mg,586mg,3g,1g,0g,25g,18mg,60mg,4mg,259mg,4.6,"1,143",
23,6649304,5 mins,,,5 mins,12 ,12,118,7g,4g,21mg,68mg,13g,,8g,2g,,15mg,0mg,23mg,4.8,"1,154",
24,6651133,15 mins,35 mins,30 mins, 1 hr 20 mins,8 ,8,489,22g,6g,116mg,140mg,30g,1g,2g,41g,1mg,62mg,3mg,385mg,4.5,739,
25,6575082,25 mins,50 mins,, 1 hr 15 mins,12 ,12,206,9g,5g,55mg,157mg,29g,1g,16g,3g,2mg,40mg,1mg,57mg,4.5,510,1 (8-inch square) cake
26,6664250,5 mins, 1 hr 45 mins,, 1 hr 50 mins,4 ,4,441,22g,8g,128mg,4260mg,25g,1g,17g,33g,1mg,56mg,2mg,517mg,4.8,"1,857",
27,6649799,5 mins,,,5 mins,2 ,2,345,19g,11g,70mg,155mg,37g,1g,,9g,1mg,307mg,0mg,440mg,4.4,181,
28,6651188,5 mins,, 3 hrs 15 mins, 3 hrs 20 mins,7 ,7,73,,,,41mg,19g,,19g,,,7mg,,22mg,4.8,"1,499",8 cups
29,6663339,30 mins,,30 mins, 1 hr,12 ,12,576,25g,16g,40mg,260mg,85g,2g,48g,7g,1mg,165mg,1mg,336mg,4.8,183,1 9x13-inch cake
30,6665040,10 mins,,,10 mins,4 ,4,118,1g,0g,,16mg,29g,4g,20g,2g,129mg,36mg,1mg,443mg,4.4,81,
31,6650391,5 mins,5 mins,,10 mins,4 ,4,102,9g,6g,23mg,64mg,5g,2g,2g,3g,7mg,34mg,3mg,241mg,4.5,932,
32,6596085,5 mins,,,5 mins,1 ,1,287,0g,,,25mg,74g,1g,52g,0g,28mg,14mg,0mg,78mg,4.3,52,
33,6664032,30 mins,20 mins,,50 mins,8 ,8,430,21g,10g,66mg,347mg,55g,4g,23g,7g,79mg,209mg,3mg,305mg,4.3,561,1 8-inch round cake
34,6650742,15 mins,15 mins,30 mins, 1 hr,12 ,12,289,14g,3g,8mg,764mg,35g,4g,7g,10g,13mg,153mg,2mg,324mg,4.6,171,
35,6601453,15 mins,10 mins,,25 mins,6 ,6,55,2g,0g,,141mg,8g,3g,3g,2g,13mg,31mg,1mg,167mg,4.5,403,
36,6663733,10 mins,,,10 mins,6 ,6,199,15g,5g,24mg,338mg,6g,1g,4g,10g,12mg,311mg,1mg,261mg,4.8,90,
37,6740961,20 mins,25 mins, 16 hrs, 16 hrs 45 mins,4 ,4,418,29g,6g,59mg,2816mg,16g,4g,7g,26g,98mg,41mg,4mg,881mg,4.7,328,
38,6739678,10 mins,15 mins,,25 mins,8 ,8,24,1g,0g,,440mg,5g,1g,3g,1g,8mg,13mg,1mg,180mg,4.6,597,
39,6737798,15 mins,20 mins,,35 mins,6 ,6,420,23g,12g,73mg,700mg,47g,0g,47g,11g,15mg,16mg,1mg,136mg,4.7,395,
40,6591043,10 mins,5 mins,30 mins,45 mins,12 ,12,46,3g,2g,8mg,23mg,5g,1g,4g,0g,19mg,6mg,0mg,44mg,4.7,250,
41,6651087,10 mins,15 mins,,25 mins,6 ,6,49,2g,0g,,327mg,7g,3g,2g,3g,90mg,49mg,4mg,323mg,4.4,"1,524",
42,6597426,20 mins,, 8 hrs, 8 hrs 20 mins,8 to 10 ,8 to 10,517,36g,19g,81mg,228mg,46g,2g,29g,5g,0mg,59mg,7mg,195mg,5.0,4,1 (8x4-inch) ice cream cake
43,6585791,15 mins,10 mins,,25 mins,10 ,10,363,27g,7g,51mg,984mg,12g,1g,2g,18g,5mg,25mg,1mg,378mg,4.5,503,
44,6650277,30 mins, 1 hr 10 mins,30 mins, 2 hrs 10 mins,18 ,18,338,18g,7g,26mg,177mg,44g,1g,30g,2g,31mg,16mg,1mg,69mg,4.6,708,1 9x13-inch dish
45,6649775,15 mins, 2 hrs 30 mins, 8 hrs, 10 hrs 45 mins,4 ,4,697,37g,14g,170mg,1607mg,46g,1g,33g,43g,1mg,88mg,2mg,790mg,4.8,"2,031",
