,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Soak Time:,Yield:
28,6594557,50 mins,15 mins,, 1 hr 5 mins,8 ,8,117,11g,2g,4mg,447mg,3g,1g,1g,3g,3mg,71mg,1mg,79mg,4.7,54,,1 focaccia
29,6581812,40 mins,20 mins,, 1 hr,10 ,10,107,10g,5g,20mg,331mg,3g,0g,1g,2g,0mg,55mg,0mg,40mg,4.6,111,,10 servings
30,6580417,30 mins,10 mins,10 mins,50 mins,10 ,10,271,7g,1g,2mg,216mg,48g,2g,22g,6g,0mg,91mg,2mg,149mg,5.0,5,,10 hotteok
31,6604642,30 mins,20 mins, 2 hrs, 2 hrs 50 mins,12 ,12,96,0g,0g,0mg,196mg,20g,1g,1g,3g,,8mg,1mg,42mg,4.7,30,,1 loaf
32,6738171,30 mins,25 mins, 1 hr 40 mins, 2 hrs 35 mins,6 ,6,237,9g,6g,23mg,393mg,33g,1g,1g,5g,0mg,27mg,2mg,77mg,4.5,159,,6 generous pieces
33,6578216,15 mins,25 mins, 1 hr 5 mins, 1 hr 45 mins,6 ,6,156,3g,0g,,99mg,31g,4g,2g,5g,,3mg,0mg,41mg,,,,6 pitas
34,6738480,30 mins,20 mins, 2 hrs 55 mins, 3 hrs 45 mins,4 ,4,503,17g,8g,29mg,1138mg,63g,4g,3g,22g,3mg,348mg,4mg,233mg,4.8,12,,2 scacce
35,6593207,40 mins,40 mins,40 mins, 2 hrs,4 ,4,995,59g,26g,119mg,1282mg,97g,6g,8g,20g,15mg,148mg,6mg,593mg,4.0,3,,4 servings
36,6571309,15 mins,5 mins, 1 hr, 1 hr 20 mins,6 ,6,308,13g,2g,31mg,534mg,44g,9g,3g,6g,0mg,241mg,2mg,182mg,5.0,8,,6 pita breads
37,6603915, 1 hr 45 mins,15 mins,, 2 hrs,4 ,4,355,14g,2g,,293mg,49g,2g,1g,7g,,11mg,3mg,103mg,4.5,147,,4 to 6 servings
38,6649292,15 mins,25 mins,40 mins, 1 hr 20 mins,15 ,15,127,3g,1g,1mg,321mg,21g,1g,1g,3g,0mg,13mg,1mg,39mg,4.7,307,,
39,6581281,45 mins, 1 hr,30 mins, 2 hrs 15 mins,12 ,12,560,22g,14g,76mg,803mg,61g,3g,3g,29g,17mg,711mg,3mg,522mg,5.0,2,,12 hychin
40,6587111,30 mins,20 mins, 2 hrs, 2 hrs 50 mins,16 ,16,1,,,,436mg,0g,0g,,0g,,1mg,0mg,9mg,4.1,42,,16 pieces
41,6586027,30 mins,25 mins,,55 mins,40 ,40,266,17g,2g,,62mg,26g,3g,0g,4g,2mg,72mg,6mg,83mg,5.0,1,,40 servings
42,6579756,30 mins,10 mins,40 mins, 1 hr 20 mins,12 ,12,172,5g,1g,,292mg,28g,1g,0g,4g,,7mg,2mg,51mg,4.6,43,,1 dozen pita breads
