,id_recipe,Prep Time:,Cook Time:,Rise Time:,Stand Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Additional Time:,Bake Time:,Cool Time:
44,6738191,30 mins,40 mins,,, 3 hrs 40 mins,30 ,30,165,3g,1g,19mg,241mg,30g,1g,5g,4g,,13mg,2mg,56mg,4.6,834,2 braided loaves, 2 hrs 30 mins,,
45,6568840, 1 hr,10 mins,,, 3 hrs 10 mins,36 ,36,273,11g,7g,39mg,128mg,39g,1g,,4g,2mg,33mg,2mg,80mg,4.4,82,36 pastries, 2 hrs,,
46,6650997,25 mins,,,, 2 hrs 20 mins,10 ,10,167,2g,0g,,236mg,33g,4g,1g,6g,,13mg,2mg,142mg,4.6,"1,094",1 large pizza crust, 1 hr 55 mins,,
47,6663846,20 mins,20 mins,,,1 day 1 hr,15 ,15,96,1g,0g,0mg,235mg,18g,1g,0g,3g,,7mg,1mg,31mg,4.6,297,2 loaves,1 day 20 mins,,
48,6650438,20 mins,20 mins,,, 2 hrs 25 mins,12 ,12,217,4g,2g,40mg,109mg,41g,2g,16g,5g,1mg,25mg,2mg,154mg,4.5,268,12 hot cross buns, 1 hr 45 mins,,
49,6594917,20 mins,,,,20 mins,4 ,4,438,8g,1g,,296mg,81g,3g,9g,10g,0mg,18mg,5mg,142mg,4.7,117,4 medium calzones,,,
50,6605569,40 mins,15 mins,,, 11 hrs 15 mins,12 ,12,196,13g,7g,46mg,304mg,16g,1g,2g,3g,,24mg,1mg,57mg,4.2,137,12 croissants, 10 hrs 20 mins,,
51,6569846,10 mins, 1 hr,,, 2 hrs 40 mins,8 ,8,198,5g,1g,47mg,340mg,35g,6g,3g,6g,,52mg,1mg,48mg,4.7,31,1 loaf, 1 hr 30 mins,,
52,6663119,25 mins,45 mins,,, 1 hr 15 mins,2 ,2,1058,71g,27g,143mg,496mg,96g,5g,38g,12g,5mg,49mg,4mg,229mg,4.7,160,2 apple roses,5 mins,,
53,6739251,5 mins,,,,4 days 5 mins,15 ,15,62,0g,,,2mg,13g,1g,,2g,,4mg,1mg,28mg,4.3,308,3 cups,4 days,,
54,6595582,20 mins,20 mins,,, 2 hrs 25 mins,12 ,12,395,15g,9g,52mg,303mg,59g,2g,19g,7g,0mg,47mg,3mg,117mg,4.5,245,12 conchas, 1 hr 45 mins,,
55,6584330,15 mins,15 mins,,, 1 hr 30 mins,18 ,18,160,6g,1g,11mg,75mg,22g,1g,4g,4g,,22mg,1mg,60mg,4.6,21,18 donuts, 1 hr,,
56,6648807,40 mins,10 mins,,, 2 hrs,12 ,12,237,2g,0g,,4681mg,49g,2g,9g,6g,,12mg,3mg,84mg,4.6,"2,682",12 pretzels, 1 hr 10 mins,,
57,6738217,25 mins,25 mins,,, 1 hr 30 mins,12 ,12,347,13g,2g,17mg,262mg,55g,2g,27g,5g,0mg,54mg,2mg,160mg,4.7,"2,432",12 rolls,40 mins,,
58,6572708,45 mins,25 mins,,, 3 hrs,9 ,9,251,12g,6g,26mg,178mg,34g,1g,14g,4g,0mg,30mg,1mg,72mg,4.4,5,9 rolls, 1 hr 50 mins,,
59,6649866,20 mins,10 mins,,, 1 hr 35 mins,12 ,12,270,9g,1g,17mg,405mg,46g,2g,25g,5g,1mg,44mg,2mg,240mg,4.3,51,1 dozen, 1 hr 5 mins,,
60,6739460,10 mins,,,,10 mins,15 ,15,112,2g,0g,,156mg,20g,1g,1g,3g,,5mg,1mg,36mg,4.4,"2,862",1 pizza,,,
61,6739021,20 mins,15 mins,,, 1 hr 5 mins,12 ,12,230,5g,3g,27mg,334mg,39g,1g,3g,6g,,35mg,2mg,99mg,4.5,"1,071",12 hamburger buns or 16 hot dog buns,30 mins,,
