,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Cholesterol
0,6663120,5 mins,5 mins,10 mins,20 mins,6 ,6,94,1g,0g,14mg,22g,2g,7g,3g,7mg,2mg,1mg,246mg,4.8,520,,
1,6663158,5 mins,25 mins,,30 mins,6 ,6,140,1g,0g,354mg,27g,6g,1g,6g,3mg,39mg,2mg,298mg,4.3,"1,299",,
2,6664771,30 mins, 1 hr 30 mins,, 2 hrs,8 ,8,133,4g,1g,132mg,23g,7g,11g,4g,81mg,113mg,2mg,802mg,4.7,133,2 quarts,
3,6664793,10 mins,10 mins,,20 mins,2 ,2,136,3g,1g,14mg,29g,2g,13g,1g,17mg,13mg,1mg,450mg,4.6,132,,
4,6651040,10 mins, 7 hrs 20 mins,, 7 hrs 30 mins,10 ,10,122,0g,,196mg,26g,5g,12g,5g,2mg,53mg,2mg,364mg,4.5,133,5 cups,
5,6603277,10 mins,15 mins,,25 mins,4 ,4,120,4g,1g,47mg,20g,3g,0g,2g,1mg,2mg,0mg,11mg,4.8,12,,
6,6594528,10 mins,5 mins,,15 mins,4 ,4,140,4g,1g,139mg,8g,2g,4g,19g,43mg,44mg,1mg,303mg,4.4,253,,67mg
7,6649500,20 mins, 1 hr 25 mins,, 1 hr 45 mins,8 ,8,115,2g,0g,56mg,22g,2g,4g,3g,9mg,59mg,1mg,258mg,4.3,45,,4mg
8,6582924,10 mins, 2 hrs,5 mins, 2 hrs 15 mins,2 ,2,106,0g,0g,1mg,27g,3g,15g,1g,12mg,6mg,0mg,426mg,2.6,10,,
9,6664857,25 mins,,,25 mins,6 ,6,137,5g,1g,108mg,25g,2g,20g,1g,33mg,38mg,0mg,206mg,4.6,787,,3mg
10,6577852,5 mins,5 mins,,10 mins,6 ,6,88,3g,1g,345mg,14g,3g,3g,4g,8mg,23mg,1mg,197mg,4.7,260,,
11,6592681,20 mins,20 mins,,40 mins,8 ,8,37,0g,0g,159mg,8g,2g,5g,2g,30mg,22mg,1mg,385mg,4.9,29,,
12,6579043,10 mins,,,10 mins,4 ,4,53,1g,0g,13mg,12g,3g,7g,2g,31mg,34mg,1mg,545mg,4.3,250,4 cups,
13,6574310,10 mins,25 mins,,35 mins,4 ,4,162,4g,1g,49mg,30g,4g,1g,4g,34mg,22mg,1mg,721mg,4.8,8,,
14,6589392,30 mins,25 mins,1 day 30 mins,1 day 1 hr 25 mins,12 ,12,238,10g,1g,67mg,16g,1g,,21g,3mg,44mg,1mg,590mg,4.5,13,,49mg
15,6580761,15 mins,25 mins,,40 mins,8 ,8,189,5g,1g,74mg,32g,2g,5g,6g,27mg,25mg,3mg,293mg,4.5,26,,47mg
16,6598795,35 mins, 1 hr,30 mins, 2 hrs 5 mins,8 ,8,203,3g,1g,338mg,35g,3g,3g,12g,41mg,75mg,2mg,707mg,4.3,7,,26mg
17,6738427,20 mins,10 mins,35 mins, 1 hr 5 mins,6 ,6,103,3g,0g,43mg,20g,3g,4g,3g,27mg,11mg,1mg,361mg,4.6,154,,
18,6648361,10 mins,1 day 30 mins,,1 day 40 mins,8 ,8,49,0g,0g,186mg,11g,2g,6g,2g,10mg,34mg,1mg,360mg,4.5,21,8 cups,
19,6663947,5 mins,40 mins,,45 mins,6 ,6,84,,,132mg,16g,4g,1g,4g,5mg,22mg,2mg,15mg,4.4,179,,
