,id_recipe,name,Prep Time:,Cook Time:,Rest Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Yield:
26,6739764,Randy's Slow Cooker Ravioli Lasagna,15 mins, 4 hrs 5 mins,, 4 hrs 20 mins,8 ,8,544,24g,10g,91mg,1334mg,53g,7g,17g,29g,4mg,397mg,4mg,761mg,4.5,432,,8 servings
27,6573394,Simply Traditional Lasagna,20 mins,40 mins,, 1 hr,8 ,8,736,35g,15g,104mg,1453mg,63g,6g,12g,44g,4mg,604mg,5mg,780mg,4.5,234,,8 servings
28,6739134,Lasagna Stuffed Shells,20 mins,25 mins,,45 mins,6 ,6,734,35g,18g,197mg,2487mg,42g,5g,12g,63g,18mg,795mg,6mg,1296mg,4.6,324,,18 stuffed shells
29,6587724,Mexican Lasagna,25 mins,20 mins,,45 mins,5 ,5,447,24g,10g,79mg,899mg,33g,5g,5g,23g,7mg,141mg,4mg,571mg,4.4,601,,4 to 6 servings
30,6602153,Buffalo Chicken Lasagna,20 mins, 1 hr 5 mins,, 1 hr 45 mins,8 ,8,657,38g,12g,124mg,1734mg,38g,2g,5g,39g,2mg,447mg,2mg,403mg,4.9,11,20 mins,8 servings
31,6574769,Artichoke Spinach Lasagna,20 mins, 1 hr,, 1 hr 20 mins,8 ,8,396,16g,7g,42mg,1139mg,45g,7g,12g,21g,16mg,485mg,3mg,556mg,4.6,"1,811",,8 servings
32,6663801,Ragú No Boiling Lasagna,10 mins, 1 hr 10 mins,, 1 hr 30 mins,12 ,,,,,,,,,,,,,,,4.5,59,10 mins,1 (9x13-inch) dish
33,6588682,Cabbage Lasagna,45 mins, 1 hr 30 mins,, 2 hrs 30 mins,12 ,12,235,10g,5g,47mg,1018mg,14g,4g,8g,24g,42mg,341mg,2mg,437mg,4.3,6,15 mins,12 servings
34,6594376,Seafood Lasagna II,30 mins, 1 hr 30 mins,, 2 hrs,12 ,12,764,46g,22g,183mg,1726mg,44g,2g,7g,46g,2mg,620mg,3mg,589mg,4.5,165,,12 servings
35,6600608,Passover Matzo Lasagna,20 mins,30 mins,,50 mins,12 ,12,242,9g,5g,84mg,637mg,23g,2g,7g,16g,1mg,203mg,2mg,315mg,4.4,30,,1 - 9x13 inch pan
36,6603687,Tofu Lasagna,20 mins,35 mins,,55 mins,7 ,7,324,15g,6g,81mg,569mg,26g,3g,5g,24g,1mg,693mg,3mg,344mg,4.4,284,,6 to 8 servings
37,6739752,Mexican Lasagna with Noodles,30 mins, 1 hr 30 mins,, 2 hrs,12 ,12,559,19g,10g,60mg,606mg,72g,5g,3g,26g,5mg,149mg,4mg,431mg,4.4,270,,12 servings
38,6595638,Delicious Spinach and Turkey Lasagna,20 mins,35 mins,,55 mins,8 ,8,326,6g,3g,69mg,768mg,34g,5g,7g,33g,15mg,302mg,4mg,719mg,4.4,162,,8 servings
39,6584769,Chicken and Spinach Alfredo Lasagna,30 mins, 1 hr 30 mins,, 2 hrs,12 ,12,591,44g,23g,160mg,847mg,22g,2g,2g,29g,9mg,384mg,3mg,452mg,4.6,443,,12 servings
40,6578541,Easy Vegetarian Spinach Lasagna,20 mins, 1 hr 5 mins,, 1 hr 30 mins,6 ,6,305,10g,5g,55mg,443mg,37g,4g,6g,18g,17mg,368mg,3mg,599mg,4.6,109,5 mins,6 servings
41,6601767,Healthier World's Best Lasagna,30 mins, 2 hrs 30 mins,, 3 hrs 15 mins,12 ,12,390,15g,7g,81mg,1129mg,33g,4g,6g,33g,16mg,623mg,4mg,865mg,4.6,72,15 mins,12 servings
42,6651086,Grammy's Overnight Lasagna,10 mins, 1 hr 5 mins,, 9 hrs 15 mins,8 ,8,559,24g,12g,94mg,1339mg,44g,4g,11g,40g,2mg,460mg,3mg,664mg,4.8,78, 8 hrs,8 servings
43,6648913,Linda's Lasagna,45 mins, 1 hr 45 mins,, 2 hrs 30 mins,8 ,8,494,22g,11g,105mg,1626mg,38g,4g,9g,38g,15mg,585mg,4mg,891mg,4.7,"1,582",,1 - 9x13 inch lasagna
44,6664114,Lasagna Roll-Ups,30 mins,50 mins,, 1 hr 20 mins,9 ,9,524,22g,11g,98mg,898mg,48g,3g,10g,35g,7mg,554mg,4mg,587mg,4.1,24,,
45,6603829,Lasagna Alfredo Roll Ups,,,,,8 ,8,485,34g,15g,88mg,1108mg,27g,2g,4g,21g,2mg,347mg,2mg,283mg,4.5,588,,8 servings
46,6741776,Vegan Lasagna I,30 mins, 2 hrs,, 2 hrs 30 mins,8 ,8,511,16g,2g,,1074mg,70g,11g,12g,33g,37mg,1030mg,10mg,1384mg,4.4,194,,8 servings
47,6738093,Cheesy Vegetable Lasagna,35 mins,35 mins,, 1 hr 20 mins,12 ,12,375,15g,8g,45mg,530mg,37g,4g,7g,25g,65mg,549mg,3mg,661mg,4.0,214,10 mins,12 servings
48,6585943,Slow-Cooker Lasagna,20 mins,,, 4 hrs 20 mins,8 ,,,,,,,,,,,,,,,4.4,211, 4 hrs,8 servings
