,id_recipe,name,Prep Time:,Chill Time:,Bake Time:,Cool Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Cook Time:,Additional Time:,Total Sugars,Vitamin C,Calcium,Iron
0,6833554,Gingerbread Snowflakes,30 mins, 1 hr,15 mins,30 mins, 2 hrs 15 mins,30 ,30 gingerbread cookies,30,91,5g,3g,18mg,100mg,12g,0g,0g,76mg,5.0,4,,,,,,
1,6664203,Big Soft Ginger Cookies,20 mins,,,,35 mins,24 ,2 dozen,24,143,6g,1g,8mg,147mg,21g,0g,2g,71mg,4.7,"6,823",10 mins,5 mins,11g,0mg,13mg,1mg
2,6650664,Best Gingerbread Men Cookies,20 mins,,,, 4 hrs 30 mins,24 ,2 dozen cookies,24,158,6g,4g,23mg,125mg,24g,1g,2g,133mg,4.6,380,10 mins, 4 hrs,11g,,26mg,1mg
3,6648922,Kim's Gingerbread Cookies,20 mins,,,, 3 hrs 40 mins,72 ,6 dozen,72,90,3g,1g,3mg,24mg,15g,0g,1g,85mg,3.7,326,20 mins, 3 hrs,6g,,26mg,1mg
4,6582054,Soft Gingerbread Cookies,30 mins,,,, 3 hrs 40 mins,36 ,3 dozen,36,75,1g,0g,2mg,43mg,16g,0g,1g,116mg,3.8,241,10 mins, 3 hrs,6g,,18mg,1mg
5,6588668,Gingerbread Biscotti,25 mins,,,, 1 hr 5 mins,48 ,4 dozen,48,70,2g,0g,12mg,27mg,12g,1g,1g,49mg,4.4,413,40 mins,,5g,0mg,20mg,1mg
6,6739430,Gingerbread Men,25 mins,,,, 1 hr 37 mins,30 ,2 1/2 dozen,30,79,3g,2g,14mg,63mg,12g,0g,1g,16mg,4.6,"1,010",12 mins, 1 hr,6g,,7mg,0mg
7,6581342,Heather's Gingerbread Cookies,,,,,,30 ,2 1/2 dozen,30,264,5g,2g,,199mg,52g,1g,3g,315mg,3.9,142,,,25g,0mg,47mg,2mg
8,6580445,Easy Vegan Gingerbread Cookies,30 mins,,,, 2 hrs 40 mins,24 ,2 dozen,24,90,5g,4g,,73mg,12g,0g,1g,77mg,4.5,13,10 mins, 2 hrs,5g,,23mg,1mg
9,6577544,McCormick® Gingerbread Men Cookies,20 mins,,,, 4 hrs 30 mins,24 ,24 (1 cookie) servings,24,158,6g,4g,23mg,125mg,24g,1g,2g,133mg,4.6,513,10 mins, 4 hrs,11g,,26mg,1mg
10,6738530,Children's Gingerbread House, 2 hrs 30 mins,,,,24 days 2 hrs 40 mins,15 ,1 gingerbread house,15,736,10g,6g,49mg,172mg,160g,1g,5g,249mg,4.1,125,10 mins,24 days,136g,1mg,84mg,2mg
11,6578431,Cake Mix Gingerbread Men,30 mins,,,, 3 hrs,12 ,,12,454,17g,4g,31mg,361mg,74g,1g,3g,160mg,4.7,14,10 mins, 2 hrs 20 mins,25g,,25mg,1mg
12,6595772,Gluten-Free Gingersnap Cookies,30 mins,,,, 1 hr 45 mins,25 ,25 cookies,25,123,8g,4g,22mg,57mg,13g,2g,2g,110mg,5.0,3,10 mins, 1 hr 5 mins,8g,0mg,40mg,1mg
13,6587446,Gingerbread Cookie Mix in a Jar,20 mins,,,,20 mins,18 ,,18,137,0g,0g,,101mg,31g,1g,3g,48mg,4.4,43,,,12g,0mg,32mg,1mg
14,6590539,Gingerbread Boys,15 mins,,,, 2 hrs 25 mins,60 ,5 dozen,60,73,3g,2g,11mg,86mg,10g,0g,1g,10mg,4.5,424,10 mins, 2 hrs,5g,0mg,4mg,0mg
15,6573854,Classic Gingerbread Cutouts,30 mins,,,, 1 hr,36 ,3 dozen,36,153,3g,2g,17mg,80mg,30g,0g,2g,124mg,4.3,161,10 mins,20 mins,18g,,20mg,1mg
16,6566699,Egg-Free Gingerbread Cookies,40 mins,,,, 8 hrs 55 mins,48 ,4 dozen,48,108,4g,2g,10mg,35mg,18g,0g,1g,11mg,,,15 mins, 8 hrs,12g,0mg,4mg,0mg
17,6565864,Easy Gingerbread House, 1 hr,,,, 1 hr 40 mins,12 ,1 gingerbread house,12,1132,32g,20g,81mg,488mg,200g,4g,14g,654mg,3.5,2,10 mins,30 mins,83g,1mg,121mg,8mg
18,6567836,Gingerbread Cookies without Molasses,30 mins,,,, 2 hrs 10 mins,60 ,5 dozen cookies,60,73,3g,2g,11mg,43mg,10g,0g,1g,10mg,5.0,1,40 mins, 1 hr,5g,0mg,4mg,0mg
19,6588387,Lassy Mogs,10 mins,,,, 12 hrs,48 ,4 dozen,48,195,7g,3g,10mg,105mg,33g,2g,2g,235mg,4.5,6,20 mins, 11 hrs 30 mins,16g,0mg,37mg,1mg
20,6590316,Christmas Gingerbread House, 1 hr,,,, 20 hrs 13 mins,30 ,30 servings,30,448,7g,4g,30mg,156mg,96g,1g,3g,158mg,4.5,6,10 mins, 19 hrs 3 mins,78g,0mg,35mg,1mg
21,6578158,Gingerbread Gooey Butter Cookies,15 mins,,,, 3 hrs,48 ,48 butter cookies,48,100,4g,2g,18mg,68mg,16g,0g,1g,26mg,5.0,1,15 mins, 2 hrs 30 mins,11g,,22mg,0mg
22,6577590,Chocolate Gingersnaps,20 mins,,,,35 mins,18 ,18 cookies,18,193,9g,6g,17mg,130mg,27g,1g,2g,118mg,4.3,6,10 mins,5 mins,17g,,38mg,1mg
