,id_recipe,Prep Time:,Cook Time:,Cool Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Total Sugars,Vitamin C,Calcium,Iron,Additional Time:,Saturated Fat,Cholesterol
16,6597483,10 mins, 3 hrs 10 mins,,1 day 4 hrs 35 mins,12 ,1 12-pound turkey,12,771,36g,397mg,9g,1g,98g,1195mg,5.0,6,8g,2mg,293mg,7mg,1 day 1 hr 15 mins,11g,279mg
17,6599648,5 mins,20 mins,, 1 hr 30 mins,7 ,7 quarts,,,,,,,,,4.7,51,,,,, 1 hr 5 mins,,
18,6568012,10 mins,,,10 mins,12 ,12 turkey rub,12,28,0g,875mg,6g,1g,1g,69mg,5.0,2,4g,2mg,15mg,1mg,,0g,
19,6586946,10 mins,,, 1 hr 10 mins,1 ,34 servings,1,382,1g,114785mg,97g,3g,2g,899mg,4.7,17,78g,20mg,445mg,7mg, 1 hr,0g,
20,6576266,15 mins,5 mins,,20 mins,12 ,12 servings,12,105,1g,11308mg,23g,3g,2g,284mg,5.0,4,16g,5mg,92mg,127mg,,0g,
21,6599479,10 mins,10 mins,,20 mins,20 ,20 servings,20,249,0g,16mg,66g,1g,1g,176mg,5.0,1,64g,30mg,34mg,1mg,,,
22,6570468,15 mins,10 mins,, 1 hr 25 mins,12 ,12 servings,12,194,0g,7617mg,49g,1g,0g,73mg,,,45g,2mg,16mg,0mg, 1 hr,,
23,6602187,15 mins,15 mins,, 1 hr 40 mins,20 ,20 servings,20,55,0g,6854mg,15g,1g,1g,111mg,5.0,1,12g,17mg,32mg,0mg, 1 hr 10 mins,,
24,6581924,30 mins, 6 hrs 30 mins,,1 day 7 hrs,12 ,1 20-pound turkey,12,1320,57g,9411mg,36g,3g,155g,1710mg,4.9,7,31g,6mg,191mg,10mg,1 day,16g,455mg
25,6602871,25 mins,16 mins,,41 mins,31 ,31 cups,31,102,0g,9mg,16g,1g,0g,107mg,5.0,4,15g,6mg,20mg,0mg,,,
26,6603954,20 mins,,, 12 hrs 20 mins,16 ,1 turkey,16,731,32g,11627mg,13g,0g,92g,928mg,4.8,18,13g,0mg,106mg,6mg, 12 hrs,9g,268mg
27,6594082,35 mins,10 mins,,1 day 1 hr 15 mins,20 ,1 11-pound turkey,20,477,21g,3531mg,15g,2g,52g,826mg,,,9g,22mg,84mg,42mg,1 day 30 mins,6g,170mg
28,6568436,40 mins, 2 hrs 30 mins,, 12 hrs 10 mins,12 ,12 servings,12,704,33g,387mg,3g,1g,91g,961mg,4.5,2,2g,2mg,95mg,6mg, 9 hrs,10g,270mg
29,6569643,10 mins,20 mins,, 1 hr 30 mins,18 ,1 to 1 batch of brine turkey,18,105,0g,2635mg,22g,1g,1g,133mg,4.5,2,19g,21mg,33mg,1mg, 1 hr,,
30,6580011,10 mins,5 mins,,45 mins,1 ,1 batch brine,1,2447,3g,486mg,622g,16g,6g,1690mg,4.8,6,575g,196mg,953mg,13mg,30 mins,1g,
31,6581890,15 mins, 2 hrs,, 10 hrs 45 mins,12 ,1 whole turkey breast,12,508,15g,16286mg,19g,1g,59g,734mg,4.2,6,17g,1mg,60mg,3mg, 8 hrs 30 mins,6g,126mg
32,6571512,, 5 hrs,,3 days 5 hrs,15 ,1 whole roasted turkey,15,985,38g,6881mg,60g,4g,95g,1586mg,4.8,5,42g,6mg,164mg,10mg,3 days,10g,308mg
33,6581317,15 mins, 2 hrs 30 mins,, 2 hrs 45 mins,10 ,10 servings,10,87,1g,1658mg,27g,0g,3g,96mg,5.0,1,19g,1mg,52mg,1mg,,,
