,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count
0,6649611,20 mins,30 mins,45 mins, 1 hr 35 mins,8 ,2 large calzones,8,335,17g,7g,64mg,667mg,32g,2g,1g,14g,1mg,179mg,3mg,161mg,4.5,890
1,6737346,20 mins,30 mins,,50 mins,4 ,,4,907,57g,24g,161mg,2785mg,50g,4g,10g,45g,45mg,286mg,5mg,546mg,4.4,231
2,6739102,20 mins,35 mins,,55 mins,4 ,,4,572,27g,11g,110mg,1329mg,38g,1g,4g,43g,,453mg,3mg,191mg,4.6,128
3,6604997,15 mins,30 mins,,45 mins,8 ,4 large stromboli,8,659,29g,9g,57mg,2143mg,70g,5g,16g,28g,19mg,144mg,5mg,580mg,4.3,69
4,6737531,20 mins,15 mins,15 mins,50 mins,4 ,4 calzones,4,895,35g,11g,116mg,3340mg,100g,6g,20g,41g,20mg,274mg,6mg,603mg,4.8,35
5,6572311, 1 hr,30 mins,, 1 hr 30 mins,8 ,8 servings,8,584,21g,10g,101mg,1200mg,61g,6g,6g,36g,3mg,685mg,6mg,276mg,4.2,307
6,6569956,15 mins,20 mins,,35 mins,9 ,9 mini calzones,9,153,5g,1g,8mg,430mg,21g,1g,3g,6g,1mg,30mg,1mg,18mg,4.6,11
7,6579033,20 mins,45 mins, 1 hr 20 mins, 2 hrs 25 mins,6 ,,6,807,52g,21g,129mg,2108mg,42g,4g,5g,41g,6mg,490mg,6mg,465mg,5.0,1
8,6738448,30 mins,35 mins, 1 hr, 2 hrs 5 mins,14 ,,14,217,10g,4g,33mg,512mg,22g,1g,1g,10g,4mg,157mg,2mg,100mg,4.5,86
9,6739573,20 mins,45 mins, 2 hrs, 3 hrs 5 mins,10 ,1 16x10-inch calzone,10,285,11g,5g,29mg,624mg,34g,1g,3g,11g,2mg,91mg,2mg,105mg,4.7,251
10,6588326,20 mins,40 mins,, 1 hr,4 ,,4,564,19g,6g,107mg,1382mg,50g,1g,15g,45g,1mg,244mg,3mg,368mg,4.4,408
11,6589317,20 mins,25 mins,,45 mins,4 ,4 calzones,4,601,30g,12g,116mg,1799mg,53g,4g,,28g,20mg,377mg,5mg,426mg,4.5,31
12,6585242,30 mins,45 mins,, 1 hr 15 mins,6 ,1 loaf,6,675,25g,9g,56mg,1328mg,78g,6g,17g,31g,3mg,409mg,5mg,616mg,4.6,8
13,6583546,30 mins,45 mins,5 mins, 1 hr 20 mins,4 ,1 calzone,4,288,19g,10g,54mg,1440mg,12g,1g,7g,16g,4mg,311mg,1mg,172mg,4.7,273
14,6595555,20 mins,35 mins,30 mins, 1 hr 25 mins,4 ,4 servings,4,649,30g,10g,152mg,1523mg,59g,6g,6g,32g,10mg,336mg,5mg,259mg,4.9,51
15,6582817,15 mins,30 mins,,45 mins,8 ,8 servings,8,491,17g,6g,37mg,1170mg,58g,5g,6g,23g,1mg,275mg,5mg,119mg,4.4,84
16,6583002,,,,,6 ,6 servings,6,732,36g,12g,89mg,1660mg,73g,5g,3g,28g,67mg,244mg,6mg,509mg,4.4,60
17,6590165,15 mins,15 mins,,30 mins,2 ,2 servings,2,397,12g,4g,29mg,925mg,50g,4g,9g,21g,15mg,204mg,4mg,455mg,4.3,3
18,6590114,20 mins,25 mins,,45 mins,6 ,1 pizza roll,6,374,12g,5g,40mg,812mg,49g,2g,5g,15g,0mg,91mg,3mg,131mg,4.3,29
19,6664436,25 mins,10 mins,,35 mins,4 ,4 calzones,4,347,22g,10g,59mg,1038mg,17g,1g,,18g,,,,122mg,3.5,2
20,6663581,15 mins,10 mins,,25 mins,4 ,4 calzones,4,354,14g,7g,38mg,422mg,40g,2g,,17g,,,,96mg,4.0,1
