,id_recipe,name,Prep Time:,Cook Time:,Marinate Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:
50,6664223,Pork Rites (Taverns),5 mins,25 mins,,30 mins,12 ,12 sandwiches,12,303,13g,5g,49mg,696mg,28g,1g,6g,18g,3mg,77mg,2mg,328mg,4.3,12,
51,6580743,Jeff's Sloppy Joes,10 mins,10 mins,,20 mins,8 ,8 to 10 servings,8,235,15g,5g,46mg,296mg,9g,1g,3g,15g,43mg,23mg,2mg,403mg,4.5,85,
52,6565188,Whole30® Sloppy Joes,30 mins,30 mins,, 1 hr,4 ,4 servings,4,435,14g,6g,71mg,791mg,53g,7g,13g,25g,71mg,56mg,5mg,1507mg,,,
53,6601875,Vegan Lentil Sloppy Joes,10 mins,45 mins,,55 mins,6 ,6 servings,6,449,8g,1g,,847mg,76g,10g,10g,18g,59mg,200mg,8mg,838mg,5.0,2,
54,6579648,Healthy Sloppy Joes with Lentils,20 mins,40 mins,, 1 hr 5 mins,6 ,6 servings,6,629,11g,2g,,1236mg,110g,11g,10g,23g,29mg,288mg,9mg,1000mg,4.0,2,5 mins
55,6741757,Sloppy Juan,30 mins,30 mins,, 2 hrs,8 ,4 sandwiches,8,1077,78g,21g,292mg,1519mg,59g,8g,16g,39g,128mg,240mg,7mg,992mg,4.9,8, 1 hr
56,6604801,Sloppy Joe Sandwich Filling,10 mins,15 mins,,25 mins,4 ,4 servings,4,602,38g,15g,94mg,1725mg,38g,6g,6g,28g,18mg,180mg,4mg,749mg,,,
57,6574607,Dallas-Style Sloppy Joes,20 mins,25 mins,,45 mins,5 ,5 sandwiches,5,530,20g,7g,85mg,1531mg,59g,3g,31g,30g,46mg,143mg,6mg,867mg,4.5,81,
58,6603965,Barbecued Beef Sandwiches,15 mins, 3 hrs,, 3 hrs 15 mins,8 ,8 servings,8,280,14g,6g,71mg,304mg,13g,1g,9g,23g,11mg,63mg,5mg,427mg,4.3,58,
59,6595146,Sloppy Joe Hand Pies,25 mins, 1 hr 5 mins,, 1 hr 30 mins,6 ,6 hand pies,6,742,49g,18g,130mg,1573mg,43g,3g,13g,33g,31mg,244mg,5mg,539mg,4.0,1,
60,6593387,Spicy Turkey Sloppy Joes,20 mins,30 mins,,50 mins,12 ,12 sandwiches,12,347,8g,2g,56mg,1009mg,49g,3g,22g,20g,32mg,105mg,3mg,530mg,4.4,17,
61,6575172,Delish Sloppy Joes,10 mins,10 mins,,20 mins,8 ,8 sloppy joes,8,363,16g,6g,69mg,520mg,30g,1g,6g,23g,20mg,76mg,4mg,380mg,4.3,32,
62,6569960,Polish Sloppy Joes,20 mins, 1 hr,, 1 hr 20 mins,20 ,20 sandwiches,20,148,9g,3g,49mg,545mg,3g,2g,2g,14g,12mg,23mg,2mg,272mg,4.0,22,
