,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Bake Time:,Cool Time:,Additional Time:
0,6597434,20 mins,10 mins,30 mins,24 ,24 cookies,24,180,11g,4g,19mg,52mg,20g,1g,14g,3g,0mg,16mg,1mg,40mg,5.0,1,,,
1,6746809,20 mins,,35 mins,18 ,18 cookies,18,122,7g,4g,24mg,84mg,12g,1g,,2g,,,,56mg,5.0,15,15 mins,,
2,6586247,20 mins,15 mins,35 mins,36 ,3 dozen,36,90,4g,2g,12mg,131mg,13g,1g,6g,1g,1mg,22mg,1mg,36mg,4.5,430,,,
3,6649624,20 mins,10 mins,30 mins,48 ,4 dozen,48,146,8g,4g,10mg,76mg,19g,1g,,2g,,11mg,1mg,52mg,4.6,"18,838",,,
4,6740992,15 mins,15 mins,30 mins,18 ,1 1/2 dozen,18,285,14g,8g,42mg,111mg,40g,2g,28g,3g,,23mg,1mg,107mg,4.6,"12,390",,,
5,6663642,20 mins,12 mins,47 mins,42 ,42 cookies,42,145,8g,4g,21mg,107mg,17g,1g,10g,2g,,15mg,1mg,64mg,4.5,"5,681",,15 mins,
6,6650202,20 mins,15 mins, 1 hr 5 mins,36 ,36 cookies,36,122,3g,2g,13mg,121mg,22g,1g,15g,1g,0mg,15mg,1mg,30mg,4.7,"4,565",,,30 mins
7,6651200,15 mins,10 mins,25 mins,48 ,4 dozen,48,125,7g,4g,18mg,63mg,16g,1g,10g,2g,,8mg,1mg,71mg,4.7,"4,217",,,
8,6651054,10 mins,10 mins,20 mins,24 ,2 dozen,24,202,11g,3g,8mg,171mg,27g,2g,17g,2g,1mg,37mg,1mg,99mg,4.6,"1,828",,,
9,6649830,15 mins,10 mins,25 mins,48 ,48 cookies,48,116,7g,1g,8mg,90mg,14g,1g,9g,2g,,8mg,1mg,43mg,4.4,655,,,
10,6648843,15 mins,10 mins,45 mins,48 ,4 dozen cookies,48,122,7g,4g,19mg,85mg,13g,0g,8g,1g,0mg,16mg,1mg,36mg,4.5,"1,136",,,20 mins
11,6650324,5 mins,10 mins,15 mins,48 ,48 cookies,48,152,8g,3g,8mg,60mg,19g,1g,14g,3g,,13mg,1mg,87mg,4.6,456,,,
12,6649175,15 mins,15 mins,35 mins,24 ,24 cookies,24,246,12g,6g,26mg,163mg,34g,2g,21g,4g,,16mg,2mg,68mg,4.4,"1,901",,,5 mins
13,6739486,15 mins,20 mins,35 mins,72 ,6 dozen,72,177,11g,5g,24mg,116mg,21g,1g,13g,2g,0mg,15mg,1mg,69mg,4.7,"11,072",,,
14,6648813,15 mins,15 mins, 1 hr 15 mins,18 ,3 dozen,18,276,13g,8g,39mg,195mg,39g,2g,23g,4g,1mg,44mg,2mg,142mg,4.2,649,,,45 mins
15,6739060,10 mins,10 mins,20 mins,24 ,24 cookies,24,241,14g,5g,20mg,180mg,28g,0g,18g,3g,,27mg,1mg,25mg,4.5,"1,527",,,
16,6663172,15 mins,20 mins,35 mins,72 ,72 cookies,72,82,4g,1g,6mg,55mg,11g,0g,7g,1g,,9mg,0mg,22mg,4.5,"1,531",,,
