,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Rest Time:,Cool Time:,Yield:,Additional Time:
22,6649789,25 mins,15 mins,40 mins,6 ,6,166,12g,3g,43mg,337mg,6g,2g,2g,10g,7mg,109mg,2mg,414mg,4.4,336,,,,
23,6648576,10 mins,30 mins,40 mins,4 ,4,210,9g,2g,65mg,924mg,10g,1g,3g,24g,3mg,29mg,2mg,600mg,4.4,"2,196",,,,
24,6650433,20 mins,20 mins,40 mins,2 ,2,935,62g,37g,271mg,1189mg,54g,5g,7g,44g,128mg,237mg,4mg,914mg,4.7,"2,803",,,,
25,6738498,5 mins,15 mins,35 mins,4 ,4,203,15g,6g,20mg,260mg,10g,2g,4g,10g,1mg,245mg,1mg,620mg,4.6,967,,,,15 mins
26,6649070,20 mins,10 mins,30 mins,4 ,4,37,2g,0g,,152mg,3g,1g,2g,1g,27mg,13mg,1mg,203mg,4.7,13,,,,
27,6663480,30 mins, 1 hr, 1 hr 35 mins,8 ,8,494,27g,14g,118mg,2200mg,23g,6g,11g,41g,39mg,806mg,5mg,1418mg,4.6,666,,,1 (9x13-inch) lasagna,5 mins
28,6664364,25 mins, 1 hr, 1 hr 40 mins,12 ,12,463,20g,9g,77mg,843mg,50g,5g,14g,23g,12mg,369mg,3mg,700mg,4.7,"1,009",,,1 9x13-inch lasagna,15 mins
29,6648625,20 mins,35 mins, 1 hr,8 ,8,536,26g,10g,121mg,1313mg,45g,2g,2g,29g,2mg,60mg,5mg,503mg,4.5,956,,,,5 mins
30,6650473,25 mins, 4 hrs 50 mins, 5 hrs 15 mins,16 ,16,197,13g,8g,54mg,502mg,17g,2g,3g,4g,4mg,63mg,2mg,181mg,4.5,"1,910",,,,
31,6737461,20 mins, 1 hr, 1 hr 20 mins,5 ,5,705,47g,18g,123mg,636mg,38g,4g,5g,33g,36mg,290mg,3mg,1245mg,4.3,518,,,,
