,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Active Time:,Bake Time:,Additional Time:
14,6737384,Spanish Rice Bake,15 mins,45 mins, 1 hr,6 ,6,350,19g,8g,67mg,604mg,25g,1g,3g,19g,22mg,111mg,4mg,445mg,4.4,"1,451",6 servings,,,
15,6664872,"Easy Baked Chicken, Rice, and Broccoli Casserole",5 mins,40 mins,45 mins,4 ,4,446,13g,6g,88mg,649mg,46g,3g,2g,35g,40mg,200mg,4mg,450mg,3.6,14,,,,
16,6583330,Pork Chop and Rice Casserole,10 mins, 2 hrs 10 mins, 2 hrs 20 mins,4 ,4,716,51g,23g,144mg,1313mg,33g,1g,4g,30g,1mg,136mg,3mg,605mg,4.5,133,4 servings,,,
17,6736741,Easy Chicken Rice Casserole,,,,6 ,6,517,11g,4g,82mg,911mg,67g,1g,5g,34g,0mg,130mg,5mg,434mg,3.9,429,6 servings,,,
18,6738372,Easy and Delicious Chicken and Rice Casserole,,,,5 ,5,314,5g,1g,60mg,959mg,39g,1g,1g,26g,2mg,37mg,3mg,305mg,3.9,583,4 to 6 servings,,,
19,6571182,Chicken and Rice Casserole,10 mins, 1 hr, 1 hr 10 mins,4 ,4,382,6g,2g,68mg,1189mg,47g,1g,2g,32g,2mg,50mg,4mg,401mg,2.5,26,4 servings,,,
20,6583861,Potato Chip Chicken Casserole,,,,5 ,5,639,45g,11g,73mg,852mg,36g,3g,2g,24g,8mg,135mg,3mg,776mg,4.1,139,5 servings,,,
21,6594334,"Chicken, Rice, and Green Bean Casserole",10 mins, 1 hr 10 mins, 1 hr 20 mins,6 ,6,508,37g,6g,60mg,756mg,23g,3g,2g,22g,3mg,38mg,2mg,322mg,4.1,49,6 servings,,,
22,6586249,Spicy Sausage and Peppers Over Rice,20 mins,40 mins, 1 hr,2 ,2,412,3g,1g,,275mg,87g,7g,5g,10g,77mg,76mg,3mg,644mg,4.6,20,2 servings,,,
23,6569979,Pork Chop Casserole III,10 mins, 1 hr, 1 hr 10 mins,5 ,5,395,14g,4g,37mg,1305mg,47g,1g,4g,20g,20mg,55mg,3mg,392mg,3.8,96,5 servings,,,
