,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Yield:
0,7561267,25 mins,15 mins,40 mins,5 ,5,1167,48g,12g,410mg,3199mg,125g,15g,7g,62g,90mg,347mg,9mg,1367mg,5.0,2,,
1,6649125,20 mins,15 mins, 1 hr 5 mins,8 ,8,200,11g,2g,49mg,198mg,6g,2g,3g,19g,40mg,28mg,1mg,299mg,4.8,407,30 mins,
2,6595145,20 mins,15 mins, 4 hrs 35 mins,4 ,4,699,42g,18g,121mg,1451mg,31g,5g,3g,50g,6mg,465mg,4mg,772mg,4.7,90, 4 hrs,8 fajitas
3,6595279,20 mins, 8 hrs, 8 hrs 20 mins,6 ,6,598,23g,10g,52mg,1050mg,69g,6g,6g,28g,49mg,187mg,7mg,572mg,4.3,42,,6 servings
4,6574765,25 mins,10 mins, 5 hrs 35 mins,4 ,4,560,23g,4g,97mg,1099mg,44g,5g,6g,42g,82mg,131mg,5mg,671mg,4.9,18, 5 hrs,8 fajitas
5,6603517,30 mins,15 mins,45 mins,6 ,6,688,23g,5g,96mg,1357mg,79g,6g,5g,39g,64mg,211mg,9mg,711mg,4.7,122,,6 servings
6,6578043,10 mins,15 mins, 4 hrs 25 mins,4 ,4,330,21g,3g,65mg,665mg,11g,3g,5g,26g,92mg,46mg,2mg,492mg,5.0,10, 4 hrs,4 servings
7,6584032,20 mins,20 mins, 2 hrs 40 mins,4 ,4,896,38g,11g,76mg,1182mg,104g,10g,6g,38g,78mg,287mg,9mg,863mg,3.7,79, 2 hrs,4 servings
8,6594225,40 mins,40 mins, 1 hr 20 mins,12 ,12,671,40g,16g,120mg,958mg,42g,11g,3g,40g,23mg,326mg,3mg,1008mg,4.7,34,,12 servings
9,6577033,20 mins,10 mins, 8 hrs 30 mins,4 ,4,193,12g,3g,25mg,1198mg,7g,2g,3g,15g,29mg,31mg,1mg,315mg,5.0,2, 8 hrs,4 servings
