,id_recipe,name,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:
0,6663818,Juicy Roasted Chicken,15 mins, 1 hr 15 mins,30 mins, 2 hrs,6 ,6,423,32g,7g,97mg,662mg,1g,0g,1g,31g,0mg,28mg,2mg,305mg,4.7,"4,102",
1,6648238,Slow Cooker Pot Roast,20 mins, 8 hrs 20 mins,, 8 hrs 40 mins,8 ,8,540,31g,12g,147mg,272mg,18g,3g,2g,46g,18mg,47mg,6mg,1173mg,4.6,"2,412",
2,6650121,Maple Salmon,10 mins,20 mins,30 mins, 1 hr,4 ,4,265,12g,3g,67mg,633mg,14g,0g,12g,23g,5mg,30mg,1mg,473mg,4.7,"5,742",
3,6649077,Cornish Game Hens with Garlic and Rosemary,20 mins, 1 hr,, 1 hr 20 mins,4 ,4,814,58g,15g,340mg,1383mg,10g,2g,0g,59g,28mg,93mg,3mg,929mg,4.6,"1,161",4 Cornish hens
4,6581898,Easy Hamantaschen,15 mins,15 mins,,30 mins,24 ,24,246,8g,1g,23mg,56mg,40g,1g,15g,4g,4mg,34mg,2mg,61mg,4.2,72,2 dozen
5,6600659,Chicken and Red Wine Sauce,10 mins,45 mins,,55 mins,12 ,12,214,4g,1g,59mg,248mg,19g,0g,18g,22g,1mg,29mg,1mg,208mg,4.1,974,
6,6648806,Balsamic Chicken,5 mins,20 mins,20 mins,45 mins,4 ,4,194,5g,1g,66mg,79mg,10g,0g,9g,26g,2mg,26mg,1mg,315mg,4.3,642,
7,6737610,Rugelach,55 mins,22 mins, 2 hrs, 3 hrs 17 mins,48 ,48,101,7g,4g,16mg,28mg,8g,0g,3g,1g,0mg,12mg,0mg,37mg,4.7,302,4 dozen
8,6591921,Hamantashen, 2 hrs,15 mins,, 2 hrs 15 mins,36 ,36,184,9g,5g,31mg,86mg,23g,0g,6g,3g,1mg,48mg,1mg,29mg,4.4,70,36 cookies
9,6573416,Kolachky, 1 hr,15 mins,40 mins, 1 hr 55 mins,48 ,48,241,18g,8g,35mg,37mg,18g,1g,4g,4g,0mg,44mg,1mg,71mg,4.6,100,4 dozen
10,6600536,Lemon Poppy Seed Bundt Cake,10 mins, 1 hr,20 mins, 1 hr 30 mins,16 ,16,249,13g,3g,55mg,337mg,30g,1g,19g,4g,0mg,57mg,1mg,65mg,4.7,173,1 to 10 - inch bundt pan
11,6739682,Wine-Braised Beef Brisket,15 mins, 2 hrs 30 mins,, 2 hrs 45 mins,8 ,8,327,25g,9g,69mg,649mg,3g,1g,2g,18g,3mg,21mg,2mg,331mg,4.7,211,8 servings
12,6576024,Lemon Poppy Seed Loaf,,,,,24 ,24,203,8g,4g,39mg,207mg,30g,1g,18g,3g,4mg,64mg,1mg,72mg,4.2,186,2 - 9x5 inch loaves
13,6581592,Coconut Curry Tofu,25 mins,15 mins,,40 mins,6 ,6,232,13g,5g,,680mg,17g,5g,5g,17g,78mg,635mg,4mg,741mg,4.4,739,
14,6593078,Moist Lemon Poppy Seed Cake,15 mins, 1 hr 15 mins,, 1 hr 30 mins,12 ,12,447,24g,14g,131mg,227mg,55g,1g,32g,6g,8mg,69mg,3mg,105mg,3.2,48,1 9x5-inch loaf cake
15,6579498,Easy Poppy Seed Bundt Cake,15 mins,50 mins,10 mins, 1 hr 15 mins,16 ,16,264,9g,1g,12mg,555mg,45g,1g,35g,2g,0mg,77mg,1mg,28mg,4.8,86,1 10-inch Bundt cake
16,6600324,Munn Cookies,20 mins,15 mins,45 mins, 1 hr 20 mins,30 ,30,141,7g,4g,23mg,90mg,17g,1g,7g,2g,2mg,51mg,1mg,36mg,4.5,34,60 cookies
17,6597589,Hamantaschen,30 mins,25 mins,,55 mins,36 ,36,72,3g,1g,10mg,62mg,10g,0g,3g,1g,,27mg,0mg,13mg,4.6,7,3 dozen
18,6583937,Easy Lemon Lover's Bundt® Cake,15 mins,45 mins,10 mins, 1 hr 10 mins,12 ,12,365,20g,6g,82mg,451mg,41g,1g,19g,5g,6mg,62mg,1mg,105mg,4.6,53,12 servings
19,6602059,Ukrainian Sour Cream Poppy Seed Cake,30 mins,40 mins,1 day 1 hr 20 mins,1 day 2 hrs 30 mins,12 ,12,378,13g,6g,115mg,241mg,60g,1g,35g,6g,7mg,183mg,3mg,155mg,4.2,9,1 9-inch cake
20,6574582,Kolaches From the Bread Machine,30 mins,15 mins, 1 hr 20 mins, 2 hrs 5 mins,24 ,24,216,8g,4g,32mg,164mg,32g,1g,3g,5g,1mg,76mg,1mg,84mg,4.6,94,2 dozen
21,6601408,Poppy Seed Cake III,30 mins, 1 hr, 1 hr, 2 hrs 30 mins,14 ,14,420,21g,4g,62mg,180mg,53g,1g,32g,7g,1mg,123mg,2mg,154mg,4.4,29,1 to 10 - inch tube pan
22,6593393,Great-Grandmother Bubbie's Hamantaschen,20 mins,30 mins, 2 hrs, 2 hrs 50 mins,36 ,36,163,5g,0g,16mg,34mg,29g,2g,15g,3g,1mg,30mg,1mg,183mg,4.5,28,3 dozen
23,6580846,Purim Hamantaschen with Prune Filling,25 mins,33 mins,,58 mins,50 ,50,95,4g,2g,16mg,65mg,14g,0g,8g,1g,1mg,19mg,1mg,41mg,4.0,2,50 hamantaschen
24,6663722,Best Ever Rugelach,50 mins,20 mins, 2 hrs, 3 hrs 10 mins,48 ,48,95,6g,3g,13mg,56mg,9g,0g,4g,2g,0mg,10mg,0mg,34mg,4.7,12,4 dozen
25,6587349,Kosher Chicken Soup with Matzo Balls,40 mins, 5 hrs 20 mins, 8 hrs, 14 hrs,8 ,8,511,41g,10g,148mg,860mg,18g,2g,2g,19g,7mg,71mg,2mg,301mg,4.8,9,8 servings
26,6571423,Onion Poppy Seed Ring,40 mins,45 mins, 4 hrs, 5 hrs 25 mins,12 ,12,169,15g,4g,54mg,392mg,7g,1g,5g,3g,1mg,65mg,1mg,71mg,4.7,9,1 braided loaf
27,6573989,Rugelach with Cream Cheese Filling,30 mins,25 mins, 1 hr, 1 hr 55 mins,32 ,32,179,11g,4g,15mg,113mg,17g,1g,7g,2g,,21mg,1mg,41mg,4.4,12,32 rugelach
28,6577202,Chocolate Poppy Seed Cake,35 mins, 1 hr, 4 hrs, 5 hrs 35 mins,12 ,12,418,22g,12g,110mg,427mg,52g,2g,28g,7g,0mg,177mg,2mg,147mg,4.6,5,1 bundt cake
29,6598434,Poppy Seed Cake I,,,,,20 ,20,206,9g,5g,19mg,127mg,28g,1g,17g,4g,0mg,143mg,1mg,116mg,3.8,6,2 to 8 - inch round layers
30,6580878,The Girls' Chicken Sandwiches,20 mins,,,20 mins,12 ,12,437,10g,8g,83mg,379mg,51g,3g,7g,22g,23mg,29mg,1mg,130mg,4.9,16,12 small sandwiches
31,6604983,Summery Lime-Mango Shortcakes,45 mins,20 mins,15 mins, 1 hr 20 mins,12 ,12,310,17g,7g,42mg,469mg,36g,2g,13g,5g,17mg,138mg,2mg,154mg,4.6,23,12 shortcakes
32,6604705,Walnut Rugelach,30 mins,15 mins, 4 hrs, 4 hrs 45 mins,36 ,36,62,3g,1g,10mg,25mg,8g,0g,4g,1g,,7mg,0mg,18mg,3.0,2,3 dozen rugelach
33,6591202,BJ's Easy Blackberry Cobbler,15 mins, 1 hr,20 mins, 1 hr 35 mins,9 ,9,497,19g,9g,62mg,383mg,79g,5g,57g,5g,18mg,110mg,2mg,245mg,4.4,8,1 9x9-inch pan
34,6595379,Hamantashen II,,,,,17 ,17,373,15g,2g,44mg,187mg,55g,1g,15g,6g,0mg,62mg,2mg,76mg,4.3,28,35 cookies
35,6568261,Apricot Almond Rugalach,,,,,24 ,24,136,8g,4g,23mg,22mg,15g,1g,8g,2g,1mg,20mg,1mg,54mg,4.6,25,2 dozen
36,6739321,Angel Family Chicken Soup with Matzo Balls,45 mins, 1 hr 55 mins,20 mins, 3 hrs,7 ,,,,,,,,,,,,,,,4.8,14,7 servings
37,6605814,Lemon Poppy Seed Quick Cake,15 mins,45 mins,, 1 hr,10 ,10,332,11g,2g,38mg,360mg,53g,1g,36g,5g,3mg,155mg,2mg,84mg,4.6,20,1 to 10 - inch bundt pan
38,6582353,Poppy Seed Hungarian Style Cookies,30 mins,25 mins,5 mins, 1 hr,12 ,12,309,22g,10g,44mg,205mg,27g,4g,9g,5g,4mg,222mg,2mg,178mg,3.9,8,2 dozen
39,6572549,Berry Nut and Seed Crunch,10 mins,10 mins,30 mins,50 mins,16 ,16,213,17g,2g,,4mg,14g,2g,9g,6g,0mg,37mg,2mg,189mg,4.0,1,16 servings
40,6572313,Rugelach III,15 mins,17 mins,,32 mins,48 ,48,100,6g,4g,15mg,29mg,12g,0g,7g,1g,0mg,11mg,0mg,42mg,4.7,27,4 dozen
41,6562281,Hamentaschen, 1 hr 10 mins,20 mins,40 mins, 2 hrs 10 mins,30 ,30,153,5g,1g,23mg,83mg,26g,1g,11g,3g,4mg,28mg,1mg,40mg,5.0,1,30 cookies
42,6741787,Monster Breakfast Cookies,15 mins,20 mins,,35 mins,20 ,20,337,16g,5g,31mg,111mg,46g,5g,23g,6g,0mg,88mg,2mg,262mg,4.7,6,20 cookies
43,6587246,Creamy Iced Applesauce Bars,10 mins,, 1 hr, 1 hr 10 mins,4 ,4,203,3g,1g,5mg,57mg,44g,2g,38g,3g,17mg,77mg,0mg,216mg,4.0,2,4 servings
44,6598479,Fragrant and Healthy Carrot Cake,15 mins, 1 hr 10 mins,, 1 hr 25 mins,9 ,9,315,11g,2g,41mg,368mg,53g,6g,29g,6g,13mg,136mg,3mg,444mg,4.6,26,1 to 9 - inch bundt cake
45,6584961,Poppyseed Stollen (Mohn Stollen), 2 hrs,40 mins,1 day 1 hr 45 mins,1 day 4 hrs 25 mins,12 ,12,765,30g,11g,83mg,38mg,117g,4g,90g,13g,3mg,475mg,5mg,354mg,4.0,6,1 loaf
46,6591847,Bud's Easy Buttercream Pound Cake,15 mins, 1 hr 15 mins, 1 hr, 2 hrs 30 mins,16 ,16,521,27g,16g,131mg,270mg,64g,1g,26g,7g,2mg,130mg,2mg,71mg,3.0,1,1 10-inch tube cake
47,6582739,Poppy Seed Cookies III,,,,,18 ,18,211,13g,3g,11mg,19mg,22g,1g,9g,3g,0mg,41mg,1mg,39mg,4.4,5,3 dozen
48,6571948,Poppy Seed Cookies II,,,,,24 ,24,158,9g,5g,37mg,26mg,19g,0g,9g,2g,1mg,17mg,1mg,24mg,4.5,2,4 dozen
49,6664450,Raspberry and Apricot Rugelach,30 mins,30 mins, 2 hrs, 3 hrs,48 ,48,116,7g,4g,15mg,54mg,12g,1g,8g,1g,0mg,11mg,0mg,49mg,4.7,66,48 cookies
50,6603151,Rugelach II,,,,,48 ,48,112,7g,4g,15mg,41mg,12g,0g,7g,1g,,8mg,0mg,21mg,4.0,6,4 dozen
51,6564884,Gluten Free Lemon Coconut Poppy Seed Bars,,,,,16 ,16,104,5g,2g,63mg,49mg,13g,1g,9g,2g,4mg,19mg,0mg,38mg,2.0,1,16 2-inch squares
