,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Bake Time:,Cool Time:
0,6592163,20 mins,25 mins,45 mins,18 ,18 mini pies,18,319,15g,3g,35mg,163mg,45g,1g,22g,3g,0mg,17mg,1mg,54mg,4.6,18,,,
1,6570862,15 mins,50 mins, 1 hr 5 mins,8 ,1 (9-inch) pie,8,661,28g,10g,77mg,446mg,95g,4g,70g,11g,5mg,248mg,3mg,504mg,4.6,59,,,
2,6650052,10 mins,50 mins, 1 hr,8 ,1 to 9 - inch pie,8,512,27g,7g,85mg,273mg,65g,3g,47g,5g,0mg,28mg,1mg,117mg,4.6,839,,,
3,6664339,10 mins,40 mins,50 mins,8 ,1 9-inch pie,8,736,39g,13g,70mg,402mg,92g,2g,28g,8g,0mg,30mg,1mg,100mg,4.4,105,,,
4,6648156,15 mins,40 mins,55 mins,8 ,1 9-inch pie,8,427,30g,10g,77mg,222mg,37g,2g,,5g,0mg,39mg,1mg,119mg,4.7,"2,875",,,
5,6568297,15 mins,45 mins, 1 hr,8 ,1 9-inch pie,8,694,39g,15g,124mg,262mg,86g,4g,51g,7g,0mg,42mg,2mg,205mg,3.7,6,,,
6,6574101,10 mins,55 mins, 1 hr 10 mins,8 ,1 (9-inch) pie,8,647,35g,14g,124mg,228mg,80g,3g,,6g,0mg,42mg,2mg,190mg,4.7,651,5 mins,,
7,6664996,,,,8 ,1 pie,8,520,27g,6g,77mg,262mg,70g,3g,37g,6g,0mg,33mg,2mg,125mg,4.7,268,,,
8,6827655,30 mins,5 mins, 9 hrs,8 ,1 pecan pie cheesecake,8,1070,74g,34g,219mg,460mg,95g,4g,,13g,,,,388mg,4.7,3,,55 mins, 7 hrs 30 mins
9,6585071,15 mins,30 mins,45 mins,8 ,8 mini tarts,8,512,30g,8g,58mg,301mg,57g,3g,29g,6g,0mg,24mg,2mg,109mg,4.7,70,,,
10,6664542,25 mins, 1 hr, 1 hr 55 mins,12 ,1 9-inch pie,12,452,28g,9g,75mg,224mg,49g,3g,23g,5g,0mg,43mg,2mg,149mg,4.7,711,30 mins,,
11,6648883,10 mins, 1 hr 30 mins, 1 hr 50 mins,8 ,1 9-inch pie,8,519,29g,12g,91mg,354mg,61g,4g,40g,6g,10mg,102mg,2mg,396mg,4.6,89,10 mins,,
12,6650307,10 mins,35 mins,45 mins,8 ,1 9-inch pie,8,533,33g,7g,81mg,160mg,56g,3g,,6g,0mg,47mg,2mg,170mg,4.5,103,,,
13,6579147,,,,30 ,30 tarts,30,209,15g,7g,39mg,79mg,18g,1g,11g,2g,0mg,23mg,1mg,64mg,4.5,121,,,
14,6568381,30 mins,15 mins,45 mins,12 ,1 - 9x13 inch baking dish,12,422,26g,13g,46mg,379mg,42g,2g,27g,6g,0mg,100mg,1mg,192mg,4.8,64,,,
15,6595171,,,,8 ,1 to 9 - inch pie,8,500,25g,7g,85mg,248mg,69g,2g,37g,5g,0mg,31mg,2mg,116mg,4.7,175,,,
16,6739056,15 mins,55 mins, 1 hr 25 mins,8 ,1 9-inch pie,8,536,29g,8g,89mg,371mg,66g,2g,50g,7g,0mg,95mg,1mg,206mg,4.8,784,15 mins,,
17,6579631,25 mins,15 mins,40 mins,60 ,5 dozen,60,166,11g,3g,17mg,97mg,16g,1g,9g,2g,,19mg,1mg,46mg,4.7,190,,,
18,6572042,10 mins, 1 hr 50 mins, 2 hrs,10 ,1 9-inch pie,10,521,31g,12g,99mg,231mg,59g,2g,31g,6g,0mg,44mg,2mg,175mg,4.2,34,,,
19,6583163,30 mins,10 mins, 1 hr 40 mins,16 ,2 to 9 - inch pies,16,479,29g,17g,32mg,334mg,51g,2g,24g,6g,1mg,100mg,1mg,210mg,4.7,135, 1 hr,,
20,6739240,15 mins, 1 hr 25 mins, 2 hrs 10 mins,10 ,1 pecan pie,10,527,32g,9g,80mg,314mg,58g,3g,37g,5g,0mg,52mg,2mg,160mg,4.8,123,30 mins,,
21,6602849,5 mins, 1 hr 10 mins, 3 hrs 15 mins,8 ,1 9-inch pie,8,514,26g,5g,77mg,223mg,69g,2g,38g,35g,0mg,29mg,1mg,132mg,4.8,142, 2 hrs,,
22,6590886,30 mins,50 mins, 2 hrs 20 mins,8 ,1 to 9 - inch deep dish pie,8,523,33g,6g,,326mg,56g,5g,30g,5g,5mg,36mg,2mg,218mg,4.8,77, 1 hr,,
23,6663186,25 mins,35 mins, 1 hr 15 mins,12 ,12 mini pies,12,547,34g,10g,100mg,616mg,58g,4g,,7g,,,,201mg,5.0,4,15 mins,,
24,6736586,15 mins,50 mins, 1 hr 5 mins,8 ,1 9-inch pie,8,523,27g,8g,90mg,328mg,71g,2g,38g,5g,0mg,52mg,2mg,135mg,4.6,270,,,
25,6574534,20 mins,50 mins, 1 hr 10 mins,8 ,1 9-inch pie,8,530,27g,5g,77mg,220mg,73g,2g,39g,5g,0mg,58mg,1mg,172mg,4.6,315,,,
26,6603784,10 mins,50 mins, 1 hr,8 ,1 9-inch pie,8,523,27g,8g,81mg,260mg,69g,3g,46g,6g,1mg,42mg,2mg,190mg,4.5,35,,,
27,6601262,10 mins,30 mins,40 mins,8 ,1 9-inch pie,8,404,24g,6g,81mg,176mg,47g,2g,36g,5g,0mg,26mg,2mg,120mg,4.1,30,,,
28,6567826,10 mins,35 mins,45 mins,8 ,1 9-inch pie,8,451,26g,5g,77mg,171mg,53g,3g,38g,6g,0mg,64mg,2mg,216mg,3.5,2,,,
29,6576585,15 mins,50 mins, 1 hr 5 mins,8 ,1 (9-inch) pie,8,670,36g,14g,90mg,368mg,82g,2g,28g,7g,0mg,30mg,1mg,104mg,4.7,80,,,
30,6606311,30 mins, 1 hr, 1 hr 30 mins,8 ,1 9-inch pie,8,564,31g,6g,93mg,382mg,71g,3g,37g,6g,0mg,38mg,2mg,152mg,4.7,254,,,
31,6581377,15 mins,25 mins, 2 hrs 40 mins,8 ,9 inch pie,8,377,23g,11g,,142mg,42g,2g,36g,4g,0mg,36mg,1mg,85mg,4.7,9, 2 hrs,,
32,6603835,10 mins,45 mins,55 mins,8 ,1 9-inch pie,8,493,29g,13g,100mg,260mg,56g,3g,43g,5g,1mg,22mg,1mg,119mg,4.8,10,,,
33,6588033,30 mins, 1 hr, 2 hrs 50 mins,8 ,1 9-inch pie,8,848,54g,12g,112mg,553mg,89g,4g,41g,10g,0mg,64mg,3mg,235mg,4.7,304, 1 hr 20 mins,,
34,6596411,25 mins,48 mins, 1 hr 43 mins,8 ,8 jars,8,794,45g,10g,108mg,396mg,97g,5g,43g,9g,0mg,50mg,3mg,201mg,3.8,4,30 mins,,
35,6577018,15 mins,35 mins,50 mins,8 ,1 9-inch pie,8,567,33g,10g,124mg,406mg,64g,3g,31g,8g,0mg,57mg,2mg,160mg,4.0,1,,,
36,6567132,10 mins,30 mins,40 mins,12 ,1 9x13-inch cobbler,12,379,13g,4g,16mg,214mg,66g,2g,53g,3g,0mg,106mg,1mg,119mg,4.7,3,,,
37,6575664,5 mins,45 mins,50 mins,8 ,1 to 8 - inch pie,8,334,25g,4g,47mg,231mg,27g,1g,20g,3g,0mg,21mg,1mg,83mg,4.2,27,,,
38,6737863,20 mins,45 mins, 2 hrs 5 mins,24 ,1 9x13-inch pan,24,270,18g,6g,51mg,201mg,25g,2g,9g,4g,0mg,23mg,1mg,90mg,4.4,10, 1 hr,,
39,6599069,10 mins,40 mins, 1 hr,8 ,1 - 9 inch deep dish pie or 2 regular 9 inch pies,8,688,43g,8g,79mg,354mg,73g,3g,59g,8g,1mg,166mg,2mg,338mg,4.4,80,10 mins,,
40,6595507,30 mins,15 mins, 1 hr,8 ,1 to 9 - inch pie,8,396,21g,4g,107mg,179mg,47g,2g,30g,8g,0mg,95mg,1mg,198mg,3.3,6,15 mins,,
41,6568813,15 mins,45 mins, 1 hr,8 ,1 9-inch pie,8,741,42g,15g,93mg,366mg,92g,5g,61g,8g,0mg,43mg,3mg,251mg,4.4,39,,,
42,6575198,,,,8 ,1 to 9 inch pie,8,772,53g,21g,145mg,383mg,67g,4g,38g,9g,6mg,180mg,2mg,430mg,4.6,41,,,
43,6594727,10 mins,45 mins,55 mins,8 ,9 -inch pie,8,384,37g,8g,93mg,88mg,9g,4g,2g,9g,0mg,27mg,1mg,112mg,,,,,
44,6593970, 1 hr 30 mins,50 mins, 4 hrs,8 ,1 to 9 - inch pie,8,617,33g,12g,138mg,314mg,78g,3g,36g,8g,0mg,48mg,2mg,153mg,4.4,42, 1 hr 40 mins,,
45,6592879,15 mins,44 mins, 1 hr 29 mins,8 ,1 9-inch pie,8,539,30g,11g,93mg,225mg,64g,3g,36g,5g,0mg,31mg,2mg,146mg,5.0,2,30 mins,,
46,6595826,15 mins,50 mins, 1 hr 25 mins,16 ,2 pies,16,659,31g,11g,85mg,258mg,89g,4g,53g,6g,0mg,39mg,2mg,217mg,4.8,4,20 mins,,
47,6588619,15 mins,55 mins, 3 hrs 10 mins,8 ,8 servings,8,693,40g,11g,77mg,211mg,85g,5g,49g,7g,0mg,45mg,2mg,247mg,4.1,21, 2 hrs,,
