,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Yield:
36,6568634,15 mins,25 mins,40 mins,4 ,4,512,23g,12g,66mg,1065mg,49g,3g,6g,29g,9mg,364mg,3mg,525mg,4.4,193,,4 servings
37,6599382,20 mins,30 mins,50 mins,6 ,6,974,71g,43g,268mg,441mg,62g,4g,4g,27g,42mg,191mg,3mg,459mg,4.5,35,,
38,6737456,10 mins,15 mins,25 mins,4 ,4,1066,72g,17g,61mg,190mg,90g,7g,5g,22g,10mg,115mg,7mg,469mg,4.6,18,,
39,6576564,15 mins, 3 hrs 10 mins, 3 hrs 25 mins,6 ,6,613,21g,9g,64mg,467mg,79g,9g,7g,30g,19mg,229mg,10mg,870mg,4.4,65,,
40,6599092,20 mins,20 mins,40 mins,4 ,4,612,30g,12g,94mg,888mg,61g,9g,3g,21g,64mg,285mg,4mg,998mg,4.4,235,,
41,6599650,15 mins,20 mins,35 mins,4 ,4,367,10g,6g,27mg,409mg,53g,3g,9g,17g,42mg,302mg,2mg,465mg,3.7,96,,
42,6738293,15 mins,15 mins,30 mins,8 ,8,335,9g,2g,20mg,266mg,46g,3g,4g,19g,15mg,61mg,2mg,515mg,4.5,420,,
43,6576515,20 mins,20 mins,40 mins,6 ,6,1060,80g,47g,289mg,682mg,62g,3g,5g,27g,4mg,332mg,4mg,449mg,4.7,51,,
44,6595964,5 mins,15 mins,20 mins,6 ,6,326,11g,5g,17mg,582mg,46g,2g,3g,10g,1mg,90mg,2mg,211mg,4.1,60,,
45,6601692,10 mins,15 mins,25 mins,4 ,4,470,12g,5g,91mg,552mg,49g,3g,1g,37g,0mg,23mg,3mg,279mg,4.6,88,,
46,6596564,,15 mins,15 mins,4 ,4,680,48g,20g,77mg,674mg,45g,2g,4g,19g,0mg,270mg,3mg,259mg,4.4,197,,
47,6582164,20 mins, 1 hr, 1 hr 20 mins,10 ,10,366,17g,8g,55mg,686mg,33g,3g,5g,21g,30mg,188mg,3mg,289mg,4.3,134,,
48,6592552,5 mins,15 mins,20 mins,6 ,6,754,56g,33g,179mg,785mg,45g,3g,3g,21g,16mg,190mg,2mg,377mg,4.7,133,,
49,6592591,20 mins,10 mins, 3 hrs 30 mins,2 ,2,437,6g,1g,93mg,38mg,80g,3g,1g,14g,3mg,57mg,6mg,191mg,4.8,51, 3 hrs,
50,6739536,30 mins,15 mins,45 mins,4 ,4,440,16g,7g,195mg,1208mg,41g,3g,5g,33g,32mg,111mg,5mg,591mg,4.5,329,,
51,6738704,20 mins,20 mins,45 mins,6 ,6,590,27g,5g,8mg,607mg,73g,8g,8g,19g,38mg,204mg,6mg,708mg,4.4,201,5 mins,6 servings
52,6595305,30 mins,20 mins,50 mins,8 ,8,517,26g,5g,94mg,681mg,48g,4g,2g,23g,5mg,170mg,5mg,289mg,4.7,130,,
53,6591798,20 mins,25 mins,45 mins,6 ,6,807,37g,15g,74mg,605mg,69g,4g,4g,50g,6mg,139mg,4mg,328mg,4.4,19,,
54,6578962,15 mins,20 mins,35 mins,4 ,4,565,24g,12g,163mg,799mg,50g,4g,7g,36g,39mg,206mg,4mg,658mg,4.5,34,,
55,6738268,5 mins,10 mins,15 mins,4 ,4,475,14g,8g,37mg,403mg,69g,4g,5g,20g,98mg,258mg,3mg,414mg,4.3,"1,155",,
56,6663651,15 mins,25 mins,40 mins,8 ,8,650,35g,14g,161mg,1467mg,53g,4g,5g,34g,8mg,118mg,4mg,501mg,4.0,1,,
57,6572010,10 mins,15 mins,25 mins,7 ,7,340,8g,4g,21mg,298mg,53g,3g,5g,14g,10mg,148mg,3mg,201mg,4.0,76,,
58,6585208,,,,2 ,2,749,58g,36g,198mg,288mg,47g,3g,3g,13g,23mg,162mg,2mg,353mg,4.3,164,,2 servings
59,6589663,20 mins,20 mins,40 mins,8 ,8,292,4g,1g,6mg,360mg,51g,4g,6g,14g,25mg,150mg,2mg,258mg,4.0,337,,
60,6663555,20 mins, 1 hr 10 mins, 2 hrs,8 ,8,678,45g,26g,178mg,557mg,36g,2g,2g,31g,1mg,237mg,3mg,322mg,4.5,2,30 mins,8 servings
61,6738511,20 mins,15 mins,35 mins,8 ,8,1014,76g,47g,272mg,845mg,47g,2g,2g,39g,1mg,410mg,3mg,436mg,3.8,294,,8 servings
62,6602594,10 mins,20 mins,30 mins,4 ,4,553,22g,11g,310mg,756mg,43g,2g,2g,42g,5mg,76mg,6mg,480mg,4.3,3,,4 servings
