,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:
0,6591666,15 mins,25 mins, 1 hr, 1 hr 40 mins,16 ,16,116,10g,6g,121mg,135mg,1g,0g,0g,5g,6mg,7mg,3mg,84mg,4.6,36,
1,6572953,15 mins,, 1 hr, 1 hr 15 mins,16 ,16,96,9g,4g,41mg,209mg,1g,,0g,3g,0mg,13mg,2mg,49mg,4.8,25,2 cups
2,6570946, 1 hr 10 mins, 1 hr 45 mins, 10 hrs 15 mins, 13 hrs 10 mins,12 ,12,250,15g,6g,114mg,1121mg,11g,2g,4g,15g,6mg,42mg,2mg,269mg,4.6,12,1 9x5-inch loaf pan
3,6571331,30 mins,10 mins,,40 mins,16 ,16,127,12g,4g,15mg,80mg,3g,1g,1g,2g,2mg,15mg,1mg,94mg,4.6,56,16 servings
4,6578180,15 mins, 1 hr 45 mins, 12 hrs, 14 hrs,40 ,40,236,23g,9g,28mg,15mg,1g,0g,1g,5g,1mg,8mg,0mg,89mg,4.4,31,5 cups
5,6590733,35 mins,, 2 hrs, 2 hrs 35 mins,4 ,4,387,21g,2g,0mg,581mg,37g,8g,2g,17g,4mg,62mg,5mg,470mg,4.6,58,4 servings
6,6601058,20 mins,15 mins,,35 mins,8 ,8,66,5g,3g,63mg,70mg,1g,,0g,3g,3mg,10mg,1mg,50mg,4.5,71,1 cup
7,6582239,15 mins, 1 hr,, 1 hr 15 mins,16 ,16,102,7g,1g,,80mg,8g,2g,1g,3g,5mg,11mg,1mg,188mg,4.4,31,2 cups
8,6582575,30 mins,, 2 hrs, 2 hrs 30 mins,24 ,24,80,7g,3g,39mg,242mg,1g,,0g,3g,0mg,7mg,2mg,53mg,4.8,28,
9,6576631,5 mins, 1 hr 5 mins,, 1 hr 10 mins,16 ,16,59,4g,1g,18mg,18mg,1g,0g,1g,5g,1mg,9mg,0mg,112mg,4.3,9,2 cups
10,6605954,30 mins,,30 mins, 1 hr,8 ,8,191,17g,7g,42mg,173mg,2g,1g,1g,9g,2mg,83mg,1mg,142mg,4.7,40,
11,6592687,20 mins,10 mins, 3 hrs 10 mins, 3 hrs 40 mins,12 ,12,202,18g,6g,42mg,687mg,1g,0g,0g,9g,3mg,15mg,0mg,155mg,4.9,11,
12,6563895,5 mins,20 mins,5 mins,30 mins,4 ,4,165,15g,8g,123mg,852mg,2g,0g,0g,7g,4mg,25mg,2mg,103mg,,,4 servings
13,6582436,20 mins,15 mins, 3 hrs 30 mins, 4 hrs 5 mins,16 ,16,165,14g,9g,137mg,320mg,3g,0g,2g,5g,7mg,11mg,2mg,84mg,5.0,4,2 cups
14,6602530,20 mins,16 mins, 8 hrs 5 mins, 8 hrs 41 mins,6 ,6,253,20g,11g,317mg,83mg,5g,1g,3g,14g,16mg,68mg,6mg,238mg,5.0,1,6 servings
15,6597991,25 mins,50 mins,, 1 hr 15 mins,12 ,12,168,14g,8g,207mg,248mg,4g,0g,1g,8g,8mg,29mg,3mg,124mg,5.0,2,12 servings
16,6596493,25 mins,,,25 mins,24 ,24,32,3g,0g,1mg,28mg,1g,0g,0g,1g,13mg,25mg,0mg,56mg,4.2,11,3 cups
17,6578565,10 mins,,,10 mins,16 ,16,129,13g,8g,40mg,243mg,1g,,1g,3g,0mg,78mg,0mg,39mg,4.4,34,2 cups
18,6590358,20 mins,, 6 hrs, 6 hrs 20 mins,16 ,16,65,5g,3g,20mg,199mg,1g,,0g,4g,0mg,14mg,0mg,78mg,4.0,3,2 cups
19,6577006,15 mins,20 mins, 1 hr, 1 hr 35 mins,8 ,8,90,4g,1g,5mg,210mg,11g,3g,0g,3g,2mg,25mg,1mg,39mg,4.0,3,8 servings
20,6579228,15 mins,45 mins, 1 hr, 2 hrs,10 ,10,76,3g,1g,34mg,29mg,2g,0g,1g,10g,1mg,14mg,1mg,113mg,4.0,1,10 servings
21,6587466,20 mins,6 mins, 4 hrs, 4 hrs 26 mins,32 ,32,106,8g,5g,123mg,61mg,3g,0g,2g,5g,6mg,11mg,2mg,80mg,5.0,1,4 cups
22,6566773,5 mins,, 1 hr, 1 hr 5 mins,6 ,6,804,81g,50g,302mg,694mg,8g,0g,7g,22g,4mg,11mg,1mg,155mg,,,6 servings
23,6561383,15 mins,30 mins,,45 mins,16 ,16,80,4g,2g,148mg,114mg,2g,0g,1g,6g,6mg,12mg,2mg,76mg,5.0,1,16 servings
24,6599653,10 mins,5 mins, 1 hr, 1 hr 15 mins,4 ,4,194,9g,5g,22mg,393mg,24g,1g,6g,5g,0mg,20mg,1mg,55mg,,,1 cup of pate
25,6575773,15 mins, 1 hr, 7 hrs 20 mins, 8 hrs 35 mins,10 ,10,147,8g,3g,116mg,401mg,3g,0g,1g,13g,11mg,26mg,3mg,182mg,,,1 pate
26,6566239,15 mins, 1 hr,1 day,1 day 1 hr 15 mins,12 ,12,181,12g,4g,111mg,556mg,7g,4g,,13g,54mg,125mg,7mg,347mg,,,12 servings
27,6564746,15 mins,15 mins, 8 hrs, 8 hrs 30 mins,12 ,12,166,13g,8g,167mg,297mg,2g,0g,0g,7g,8mg,14mg,3mg,155mg,,,3 cups
