,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Rise Time:,Stand Time:,Active Time:,Fry Time:,Cool Time:,Chill Time:,Additional Time:
0,7504941,15 mins,13 mins,28 mins,10 ,10 apple fritters,10,234,8g,5g,38mg,129mg,37g,1g,22g,3g,1mg,90mg,1mg,77mg,5.0,1,,,,,,,
1,6569351,15 mins,25 mins,40 mins,35 ,,35,69,5g,1g,12mg,24mg,5g,0g,2g,1g,,13mg,0mg,8mg,4.5,161,,,,,,,
2,6650503,10 mins,10 mins,20 mins,4 ,,4,4263,455g,30g,0mg,268mg,57g,1g,33g,3g,0mg,13mg,2mg,37mg,4.4,830,,,,,,,
3,6664691,10 mins,10 mins,20 mins,6 ,,6,524,33g,5g,67mg,303mg,50g,1g,18g,8g,0mg,122mg,2mg,160mg,4.5,245,,,,,,,
4,7111578,45 mins,10 mins, 3 hrs 30 mins,20 ,20 doughnuts,,,,,,,,,,,,,,,,, 2 hrs 5 mins,30 mins,,,,,
5,7111100,40 mins,30 mins, 1 hr 40 mins,72 ,72 donut holes,,,,,,,,,,,,,,,,,,30 mins,,,,,
6,6891086,,, 1 hr 20 mins,9 ,9 donuts,9,355,11g,3g,33mg,233mg,62g,2g,,5g,,,,49mg,,,,, 1 hr,10 mins,10 mins,,
7,6832598, 1 hr,35 mins, 4 hrs 5 mins,8 ,8 donuts,8,659,20g,11g,94mg,378mg,117g,1g,,5g,,,,81mg,,,,25 mins,,,5 mins, 2 hrs,
8,6737520,15 mins,20 mins,45 mins,12 ,12 donuts,12,276,7g,4g,32mg,168mg,52g,1g,35g,3g,8mg,53mg,1mg,80mg,4.5,38,,,,,,,10 mins
9,6579999,10 mins,15 mins,25 mins,12 ,12 doughnuts,12,202,10g,3g,21mg,302mg,25g,1g,9g,3g,,65mg,1mg,45mg,4.4,489,,,,,,,
10,6664120,10 mins,30 mins, 2 hrs 40 mins,18 ,18 doughnuts,18,331,13g,4g,31mg,171mg,47g,1g,20g,5g,,34mg,2mg,93mg,4.7,"1,356",,,,,,, 2 hrs
11,6650768,30 mins,30 mins, 3 hrs,10 ,,10,543,18g,4g,45mg,277mg,83g,3g,16g,12g,1mg,86mg,4mg,202mg,4.7,321,,,,,,, 2 hrs
12,6664341,15 mins,15 mins,30 mins,18 ,,18,148,7g,1g,11mg,74mg,20g,0g,9g,2g,,10mg,1mg,27mg,4.1,354,,,,,,,
13,6650507,20 mins,15 mins,35 mins,24 ,,24,118,5g,1g,16mg,98mg,17g,1g,3g,2g,1mg,35mg,1mg,41mg,4.6,492,,,,,,,
14,6593944,10 mins,5 mins,15 mins,6 ,24 fritters,6,408,19g,3g,64mg,427mg,53g,2g,16g,8g,4mg,141mg,3mg,240mg,4.0,87,,,,,,,
15,6584330,15 mins,15 mins, 1 hr 30 mins,18 ,18 donuts,18,160,6g,1g,11mg,75mg,22g,1g,4g,4g,,22mg,1mg,60mg,4.6,21,,,,,,, 1 hr
16,6568239,20 mins,10 mins,30 mins,18 ,36 mini doughnuts,18,76,3g,2g,9mg,51mg,11g,0g,,1g,,15mg,0mg,12mg,4.3,95,,,,,,,
17,6649866,20 mins,10 mins, 1 hr 35 mins,12 ,1 dozen,12,270,9g,1g,17mg,405mg,46g,2g,25g,5g,1mg,44mg,2mg,240mg,4.3,51,,,,,,, 1 hr 5 mins
18,6583053,20 mins,25 mins, 9 hrs 15 mins,14 ,14 koeksisters,14,538,33g,5g,5mg,145mg,60g,1g,,2g,3mg,75mg,2mg,44mg,5.0,2,,,,,,, 8 hrs 30 mins
19,6590436,10 mins,30 mins,40 mins,12 ,24 panikeke,12,337,11g,2g,,83mg,55g,2g,25g,4g,2mg,53mg,2mg,112mg,4.6,60,,,,,,,
20,6585863,20 mins,15 mins,35 mins,8 ,48 sticks,8,266,12g,5g,15mg,267mg,38g,1g,24g,2g,2mg,12mg,1mg,20mg,4.5,15,,,,,,,
21,6739037, 1 hr,, 5 hrs 5 mins,14 ,14 dough cronuts,14,241,12g,8g,45mg,189mg,28g,1g,3g,4g,,21mg,2mg,67mg,4.8,24,,,,,,, 4 hrs 5 mins
22,6585132,15 mins,5 mins,25 mins,6 ,6 churros,6,173,10g,6g,84mg,112mg,18g,0g,9g,4g,,39mg,1mg,67mg,3.0,24,,,,,,,5 mins
23,6602144,18 mins,12 mins,30 mins,12 ,12 servings,12,280,10g,6g,68mg,259mg,44g,1g,19g,6g,0mg,76mg,2mg,88mg,3.6,149,,,,,,,
24,6737872,20 mins,10 mins,30 mins,12 ,12 doughnuts,12,196,2g,1g,32mg,272mg,40g,1g,24g,4g,,60mg,1mg,58mg,4.0,313,,,,,,,
25,6651127,30 mins,20 mins, 1 hr 55 mins,20 ,20 pastries,20,284,10g,2g,29mg,192mg,46g,4g,24g,6g,,30mg,2mg,171mg,4.8,44,,,,,,, 1 hr 5 mins
26,6648389,15 mins,10 mins,35 mins,8 ,16 small apple fritters,8,248,9g,3g,31mg,243mg,40g,2g,23g,3g,3mg,62mg,1mg,110mg,4.7,200,,,,,,,10 mins
27,6578508,,,,84 ,7 dozen,84,89,3g,1g,16mg,40mg,13g,0g,6g,2g,0mg,11mg,1mg,25mg,4.3,85,,,,,,,
28,6576747, 1 hr,15 mins, 3 hrs,24 ,2 dozen doughnuts,24,207,11g,2g,16mg,107mg,24g,1g,8g,3g,,15mg,1mg,51mg,4.8,233,,,,,,, 1 hr 45 mins
29,6739463,10 mins,20 mins,30 mins,50 ,50 donuts,50,101,5g,1g,10mg,63mg,14g,0g,8g,1g,,24mg,0mg,19mg,3.9,14,,,,,,,
