,id_recipe,name,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Chill Time:
0,6587058,Chocolate Tart,20 mins,20 mins, 2 hrs 30 mins, 3 hrs 10 mins,12 ,1 (8-inch) chocolate tart,12,322,24g,14g,48mg,114mg,29g,2g,16g,3g,0mg,26mg,2mg,133mg,,,
1,6582006,Best Victoria Sponge Cake,15 mins,30 mins,25 mins, 1 hr 10 mins,6 ,1 (7-inch) layer cake,6,636,33g,10g,113mg,714mg,80g,1g,54g,6g,2mg,124mg,2mg,104mg,5.0,8,
2,6650796,Strawberry Vanilla Pancakes,10 mins,10 mins,,20 mins,4 ,8 pancakes,4,280,10g,2g,51mg,807mg,38g,2g,12g,7g,23mg,195mg,2mg,220mg,4.1,344,
3,6664370,Real Strawberry Frosting,20 mins,20 mins,,40 mins,18 ,,18,177,10g,6g,27mg,82mg,22g,0g,21g,0g,6mg,5mg,0mg,19mg,4.6,457,
4,6745484,Crispy Fried Poached Eggs,20 mins,7 mins,,27 mins,4 ,4 crispy poached eggs,4,2321,228g,37g,279mg,1456mg,67g,2g,,19g,,,,212mg,5.0,2,
5,6575510,Pumpkin Waffles with Apple Cider Syrup,30 mins,15 mins,,45 mins,6 ,,6,530,17g,10g,161mg,703mg,82g,4g,36g,13g,3mg,296mg,4mg,348mg,4.6,364,
6,6664833,Waffles,10 mins,15 mins,,25 mins,6 ,6 waffles,6,382,22g,4g,68mg,390mg,38g,1g,6g,9g,0mg,231mg,3mg,175mg,4.5,"5,291",
7,6650318,Classic Waffles,10 mins,15 mins,,25 mins,5 ,10 to 12 waffles,5,379,16g,9g,113mg,899mg,48g,1g,9g,10g,0mg,267mg,3mg,196mg,4.5,"3,974",
8,6650035,Basic Crêpes,10 mins,20 mins,,30 mins,4 ,8 crêpes,4,216,9g,5g,111mg,235mg,26g,1g,2g,7g,0mg,56mg,2mg,115mg,4.6,"4,163",
9,6648180,Grandma's Lemon Meringue Pie,30 mins,10 mins,,40 mins,8 ,1 9-inch pie,8,298,10g,4g,110mg,229mg,50g,2g,35g,4g,21mg,35mg,1mg,97mg,4.6,"3,198",
10,6663557,Scones,10 mins,15 mins,,25 mins,8 ,8 scones,8,397,19g,12g,71mg,595mg,51g,1g,14g,7g,0mg,220mg,3mg,110mg,4.6,"1,421",
11,6648191,Old-Fashioned Coconut Cream Pie,10 mins,20 mins, 4 hrs, 4 hrs 30 mins,8 ,1 (9-inch) pie,8,423,24g,13g,80mg,276mg,46g,2g,23g,7g,1mg,107mg,1mg,193mg,4.7,"1,916",
12,6648622,Easy Garlic-Lemon Scallops,10 mins,5 mins,,15 mins,6 ,,6,408,24g,15g,152mg,988mg,9g,0g,0g,39g,4mg,72mg,4mg,635mg,4.6,646,
13,6650039,Simple Scones,15 mins,15 mins,5 mins,35 mins,8 ,8 scones,8,319,16g,9g,60mg,249mg,41g,1g,15g,5g,0mg,58mg,2mg,143mg,4.9,"3,016",
