,id_recipe,name,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Active Time:,Bake Time:,Cool Time:,Refrigerate Time:,Chill Time:
0,6562504,Chocolate Swiss Roll,30 mins,10 mins, 2 hrs, 2 hrs 40 mins,6 ,1 Swiss roll,6,270,20g,11g,147mg,209mg,19g,1g,13g,5g,0mg,39mg,1mg,113mg,4.3,7,,,,,
1,7094876,German Chocolate Cupcakes,,5 mins,, 1 hr 55 mins,12 ,12 cupcakes,12,636,44g,19g,152mg,256mg,58g,4g,,9g,,,,319mg,5.0,1,45 mins,25 mins, 1 hr 40 mins,,
2,6588940,Black Forest Cake Icing,5 mins,,15 mins,20 mins,12 ,3 cups,12,225,22g,14g,82mg,23mg,6g,,5g,1g,0mg,39mg,,46mg,4.7,6,,,,,
3,6648349,Easy Microwave Chocolate Mug Cake,5 mins,2 mins,,7 mins,1 ,,1,603,30g,3g,4mg,470mg,82g,4g,53g,7g,0mg,73mg,3mg,270mg,4.5,"2,103",,,,,
4,7509612,Air Fryer Mini Dark Chocolate Cake with Brown Butter Frosting,20 mins,25 mins,, 1 hr 15 mins,6 ,,6,331,16g,8g,57mg,286mg,46g,1g,39g,3g,2mg,44mg,2mg,75mg,,,,,30 mins,,
5,7372948,The Best Paleo Chocolate Cake with Paleo Chocolate Frosting,20 mins,30 mins,, 8 hrs,16 ,1 cake,16,506,32g,17g,47mg,276mg,53g,5g,44g,8g,0mg,111mg,3mg,282mg,5.0,2,,,10 mins, 7 hrs,
6,7105151,Torta Caprese (Italian Flourless Chocolate Torte),20 mins,,, 2 hrs 15 mins,10 ,,10,336,21g,12g,106mg,128mg,29g,2g,,9g,,,,270mg,5.0,6,,25 mins, 1 hr 30 mins,,
7,6753202,Chocolate Chestnut Cake, 1 hr,,, 4 hrs,12 ,1 chocolate chestnut cake,12,889,52g,24g,134mg,601mg,103g,5g,,9g,,,,269mg,,,,20 mins, 1 hr 10 mins,, 1 hr 30 mins
8,6753017,S'mores Cake, 1 hr,,, 3 hrs 55 mins,12 ,"1 double layer, 9-inch cake",12,631,33g,17g,103mg,428mg,82g,3g,,9g,,,,338mg,3.5,2,,25 mins, 2 hrs 30 mins,,
9,6650151,One Bowl Chocolate Cake,20 mins,30 mins,10 mins, 1 hr,24 ,1 2 layer (9-inch) cake,24,157,6g,1g,16mg,217mg,26g,1g,17g,2g,,36mg,1mg,73mg,4.7,"4,377",,,,,
10,6741256,Chocolate Beet Cake with Beet-Vanilla Glaze,30 mins,55 mins,, 2 hrs 25 mins,12 ,,12,518,23g,11g,87mg,415mg,79g,5g,,7g,,,,346mg,,,,, 1 hr,,
11,6741073,Checkerboard Cake,45 mins,20 mins, 1 hr 25 mins, 2 hrs 30 mins,12 ,1 9-inch layer cake,12,890,37g,20g,126mg,738mg,134g,2g,,11g,,,,394mg,4.0,1,,,,,
12,6649360,Chocolate Cupcakes,15 mins,15 mins,,30 mins,16 ,16 cupcakes,16,158,4g,2g,31mg,115mg,30g,2g,20g,3g,,71mg,1mg,104mg,4.1,"1,542",,,,,
13,6740832,Black Forest Cake,50 mins,35 mins, 1 hr 30 mins, 2 hrs 55 mins,12 ,1 9-inch cake,12,662,34g,16g,130mg,342mg,87g,3g,62g,8g,2mg,124mg,3mg,292mg,4.5,487,,,,,
14,6664019,No Egg Chocolate Mug Cake,5 mins,2 mins,,7 mins,1 ,1 mug cake,1,586,21g,8g,4mg,131mg,101g,7g,68g,9g,0mg,156mg,4mg,407mg,3.8,69,,,,,
15,6738181,Buche de Noel,45 mins,15 mins,30 mins, 1 hr 30 mins,12 ,1 buche de noel,12,276,18g,10g,157mg,72mg,28g,2g,23g,5g,0mg,46mg,1mg,159mg,4.7,429,,,,,
16,6601446,Red Velvet Cupcakes,20 mins,20 mins,,40 mins,30 ,30 cupcakes,30,277,13g,8g,58mg,174mg,38g,1g,28g,3g,0mg,30mg,1mg,73mg,4.4,"1,549",,,,,
17,6649276,Chocolate Zucchini Cake,15 mins,50 mins,, 1 hr 5 mins,24 ,1 (9x13-inch) cake,24,269,18g,3g,31mg,188mg,27g,2g,17g,3g,3mg,28mg,1mg,117mg,4.8,"1,035",,,,,
18,6649250,Texas Sheet Cake,10 mins,20 mins,,30 mins,32 ,1 10x15-inch cake,32,256,13g,6g,36mg,145mg,36g,1g,28g,2g,0mg,19mg,1mg,68mg,4.7,822,,,,,
19,6737903,Vegan Chocolate Cake,15 mins,45 mins,, 1 hr,8 ,1 9x5-inch loaf cake,8,275,10g,1g,,304mg,45g,1g,25g,3g,,5mg,2mg,163mg,4.7,967,,,,,
20,6581638,Black Bottom Cupcakes,30 mins,30 mins,, 1 hr,24 ,24 cupcakes,24,171,9g,4g,18mg,145mg,22g,1g,15g,2g,,14mg,1mg,63mg,4.4,869,,,,,
21,6663526,Flourless Chocolate Cake,25 mins,45 mins, 8 hrs, 9 hrs 10 mins,16 ,1 10-inch round cake,16,341,24g,14g,102mg,66mg,28g,2g,24g,5g,,15mg,1mg,149mg,4.7,"1,058",,,,,
22,6737539,Wacky Cake,10 mins,30 mins,,40 mins,10 ,1 8x8-inch pan,10,225,9g,1g,,243mg,36g,1g,20g,2g,,6mg,1mg,55mg,4.7,286,,,,,
23,6738645,Coco-Cola Cake,20 mins,50 mins,, 1 hr 10 mins,18 ,1 9x13-inch pan,18,454,21g,11g,62mg,199mg,67g,2g,54g,3g,0mg,25mg,1mg,87mg,4.5,144,,,,,
24,6663579,Back-of-the-Box Hershey's Chocolate Cake,30 mins,30 mins,, 1 hr,12 ,1 (4-layer) 9-inch cake,12,655,25g,11g,64mg,524mg,111g,6g,88g,7g,0mg,106mg,3mg,334mg,4.7,"3,267",,,,,
25,6649194,Grandma's Chocolate Texas Sheet Cake,15 mins,25 mins,5 mins,45 mins,24 ,1 10x15-inch cake,24,259,12g,8g,47mg,170mg,36g,1g,27g,2g,0mg,20mg,1mg,55mg,4.6,47,,,,,
26,6663464,Easy Microwave Chocolate Cake,5 mins,2 mins,,7 mins,2 ,,2,433,21g,13g,141mg,233mg,54g,3g,27g,9g,0mg,100mg,3mg,204mg,4.2,235,,,,,
27,6739590,Crazy Cake,10 mins,30 mins,,40 mins,18 ,1 9x13-inch cake,18,250,10g,1g,,271mg,40g,1g,22g,3g,,7mg,1mg,84mg,4.7,"1,068",,,,,
28,6600722,Lava Cake,10 mins,15 mins,5 mins,30 mins,4 ,,4,562,50g,31g,184mg,260mg,35g,8g,17g,11g,,74mg,9mg,462mg,4.8,19,,,,,
29,6649633,Cream-Filled Cupcakes,15 mins,20 mins,15 mins,50 mins,36 ,,36,196,9g,2g,14mg,151mg,27g,1g,18g,2g,,14mg,1mg,40mg,4.4,464,,,,,
30,6663669,Black Magic Cake,15 mins,30 mins,10 mins,55 mins,24 ,2 9-inch round pans or one 9x13-inch dish,24,155,6g,1g,16mg,240mg,26g,1g,17g,2g,0mg,31mg,1mg,77mg,4.8,"3,135",,,,,
31,6664676,Brownie Cupcakes,15 mins,35 mins,10 mins, 1 hr,18 ,18 cupcakes,18,242,14g,9g,68mg,89mg,28g,1g,22g,3g,,13mg,1mg,60mg,4.2,176,,,,,
32,6579712,The Real Red Velvet Cake,50 mins,45 mins, 2 hrs 50 mins, 4 hrs 25 mins,16 ,"1 (3-layer, 9-inch) cake",16,639,34g,20g,121mg,304mg,80g,1g,56g,6g,0mg,98mg,3mg,166mg,3.1,15,,,,,
33,6568849,"Egg-Free, Dairy-Free, Nut-Free Cake",15 mins,30 mins,,45 mins,8 ,1 (8x8-inch) cake,8,319,12g,3g,,304mg,51g,2g,31g,4g,,7mg,2mg,102mg,4.7,264,,,,,
34,6649707,Amazing Slow Cooker Chocolate Cake,15 mins, 3 hrs,30 mins, 3 hrs 45 mins,12 ,,12,313,11g,2g,33mg,434mg,51g,2g,35g,5g,,73mg,2mg,145mg,3.9,339,,,,,
35,6738149,Best Moist Chocolate Cake,10 mins,40 mins,,50 mins,12 ,1 9x13-inch pan,12,382,17g,4g,49mg,558mg,52g,2g,31g,6g,0mg,56mg,2mg,141mg,4.1,434,,,,,
36,6576844,"Grandma's Eggless, Butterless, Milkless Cake",10 mins,20 mins,30 mins, 1 hr,18 ,1 9x13-inch cake,18,240,9g,1g,,196mg,39g,1g,22g,3g,,37mg,1mg,51mg,4.3,288,,,,,
37,6595976,Chocolate Mocha Cake I,,,,,12 ,9 inch layer cake,12,318,11g,2g,32mg,382mg,53g,2g,35g,5g,0mg,61mg,2mg,145mg,4.5,121,,,,,
38,6570299,Willard Family German Chocolate Cake,30 mins,50 mins, 1 hr, 2 hrs 20 mins,10 ,1 3-layer cake,10,809,42g,11g,144mg,617mg,102g,4g,74g,12g,1mg,134mg,3mg,274mg,4.7,155,,,,,
39,6570726,Eggless Chocolate Cake,,,,,24 ,1 (9x13-inch) cake ,24,276,10g,2g,,208mg,45g,2g,25g,3g,,9mg,2mg,83mg,4.3,288,,,,,
40,6650342,Dark Chocolate Cake I,30 mins,30 mins,20 mins, 1 hr 20 mins,12 ,3 to 9 - inch round pans,12,427,18g,11g,103mg,463mg,64g,3g,38g,7g,,40mg,3mg,169mg,4.6,"1,632",,,,,
41,6738857,Chocolate Pound Cake III,30 mins, 1 hr,, 1 hr 30 mins,16 ,1 to 10 - inch bundt pan,16,394,20g,12g,105mg,318mg,53g,2g,39g,5g,0mg,46mg,2mg,133mg,4.6,377,,,,,
42,6738354,Chef John's Chocolate Lava Cake,5 mins,25 mins,45 mins, 1 hr 15 mins,4 ,4 servings,4,394,29g,16g,241mg,207mg,32g,1g,10g,7g,,39mg,2mg,155mg,4.2,317,,,,,
43,6594772,Cassata Cake,,,,,12 ,1 to 9 - inch cake,12,601,24g,14g,133mg,174mg,84g,2g,64g,14g,,202mg,2mg,246mg,4.1,39,,,,,
44,6569963,Zucchini Chocolate Chip Cake,30 mins,45 mins,, 1 hr 15 mins,16 ,1 (9x13-inch) cake,16,330,17g,6g,39mg,154mg,43g,2g,26g,4g,3mg,35mg,2mg,153mg,4.7,82,,,,,
