,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Yield:
38,6569971,10 mins,10 mins,20 mins,6 ,6,390,21g,3g,3mg,624mg,47g,5g,4g,6g,25mg,133mg,2mg,284mg,4.0,1,,6 servings
39,6605712,5 mins,15 mins,20 mins,4 ,4,613,38g,8g,16mg,1082mg,61g,11g,3g,12g,3mg,171mg,3mg,187mg,,,,4 servings
40,6588342,5 mins,10 mins,20 mins,4 ,4,1355,77g,28g,159mg,2648mg,124g,8g,36g,45g,9mg,619mg,6mg,1104mg,4.3,27,5 mins,4 servings
41,6737765,20 mins,5 mins,25 mins,15 ,15,209,15g,7g,82mg,278mg,6g,1g,0g,13g,6mg,194mg,1mg,145mg,4.5,19,,50 nachos
42,6600351,20 mins,15 mins,35 mins,12 ,12,376,22g,8g,31mg,866mg,35g,5g,3g,12g,5mg,179mg,2mg,404mg,4.0,1,,12 servings
43,6601274,15 mins,,15 mins,16 ,16,130,12g,5g,19mg,179mg,5g,1g,0g,2g,0mg,29mg,0mg,35mg,3.8,35,,16 servings
44,6599168,15 mins,10 mins,25 mins,4 ,4,697,40g,12g,90mg,1348mg,55g,6g,4g,34g,25mg,274mg,4mg,633mg,,,,4 servings
45,6598789,5 mins,15 mins,25 mins,6 ,6,441,28g,8g,51mg,1014mg,38g,4g,2g,18g,2mg,149mg,1mg,547mg,,,5 mins,6 servings
46,6737324,15 mins,15 mins,30 mins,24 ,24,64,3g,1g,14mg,67mg,5g,0g,0g,4g,0mg,25mg,0mg,52mg,4.8,4,,48 appetizers
47,6648891,10 mins,8 mins,18 mins,4 ,4,578,34g,17g,103mg,939mg,36g,6g,,33g,,,,402mg,,,,
48,6592180,10 mins,25 mins,35 mins,10 ,10,582,35g,18g,97mg,1108mg,39g,5g,4g,29g,2mg,495mg,2mg,381mg,4.0,1,,10 servings
49,6649040,,,,8 ,8,328,19g,6g,43mg,914mg,23g,4g,,15g,,,,148mg,5.0,2,,
50,6596332,5 mins,5 mins,10 mins,2 ,2,321,20g,12g,59mg,1743mg,18g,3g,6g,16g,30mg,445mg,2mg,525mg,,,,2 servings
51,6588656,,,,32 ,32,26,2g,0g,,3mg,3g,0g,0g,0g,,5mg,0mg,12mg,4.7,39,,32 triangles
52,6582825,10 mins,20 mins,30 mins,6 ,6,967,52g,15g,102mg,1737mg,93g,8g,7g,35g,3mg,391mg,5mg,670mg,4.5,6,,6 servings
53,6582355,20 mins,40 mins, 1 hr,12 ,12,356,25g,10g,50mg,708mg,24g,3g,2g,14g,7mg,156mg,1mg,427mg,4.2,22,,12 servings
54,6738131,25 mins,10 mins, 4 hrs 35 mins,6 ,6,518,30g,4g,,935mg,57g,10g,5g,10g,26mg,137mg,3mg,751mg,,, 4 hrs,6 servings
55,6579940,10 mins,50 mins, 1 hr,16 ,16,191,9g,5g,25mg,506mg,18g,4g,1g,10g,6mg,149mg,1mg,223mg,,,,16 servings
56,6578376,25 mins,35 mins, 1 hr,4 ,4,317,19g,4g,11mg,817mg,39g,13g,7g,13g,92mg,122mg,2mg,790mg,,,,4 servings
57,6569824,15 mins,10 mins,25 mins,2 ,2,915,63g,22g,118mg,2158mg,58g,6g,16g,34g,15mg,802mg,4mg,457mg,,,,2 servings
58,6564993,5 mins,15 mins,20 mins,10 ,10,324,21g,8g,52mg,484mg,19g,1g,1g,15g,,206mg,1mg,114mg,,,,10 servings
59,6596474,5 mins, 2 hrs, 2 hrs 5 mins,6 ,6,584,32g,18g,113mg,789mg,33g,15g,2g,41g,2mg,590mg,5mg,560mg,,,,6 servings
