,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Marinate Time:,Additional Time:
0,7562426,20 mins,30 mins,50 mins,4 ,4,556,34g,10g,183mg,767mg,27g,4g,6g,38g,132mg,235mg,5mg,825mg,4.0,1,,,
1,6566706,20 mins,,20 mins,40 ,40,44,4g,1g,1mg,81mg,2g,1g,1g,1g,2mg,17mg,0mg,119mg,4.5,90,2 1/2 cups,,
2,6649020,15 mins,,15 mins,8 ,8,81,8g,1g,,359mg,3g,0g,0g,1g,4mg,11mg,0mg,18mg,4.6,234,1 cup,,
3,6826939,30 mins,15 mins, 1 hr,8 ,8,174,22g,3g,41mg,139mg,6g,1g,,14g,,,,370mg,,,8 kabobs,15 mins,
4,6739406,5 mins,25 mins,30 mins,4 ,4,152,7g,1g,,304mg,21g,5g,2g,4g,24mg,91mg,3mg,684mg,4.7,24,,,
5,6603891,10 mins,20 mins,30 mins,8 ,8,147,7g,1g,,453mg,16g,6g,3g,6g,8mg,31mg,2mg,343mg,4.4,183,,,
6,6602469,15 mins, 1 hr, 1 hr 45 mins,6 ,6,384,9g,2g,199mg,2899mg,11g,1g,,62g,24mg,229mg,20mg,1329mg,4.5,13,,,30 mins
7,6664963,10 mins, 1 hr, 1 hr 10 mins,4 ,4,357,16g,2g,,57mg,40g,19g,4g,16g,8mg,64mg,5mg,701mg,4.6,659,,,
8,6649201,20 mins, 1 hr 30 mins, 1 hr 50 mins,4 ,4,418,19g,3g,0mg,599mg,59g,7g,3g,7g,71mg,60mg,3mg,1386mg,4.5,643,,,
9,6737037,15 mins,35 mins,50 mins,4 ,4,225,4g,1g,2mg,758mg,37g,8g,6g,11g,16mg,122mg,5mg,953mg,4.6,531,,,
10,6576727,20 mins,30 mins,50 mins,6 ,6,222,6g,1g,68mg,268mg,7g,2g,3g,29g,18mg,39mg,2mg,575mg,4.4,592,,,
11,6737289,15 mins,,15 mins,20 ,20,54,3g,0g,,199mg,7g,1g,0g,2g,3mg,16mg,1mg,58mg,4.6,"1,222",2 1/2 cups,,
12,6648729,20 mins,,20 mins,6 ,6,265,22g,6g,22mg,538mg,14g,5g,6g,6g,79mg,201mg,2mg,483mg,4.6,269,,,
13,6565067,20 mins,, 8 hrs 20 mins,40 ,40,22,1g,0g,1mg,191mg,2g,0g,2g,1g,1mg,43mg,0mg,59mg,4.5,323,5 cups,, 8 hrs
14,6736702,10 mins,25 mins,35 mins,12 ,12,317,10g,2g,1mg,234mg,48g,4g,4g,10g,67mg,57mg,3mg,326mg,4.3,194,,,
15,6589025,10 mins,40 mins,50 mins,4 ,4,84,4g,1g,,30mg,12g,,,1g,4mg,40mg,1mg,189mg,5.0,2,,,
16,6648681,5 mins,10 mins, 1 hr 20 mins,4 ,4,579,44g,17g,168mg,169mg,1g,,0g,43g,2mg,37mg,3mg,560mg,4.6,5,,, 1 hr 5 mins
17,6568141,10 mins,10 mins,30 mins,4 ,4,343,28g,4g,173mg,248mg,6g,3g,0g,20g,54mg,84mg,4mg,315mg,4.8,4,,,10 mins
18,6604704,5 mins,,5 mins,8 ,8,81,3g,0g,,427mg,10g,4g,0g,4g,3mg,27mg,1mg,186mg,4.7,743,,,
19,6571878,15 mins,40 mins,55 mins,4 ,4,533,32g,8g,85mg,1113mg,41g,7g,4g,23g,72mg,166mg,3mg,802mg,4.9,140,4 servings,,
20,6597067,20 mins,15 mins,55 mins,6 ,6,418,27g,6g,16mg,819mg,35g,3g,3g,11g,10mg,171mg,2mg,206mg,4.8,20,,,20 mins
21,6741645,30 mins, 1 hr 30 mins, 2 hrs,4 ,4,534,28g,4g,,141mg,66g,13g,16g,11g,136mg,117mg,5mg,2442mg,4.6,387,,,
22,6738908,15 mins,,15 mins,6 ,6,187,16g,5g,22mg,347mg,8g,2g,4g,5g,16mg,152mg,1mg,358mg,4.7,671,,,
23,6738098,10 mins,40 mins, 1 hr,2 ,2,501,33g,5g,129mg,191mg,4g,0g,1g,47g,15mg,37mg,2mg,441mg,4.5,111,2 servings,,10 mins
24,6649834,10 mins,5 mins,15 mins,6 ,6,259,21g,4g,50mg,56mg,3g,1g,,16g,21mg,27mg,1mg,310mg,4.7,27,6 3-ounce fillets,,
25,6583290,50 mins,30 mins, 1 hr 20 mins,5 ,5,336,11g,2g,82mg,147mg,27g,7g,10g,36g,8mg,48mg,2mg,795mg,4.0,153,4 to 6 servings,,
26,6580886,10 mins,20 mins,30 mins,4 ,4,177,14g,2g,,327mg,13g,2g,3g,1g,2mg,21mg,1mg,228mg,4.7,18,,,
