,id_recipe,name,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Cholesterol,Vitamin C,Rise Time:
46,6590784,Neapolitan-Style Pizza Dough with Garlic and Italian Seasonings,30 mins,5 mins, 1 hr 10 mins, 1 hr 45 mins,12 ,2 (12-inch) crusts,12,139,3g,0g,244mg,25g,1g,,3g,13mg,2mg,53mg,4.0,30,,0mg,
47,6599492,Pizza Oven Dough,15 mins,, 10 hrs, 10 hrs 15 mins,8 ,2 thin-crust pizzas,8,19,2g,0g,437mg,1g,0g,1g,0g,2mg,0mg,15mg,4.8,12,,,
48,6587062,Thin-Crust Fathead Pizza Dough,20 mins,10 mins,,30 mins,6 ,6 slices,6,212,16g,4g,255mg,7g,3g,1g,13g,255mg,0mg,62mg,5.0,5,49mg,,
49,6570831,Pizza Crust for Bread Machine,,,,,12 ,1 large pizza crust,12,86,1g,0g,195mg,16g,1g,0g,2g,4mg,1mg,36mg,4.7,144,,,
50,6596453,Basic Pizza Dough,30 mins,20 mins, 1 hr 50 mins, 2 hrs 40 mins,16 ,2 12-inch pizza crusts,16,104,2g,0g,121mg,18g,1g,1g,3g,4mg,1mg,33mg,3.8,6,,,
51,6573354,Ricardo's Pizza Crust,15 mins,15 mins,45 mins, 1 hr 15 mins,10 ,1 to 16 - inch crust,10,178,5g,1g,235mg,29g,1g,4g,5g,10mg,2mg,58mg,4.7,268,,0mg,
52,6601861,Four-Cheese Fathead Pizza Dough,10 mins,11 mins,20 mins,41 mins,2 ,2 servings,2,607,47g,16g,670mg,14g,5g,3g,36g,685mg,1mg,154mg,5.0,4,169mg,0mg,
53,6594475,Keto Pizza Crust,10 mins,30 mins,30 mins, 1 hr 10 mins,2 ,2 servings,2,264,13g,6g,965mg,18g,8g,8g,23g,431mg,3mg,1021mg,4.5,2,213mg,135mg,
54,6594945,Garlic Lover's Pizza Crust for the Bread Machine,10 mins,20 mins,35 mins, 1 hr 5 mins,8 ,1 14-inch pizza crust,8,37,3g,1g,147mg,1g,0g,1g,1g,4mg,0mg,25mg,4.4,190,,0mg,
55,6561594,Pizza Crust I,10 mins,20 mins, 2 hrs 10 mins, 2 hrs 40 mins,15 ,1 large pizza crust,15,96,2g,0g,117mg,17g,1g,1g,2g,4mg,1mg,33mg,4.6,202,,,
56,6569406,Italian Pizza Crust in Bread Machine,10 mins,, 1 hr 40 mins, 1 hr 50 mins,8 ,1 pizza crust,8,163,4g,1g,294mg,28g,5g,1g,6g,23mg,2mg,181mg,3.8,5,,0mg,
57,6571290,Keto Fathead Pizza with Chorizo and Salsa,15 mins,20 mins,,35 mins,2 ,2 servings,2,823,65g,24g,1902mg,17g,6g,4g,47g,689mg,2mg,373mg,5.0,4,207mg,2mg,
58,6572972,Sicilian Pizza Crust,10 mins,, 1 hr 13 mins, 1 hr 23 mins,4 ,1 15-inch pizza crust,4,408,7g,2g,877mg,74g,3g,1g,10g,23mg,5mg,142mg,5.0,1,,0mg,
59,6563568,Whole Wheat Pizza Dough Secret Family Recipe,10 mins,,25 mins,35 mins,8 ,8 servings,8,231,8g,1g,438mg,37g,6g,1g,7g,2mg,3mg,241mg,4.5,28,,,
