,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Chill Time:,Freeze Time:,Stand Time:
0,6575996,15 mins,10 mins,15 mins,40 mins,16 ,3 cups,16,180,13g,8g,38mg,21mg,14g,1g,12g,1g,3mg,50mg,0mg,40mg,4.4,156,,,
1,6650642,10 mins,,,10 mins,2 ,2 servings,2,373,38g,24g,128mg,227mg,7g,2g,1g,5g,0mg,79mg,1mg,234mg,4.8,147,,,
2,6648758,10 mins,,, 1 hr 10 mins,4 ,,4,545,26g,16g,148mg,172mg,81g,0g,,3g,,,,72mg,5.0,2, 1 hr,,
3,6570252,10 mins,,,10 mins,6 ,6 servings,6,83,8g,5g,27mg,34mg,4g,1g,3g,1g,0mg,15mg,0mg,43mg,4.4,19,,,
4,6570535,15 mins,,30 mins,45 mins,6 ,6 parfaits,6,223,15g,9g,54mg,17mg,25g,3g,17g,2g,47mg,63mg,1mg,127mg,4.7,71,,,
5,6601404,10 mins,10 mins, 4 hrs 15 mins, 4 hrs 35 mins,6 ,6 servings,6,488,44g,27g,163mg,48mg,21g,0g,18g,4g,4mg,82mg,0mg,94mg,4.9,7,,,
6,6739527,20 mins,5 mins, 4 hrs, 4 hrs 25 mins,4 ,4 servings,4,297,25g,15g,156mg,89mg,20g,1g,17g,3g,0mg,42mg,1mg,125mg,4.7,97,,,
7,6649510,15 mins, 1 hr,, 1 hr 15 mins,6 ,6 servings,6,515,35g,22g,131mg,120mg,45g,3g,41g,7g,9mg,240mg,1mg,385mg,4.3,41,,,
8,6602855,10 mins,5 mins, 3 hrs 5 mins, 3 hrs 20 mins,4 ,4 servings,4,511,46g,28g,122mg,39mg,29g,3g,23g,4g,1mg,72mg,1mg,228mg,5.0,2,,,
9,6664328,45 mins,1 mins, 4 hrs, 4 hrs 46 mins,12 ,1 9-inch cake,12,404,31g,19g,76mg,100mg,34g,3g,23g,3g,35mg,55mg,2mg,251mg,4.8,156,,,
10,6737662,30 mins, 6 hrs,, 6 hrs 30 mins,24 ,1 - 9x13 inch dish,24,159,9g,5g,24mg,37mg,19g,1g,14g,2g,8mg,17mg,0mg,57mg,4.5,83,,,
11,6586821,15 mins,, 2 hrs, 2 hrs 15 mins,7 ,,7,156,10g,5g,106mg,88mg,15g,1g,13g,5g,,23mg,1mg,126mg,4.3,124,,,
12,6739654,20 mins,10 mins, 6 hrs, 6 hrs 30 mins,10 ,10 servings,10,145,9g,2g,99mg,54mg,12g,1g,10g,5g,2mg,15mg,1mg,42mg,4.1,14,,,
13,6587625,20 mins,5 mins, 2 hrs 30 mins, 2 hrs 55 mins,4 ,,4,512,39g,24g,143mg,43mg,39g,9g,21g,5g,40mg,98mg,1mg,303mg,4.9,8,,,
14,6598946,10 mins,5 mins, 1 hr, 1 hr 15 mins,4 ,,4,319,32g,18g,80mg,34mg,7g,1g,6g,5g,,88mg,0mg,46mg,4.7,22,,,
15,6592679,5 mins,1 mins,,6 mins,1 ,1 serving,1,395,30g,11g,11mg,185mg,28g,4g,21g,12g,,23mg,2mg,315mg,4.2,19,,,
16,6588156,5 mins,10 mins, 2 hrs 30 mins, 2 hrs 45 mins,10 ,10 servings,10,176,10g,6g,37mg,37mg,21g,1g,15g,1g,0mg,34mg,0mg,39mg,4.6,46,,,
17,6583706,15 mins,, 3 hrs, 3 hrs 15 mins,4 ,,4,232,22g,14g,82mg,23mg,9g,1g,6g,1g,12mg,43mg,0mg,109mg,4.5,4,,,
18,6569633,15 mins,5 mins,,20 mins,4 ,4 servings,4,458,37g,22g,223mg,81mg,23g,2g,17g,8g,0mg,70mg,1mg,221mg,4.4,39,,,
19,6737865,5 mins,10 mins, 2 hrs 30 mins, 2 hrs 45 mins,4 ,4 servings,4,381,31g,18g,180mg,33mg,23g,0g,5g,4g,0mg,58mg,1mg,131mg,4.6,22,,,
20,6601141,15 mins,5 mins, 3 hrs 45 mins, 4 hrs 5 mins,5 ,,5,148,2g,1g,7mg,30mg,31g,1g,29g,3g,10mg,72mg,0mg,188mg,4.4,15,,,
21,6602083,15 mins,5 mins,45 mins, 1 hr 5 mins,8 ,8 small dishes,8,208,12g,7g,41mg,34mg,27g,1g,17g,1g,2mg,22mg,0mg,90mg,5.0,2,,,
22,6601381,20 mins,5 mins, 4 hrs, 4 hrs 25 mins,4 ,4 servings,4,250,19g,11g,,,29g,6g,3g,3g,,,,0mg,4.5,6,,,
23,6587763,10 mins,30 mins,,40 mins,5 ,2 1/2 cups,5,422,23g,14g,86mg,104mg,50g,,48g,6g,2mg,205mg,0mg,263mg,4.5,22,,,
24,6600215,10 mins,5 mins,,15 mins,6 ,6 servings,6,230,10g,6g,24mg,99mg,29g,0g,16g,9g,0mg,211mg,1mg,147mg,4.0,1,,,
25,6579841,45 mins,, 1 hr, 1 hr 45 mins,10 ,10 servings,10,274,21g,12g,185mg,57mg,15g,2g,12g,6g,0mg,37mg,0mg,148mg,4.2,78,,,
26,6572531,15 mins,5 mins, 1 hr 20 mins, 1 hr 40 mins,6 ,6 servings,6,407,35g,21g,82mg,28mg,28g,3g,23g,3g,0mg,53mg,1mg,198mg,3.0,1,,,
27,6605079,20 mins,,,20 mins,6 ,6 servings,6,310,26g,16g,91mg,105mg,19g,2g,15g,3g,0mg,41mg,1mg,113mg,4.8,4,,,
28,6598379,15 mins,,,15 mins,8 ,8 servings,8,420,18g,17g,17mg,65mg,53g,0g,41g,4g,32mg,147mg,0mg,296mg,4.1,25,,,
29,6585657,15 mins,5 mins, 6 hrs, 6 hrs 20 mins,8 ,8 servings,8,289,16g,9g,125mg,118mg,35g,0g,21g,4g,,20mg,1mg,101mg,3.0,1,,,
30,6598621,10 mins,5 mins, 2 hrs, 2 hrs 15 mins,8 ,8 servings,8,161,13g,8g,94mg,30mg,10g,,8g,2g,1mg,67mg,0mg,82mg,,,,,
31,6583907,30 mins,, 1 hr, 1 hr 30 mins,12 ,12 servings,12,452,32g,20g,109mg,217mg,38g,2g,29g,7g,31mg,173mg,1mg,267mg,4.4,5,,,
32,6588575,15 mins,,,15 mins,6 ,6 servings,6,425,30g,19g,133mg,151mg,32g,1g,1g,4g,15mg,60mg,1mg,114mg,4.8,35,,,
33,6594899, 1 hr,, 8 hrs, 9 hrs,16 ,1 9-inch springform pan,16,326,20g,11g,103mg,125mg,34g,1g,15g,3g,5mg,34mg,1mg,79mg,4.8,12,,,
34,6592366,15 mins,, 1 hr, 1 hr 15 mins,8 ,8 servings,,,,,,,,,,,,,,,5.0,6,,,
35,6561842,5 mins,,30 mins,35 mins,6 ,6 servings,6,125,6g,5g,,112mg,19g,2g,16g,1g,2mg,19mg,1mg,88mg,,,,,
36,6593428,30 mins,20 mins, 3 hrs, 3 hrs 50 mins,6 ,6 servings,6,162,9g,5g,75mg,126mg,16g,1g,15g,6g,0mg,111mg,0mg,173mg,4.0,1,,,
37,6605076,,,,,12 ,12 servings,12,210,5g,4g,,4mg,43g,1g,35g,2g,13mg,32mg,1mg,505mg,4.0,25,,,
38,6578694,25 mins,1 mins, 4 hrs, 4 hrs 26 mins,6 ,6 servings,6,486,31g,17g,240mg,90mg,46g,2g,42g,9g,0mg,64mg,2mg,233mg,4.3,11,,,
39,6562999,15 mins,20 mins, 4 hrs, 4 hrs 35 mins,8 ,8 servings,8,220,10g,5g,95mg,53mg,31g,2g,27g,6g,2mg,67mg,2mg,267mg,,,,,
