,id_recipe,Prep Time:,Cook Time:,Stand Time:,Cool Time:,Chill Time:,Total Time:,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Servings:,Yield:,Servings Per Recipe,Additional Time:
0,7566683,15 mins,10 mins,45 mins,45 mins, 2 hrs, 3 hrs 55 mins,966,83g,12g,0mg,7606mg,55g,16g,23g,23g,215mg,326mg,8mg,3431mg,5.0,1,,,,
1,7484712,9 mins,1 mins,,,,10 mins,202,7g,1g,0mg,561mg,30g,9g,6g,8g,5mg,73mg,2mg,274mg,5.0,1,4 ,2 1/2 cups,4,
2,6834499,15 mins,,,,,15 mins,101,7g,1g,,10mg,10g,1g,,1g,,,,23mg,,,6 ,,6,
3,6740870,5 mins,,,,,5 mins,121,5g,1g,,501mg,17g,3g,0g,4g,5mg,27mg,1mg,133mg,4.7,261,4 ,,4,
4,6737289,15 mins,,,,,15 mins,54,3g,0g,,199mg,7g,1g,0g,2g,3mg,16mg,1mg,58mg,4.6,"1,222",20 ,2 1/2 cups,20,
5,6593743,15 mins,,,,,15 mins,120,8g,1g,,276mg,10g,2g,0g,3g,3mg,47mg,1mg,105mg,4.8,24,8 ,8 servings,8,
6,6604704,5 mins,,,,,5 mins,81,3g,0g,,427mg,10g,4g,0g,4g,3mg,27mg,1mg,186mg,4.7,743,8 ,,8,
7,6569924,15 mins,,,,,15 mins,50,3g,0g,,101mg,5g,1g,,2g,5mg,13mg,0mg,57mg,4.4,388,18 ,2 cups,18,
8,6604473,10 mins,,,,,10 mins,27,2g,0g,,29mg,3g,1g,,1g,2mg,11mg,0mg,29mg,4.6,81,32 ,2 cups,32,
9,6604833,10 mins,,,,,10 mins,153,8g,1g,,28mg,15g,4g,1g,6g,0mg,71mg,2mg,187mg,4.7,3,6 ,6 servings,6,
10,6594620,15 mins,,,,, 2 hrs 15 mins,81,3g,1g,,281mg,11g,3g,1g,3g,4mg,30mg,2mg,150mg,4.4,50,16 ,16 servings,16, 2 hrs
11,6575274,10 mins,,,,,10 mins,75,4g,1g,,191mg,9g,2g,0g,3g,4mg,39mg,1mg,102mg,4.5,281,8 ,8 servings,8,
