,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Additional Time:,Active Time:,Marinate Time:
0,7561932,Salmon Couscous Salad,20 mins,10 mins,30 mins,2 ,2,1013,81g,16g,113mg,1568mg,34g,5g,7g,40g,50mg,316mg,3mg,1044mg,5.0,1,,,,
1,7558696,Spicy Canned Salmon Salad Rice Bowl,15 mins,,15 mins,2 ,2,908,58g,10g,133mg,882mg,46g,15g,5g,54g,35mg,85mg,3mg,1975mg,5.0,1,,,,
2,7509518,Air Fryer Everything-Bagel Salmon Dinner,15 mins,20 mins,35 mins,2 ,2,589,32g,6g,109mg,2351mg,33g,8g,15g,43g,119mg,132mg,3mg,1428mg,4.0,1,,,,
3,6737311,Smoked Salmon Dill Eggs Benedict,10 mins,10 mins,20 mins,2 ,2,528,35g,18g,400mg,1298mg,27g,0g,1g,26g,5mg,171mg,3mg,259mg,4.7,51,2 servings,,,
4,6738395,Eggs Benedict with Salmon,30 mins,20 mins, 1 hr,8 ,8,223,9g,3g,271mg,617mg,18g,2g,3g,16g,2mg,105mg,2mg,236mg,4.6,61,,10 mins,,
5,7095434,Maple Mustard Salmon,10 mins,10 mins,20 mins,6 ,6,343,21g,4g,99mg,494mg,4g,0g,,34g,,,,619mg,5.0,5,,,,
6,7093937,Gochujang Glazed Salmon,5 mins,20 mins,25 mins,2 ,2,240,13g,3g,67mg,133mg,7g,0g,,23g,,,,445mg,4.0,1,,,,
7,6891710,TikTok Salmon Bowl,,,5 mins,1 ,1,645,33g,6g,57mg,113mg,62g,9g,,26g,,,,874mg,4.0,1,1 salmon bowl,,5 mins,
8,6826939,Mediterranean Grilled Salmon Kabobs,30 mins,15 mins, 1 hr,8 ,8,174,22g,3g,41mg,139mg,6g,1g,,14g,,,,370mg,,,8 kabobs,,,15 mins
9,6648351,Grilled Salmon,10 mins,15 mins, 2 hrs 25 mins,6 ,6,318,20g,3g,56mg,1092mg,13g,0g,12g,21g,3mg,27mg,1mg,389mg,4.8,"5,577",, 2 hrs,,
10,6650121,Maple Salmon,10 mins,20 mins, 1 hr,4 ,4,265,12g,3g,67mg,633mg,14g,0g,12g,23g,5mg,30mg,1mg,473mg,4.7,"5,742",,30 mins,,
11,6737749,Cedar Planked Salmon,15 mins,20 mins,35 mins,6 ,6,678,46g,9g,179mg,981mg,2g,0g,0g,61g,13mg,43mg,1mg,1144mg,4.8,859,,,,
12,6738840,Easy 5-Ingredient Salmon,5 mins,10 mins,15 mins,4 ,4,304,16g,6g,90mg,402mg,3g,1g,1g,37g,12mg,88mg,1mg,665mg,4.7,646,,,,
13,6664504,Best Salmon Bake,15 mins,20 mins,35 mins,2 ,2,386,22g,5g,112mg,407mg,5g,2g,2g,40g,19mg,59mg,1mg,894mg,4.5,43,,,,
14,6648950,Baked Salmon Fillets Dijon,10 mins,15 mins,25 mins,4 ,4,331,22g,9g,107mg,553mg,8g,0g,0g,25g,0mg,23mg,1mg,348mg,4.6,"1,528",,,,
15,6650605,The Best Smoked Salmon Spread,15 mins,,15 mins,10 ,10,120,11g,7g,37mg,312mg,1g,0g,0g,5g,1mg,26mg,1mg,68mg,4.7,161,,,,
16,6738124,Scrumptious Salmon Cakes,15 mins,10 mins,25 mins,8 ,8,263,12g,3g,95mg,782mg,11g,0g,2g,28g,7mg,273mg,2mg,409mg,4.6,528,8 salmon cakes,,,
17,6648740,Chef John's Fresh Salmon Cakes,20 mins,15 mins, 1 hr 35 mins,4 ,4,460,34g,5g,102mg,337mg,9g,0g,1g,32g,7mg,17mg,1mg,459mg,4.8,368,4 salmon cakes, 1 hr,,
18,6664221,Blackened Salmon Fillets,15 mins,10 mins,25 mins,4 ,4,511,38g,17g,166mg,1248mg,5g,2g,1g,37g,4mg,38mg,2mg,802mg,4.7,"1,188",,,,
19,6578162,Salmon Chowder,15 mins,30 mins,45 mins,8 ,8,490,26g,13g,104mg,1140mg,27g,2g,9g,39g,8mg,596mg,2mg,779mg,4.7,868,,,,
20,6649725,Baked Salmon in Foil,20 mins,20 mins,40 mins,6 ,6,429,26g,5g,96mg,131mg,6g,1g,2g,42g,24mg,109mg,2mg,827mg,4.5,43,,,,
21,6664281,Parchment Baked Salmon,15 mins,25 mins,40 mins,2 ,2,175,7g,1g,50mg,48mg,6g,3g,,25g,45mg,84mg,1mg,495mg,4.5,90,,,,
22,7968978,Bourbon Teriyaki Salmon Rice Bowl,15 mins,16 mins,31 mins,2 ,2,996,43g,7g,107mg,4254mg,86g,8g,25g,51g,128mg,183mg,6mg,1503mg,,,,,,
23,7644799,Salmon Stir-Fry,20 mins,10 mins,30 mins,4 ,4,372,22g,4g,72mg,300mg,16g,3g,6g,28g,136mg,58mg,1mg,786mg,,,,,,
24,6572021,Salmon en Croûte,15 mins, 1 hr, 1 hr 15 mins,4 ,4,1206,86g,18g,132mg,653mg,61g,3g,2g,48g,9mg,98mg,5mg,835mg,4.6,9,,,,
25,6649334,Salmon with Lemon and Dill,10 mins,25 mins,35 mins,4 ,4,320,22g,9g,104mg,197mg,2g,0g,1g,26g,12mg,41mg,2mg,511mg,4.6,838,,,,
26,6663541,Baked Salmon,15 mins,35 mins, 1 hr 50 mins,2 ,2,613,52g,8g,75mg,1235mg,3g,1g,0g,36g,9mg,89mg,2mg,665mg,4.7,"3,305",, 1 hr,,
27,6740948,Melt-in-Your-Mouth Broiled Salmon,30 mins,15 mins,45 mins,4 ,4,531,40g,18g,136mg,772mg,4g,1g,1g,36g,8mg,95mg,2mg,727mg,4.5,245,,,,
28,6663471,Baked Dijon Salmon,15 mins,15 mins,30 mins,4 ,4,422,29g,10g,97mg,480mg,18g,2g,7g,24g,27mg,53mg,1mg,500mg,4.6,"3,679",,,,
29,6648399,Lemon Rosemary Salmon,10 mins,20 mins,30 mins,2 ,2,257,18g,3g,56mg,1017mg,6g,3g,,21g,45mg,51mg,1mg,431mg,4.5,453,,,,
30,6648969,Balsamic-Glazed Salmon Fillets,10 mins,20 mins,30 mins,6 ,6,288,16g,3g,84mg,171mg,7g,,5g,29g,7mg,28mg,1mg,540mg,4.3,"1,595",,,,
31,6737284,Pan-Seared Salmon,10 mins,10 mins,20 mins,4 ,4,371,25g,5g,99mg,300mg,2g,1g,,34g,17mg,31mg,1mg,630mg,4.5,262,,,,
32,6575343,Salmon Loaf,5 mins,45 mins,50 mins,4 ,4,293,16g,6g,110mg,536mg,8g,0g,2g,28g,0mg,278mg,1mg,375mg,4.3,198,1 loaf,,,
33,6648232,Sweet Glazed Salmon,15 mins,5 mins, 1 hr 20 mins,4 ,4,299,14g,3g,75mg,1082mg,5g,1g,2g,37g,12mg,74mg,3mg,661mg,4.6,48,4 fillets, 1 hr,,
34,6602758,Breaded Pan-Fried Salmon,15 mins,20 mins,35 mins,6 ,6,380,11g,2g,144mg,1619mg,36g,2g,1g,31g,1mg,68mg,3mg,517mg,4.8,6,6 fillets,,,
35,6591323,Easy Salmon Dip,10 mins,,10 mins,6 ,6,288,22g,12g,80mg,466mg,3g,0g,0g,20g,3mg,208mg,1mg,283mg,4.2,24,,,,
36,6663617,Teriyaki Salmon,10 mins,15 mins, 1 hr 25 mins,4 ,4,411,26g,5g,83mg,973mg,10g,1g,7g,34g,9mg,50mg,1mg,684mg,4.6,193,, 1 hr,,
37,6650810,Pistachio-Crusted Salmon,10 mins,15 mins,25 mins,4 ,4,459,32g,7g,108mg,322mg,7g,2g,1g,36g,17mg,52mg,1mg,713mg,4.8,59,,,,
38,6737400,Creamy Smoked Salmon Pasta,15 mins,15 mins,30 mins,8 ,8,398,14g,7g,40mg,520mg,50g,3g,7g,20g,4mg,181mg,3mg,333mg,4.2,246,,,,
39,6573777,Dry-Brined Smoked Salmon,15 mins, 2 hrs, 10 hrs 30 mins,12 ,12,296,4g,1g,49mg,7653mg,45g,,45g,21g,1mg,65mg,1mg,429mg,3.7,6,3 pounds, 8 hrs 15 mins,,
40,6664002,Super Easy Salmon Cakes,15 mins,10 mins,25 mins,4 ,4,281,12g,2g,68mg,570mg,26g,1g,0g,16g,1mg,144mg,3mg,233mg,4.0,120,,,,
41,6737113,Salmon with Brown Sugar Glaze,5 mins,10 mins,15 mins,4 ,4,330,16g,3g,83mg,310mg,15g,,13g,29g,5mg,31mg,1mg,521mg,4.6,"1,006",,,,
42,6584554,Instant Pot Frozen Salmon,5 mins,5 mins,15 mins,2 ,2,172,7g,1g,51mg,131mg,3g,0g,1g,25g,15mg,47mg,1mg,446mg,4.2,39,,5 mins,,
43,6649636,Mediterranean Salmon,5 mins,10 mins,25 mins,4 ,4,391,35g,5g,42mg,725mg,4g,0g,2g,15g,4mg,23mg,1mg,288mg,4.5,265,,10 mins,,
44,6584730,Salmon Patties with Dill Sauce,15 mins,10 mins,25 mins,2 ,2,376,20g,5g,136mg,1010mg,24g,2g,3g,25g,3mg,263mg,6mg,371mg,4.6,66,,,,
45,6582507,Air Fryer Salmon for One,5 mins,15 mins,20 mins,1 ,1,189,6g,1g,72mg,1478mg,2g,0g,,31g,2mg,80mg,1mg,623mg,5.0,6,1 salmon fillet,,,
46,6563262,Remoulade Sauce à la New Orleans,20 mins,,20 mins,6 ,6,359,37g,5g,14mg,943mg,7g,1g,3g,1g,10mg,21mg,1mg,115mg,4.7,268,,,,
47,6572922,Air Fryer Salmon from Frozen,10 mins,15 mins,25 mins,4 ,4,216,6g,1g,73mg,814mg,7g,0g,3g,31g,2mg,69mg,1mg,594mg,5.0,3,4 servings,,,
48,6664589,Quick Salmon Piccata,5 mins,20 mins,25 mins,4 ,4,283,18g,6g,54mg,326mg,9g,1g,1g,19g,15mg,46mg,1mg,356mg,4.9,54,,,,
49,6738075,Air Fryer Salmon Nuggets,20 mins,15 mins,35 mins,4 ,4,364,16g,4g,115mg,353mg,27g,1g,16g,26g,4mg,52mg,2mg,509mg,,,4 servings,,,
50,6601074,Air Fryer Salmon Croquettes,15 mins,15 mins,30 mins,3 ,3,506,32g,6g,131mg,965mg,23g,1g,2g,37g,2mg,322mg,2mg,471mg,4.8,20,6 salmon croquettes,,,
51,6577743,Cucumber Cups with Dill Cream and Smoked Salmon,30 mins,,45 mins,12 ,12,49,4g,2g,13mg,103mg,2g,0g,1g,3g,2mg,16mg,0mg,82mg,4.4,41,24 pieces,15 mins,,
52,6601484,Smoked Salmon Spread,5 mins,,5 mins,12 ,12,164,14g,9g,48mg,340mg,1g,,,8g,0mg,34mg,1mg,99mg,4.5,260,,,,
53,6649741,Lemon Panko-Crusted Salmon,10 mins,20 mins,30 mins,2 ,2,298,18g,7g,73mg,348mg,15g,0g,0g,23g,4mg,52mg,1mg,356mg,4.6,38,,,,
54,6664554,Homemade Lox,20 mins,,2 days 50 mins,8 ,8,120,3g,1g,24mg,5719mg,13g,,13g,10g,1mg,20mg,0mg,192mg,4.7,22,,2 days 30 mins,,
55,6650913,Hoisin-Glazed Salmon,10 mins,30 mins, 1 hr 10 mins,6 ,6,382,23g,4g,99mg,848mg,7g,1g,3g,35g,9mg,27mg,1mg,658mg,4.7,154,,30 mins,,
56,6583337,Salmon Quiche,20 mins,30 mins,50 mins,8 ,8,443,29g,13g,166mg,606mg,16g,1g,5g,29g,1mg,511mg,2mg,388mg,4.4,101,1 9-inch quiche,,,
57,6600594,Bite-Sized Salmon Tikka,10 mins,5 mins,30 mins,2 ,2,229,13g,2g,50mg,629mg,4g,1g,0g,25g,2mg,45mg,1mg,453mg,4.6,41,2 servings,15 mins,,
