,id_recipe,Prep Time:,Cook Time:,Chill Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Yield:,Total Sugars,Vitamin C,Calcium,Iron,Additional Time:
0,7112861,20 mins,5 mins, 1 hr, 1 hr 35 mins,4 ,4,448,20g,12g,101mg,862mg,56g,1g,9g,197mg,4.8,8,,,,,,
1,6664833,10 mins,15 mins,,25 mins,6 ,6,382,22g,4g,68mg,390mg,38g,1g,9g,175mg,4.5,"5,288",6 waffles,6g,0mg,231mg,3mg,
2,6650318,10 mins,15 mins,,25 mins,5 ,5,379,16g,9g,113mg,899mg,48g,1g,10g,196mg,4.5,"3,973",10 to 12 waffles,9g,0mg,267mg,3mg,
3,6575510,30 mins,15 mins,,45 mins,6 ,6,530,17g,10g,161mg,703mg,82g,4g,13g,348mg,4.6,363,,36g,3mg,296mg,4mg,
4,6650257,15 mins,10 mins,,25 mins,6 ,6,318,13g,8g,92mg,749mg,41g,1g,9g,195mg,4.7,466,,8g,1mg,203mg,3mg,
5,6593124,10 mins,15 mins,,25 mins,10 ,10,226,8g,4g,54mg,290mg,36g,1g,4g,97mg,4.3,223,10 waffles,21g,,101mg,1mg,
6,6739681,10 mins,15 mins,,25 mins,4 ,4,217,9g,5g,110mg,540mg,28g,2g,7g,407mg,4.6,117,,3g,9mg,52mg,1mg,
7,6574474,15 mins,25 mins,, 4 hrs 40 mins,8 ,8,291,14g,2g,0mg,653mg,36g,2g,5g,99mg,4.9,175,8 to 10 waffles,,0mg,22mg,2mg, 4 hrs
8,6649519,10 mins,15 mins,,30 mins,4 ,4,299,11g,3g,75mg,365mg,41g,1g,9g,55mg,4.7,95,4 slices,,,38mg,0mg,5 mins
9,6604223,5 mins,10 mins,,20 mins,2 ,2,132,9g,4g,111mg,271mg,2g,0g,11g,57mg,4.6,36,2 4-inch chaffles,1g,,268mg,1mg,5 mins
10,6595589,15 mins,20 mins,, 1 hr 20 mins,10 ,10,458,21g,12g,106mg,277mg,62g,1g,7g,109mg,4.7,160,10 waffles,3g,,41mg,2mg,45 mins
11,6741592,10 mins,30 mins,,40 mins,6 ,6,214,14g,2g,124mg,284mg,16g,2g,9g,53mg,4.0,123,,13g,0mg,19mg,1mg,
12,6739074,10 mins,30 mins,,40 mins,4 ,4,241,3g,1g,50mg,606mg,47g,3g,8g,363mg,4.1,185,,11g,5mg,238mg,3mg,
13,6569500,5 mins,10 mins,,15 mins,2 ,2,108,7g,4g,111mg,210mg,1g,,10g,57mg,4.8,12,2 chaffles,1g,,234mg,1mg,
14,6580025,15 mins,15 mins,,30 mins,18 ,18,154,7g,1g,2mg,159mg,21g,1g,3g,67mg,4.7,131,18 small square waffles,10g,0mg,99mg,1mg,
15,6739318,15 mins,5 mins,,20 mins,6 ,6,794,42g,26g,171mg,1097mg,98g,2g,10g,230mg,4.6,48,,64g,0mg,323mg,3mg,
16,6590703,10 mins,30 mins,,40 mins,6 ,6,362,12g,7g,89mg,641mg,53g,1g,10g,266mg,4.6,20,6 servings,16g,15mg,326mg,4mg,
17,6575398,10 mins,20 mins,, 1 hr 10 mins,6 ,6,445,19g,11g,116mg,1279mg,57g,2g,11g,224mg,4.4,303,6 servings,15g,0mg,302mg,3mg,40 mins
18,6604061,15 mins,20 mins,,35 mins,6 ,6,414,19g,11g,108mg,839mg,50g,2g,12g,238mg,4.5,13,6 servings,9g,13mg,300mg,3mg,
19,6591221,15 mins,30 mins,,45 mins,6 ,6,511,30g,9g,135mg,1044mg,41g,1g,20g,245mg,4.5,17,6 servings,8g,1mg,447mg,3mg,
20,6739650,10 mins,5 mins,,15 mins,6 ,6,288,16g,2g,63mg,394mg,28g,5g,10g,313mg,4.8,891,6 servings,7g,0mg,268mg,2mg,
21,6569226,5 mins,15 mins,,20 mins,4 ,4,492,25g,5g,100mg,579mg,53g,2g,13g,238mg,4.4,499,4 servings,5g,0mg,329mg,4mg,
22,6739176,5 mins,10 mins,,15 mins,4 ,4,410,12g,4g,103mg,848mg,60g,2g,14g,284mg,4.3,500,4 servings,12g,0mg,266mg,4mg,
23,6577821,10 mins,20 mins,,30 mins,4 ,4,537,24g,14g,199mg,1205mg,65g,2g,15g,314mg,5.0,7,4 waffles,11g,2mg,259mg,4mg,
24,6584194,10 mins,20 mins,,30 mins,6 ,6,370,21g,7g,186mg,172mg,36g,5g,15g,518mg,4.3,18,6 waffles,17g,5mg,50mg,3mg,
25,6587577,15 mins,20 mins,,35 mins,8 ,8,147,4g,1g,23mg,363mg,24g,5g,5g,189mg,4.9,70,,5g,1mg,215mg,2mg,
26,6650615,25 mins,15 mins,,40 mins,4 ,4,1096,60g,34g,299mg,961mg,128g,4g,15g,678mg,4.6,91,4 waffles,72g,8mg,349mg,4mg,
27,6594004,10 mins,5 mins,,15 mins,3 ,3,254,9g,4g,135mg,408mg,23g,3g,21g,264mg,4.7,63,3 waffles,3g,,83mg,2mg,
28,6583233,15 mins,30 mins,,45 mins,8 ,8,198,6g,3g,58mg,478mg,30g,4g,8g,261mg,4.3,29,,6g,3mg,152mg,2mg,
29,6600271,10 mins,10 mins,,20 mins,5 ,5,278,19g,4g,80mg,815mg,23g,2g,8g,264mg,4.8,33,5 servings,6g,0mg,259mg,2mg,
30,6602577,10 mins,20 mins,,30 mins,4 ,4,316,12g,7g,73mg,748mg,44g,2g,9g,231mg,4.4,20,,5g,1mg,187mg,3mg,
31,6576661,10 mins,30 mins,,40 mins,6 ,6,790,46g,11g,154mg,1238mg,76g,2g,18g,375mg,4.4,75,6 waffles,28g,1mg,260mg,4mg,
32,6605523,10 mins,15 mins,, 8 hrs 45 mins,6 ,6,434,19g,11g,109mg,661mg,53g,2g,12g,239mg,4.6,153,,5g,0mg,120mg,3mg, 8 hrs 20 mins
33,6593427,20 mins,20 mins,,40 mins,5 ,5,288,10g,5g,95mg,130mg,42g,1g,8g,144mg,4.8,24,5 waffles,13g,1mg,76mg,2mg,
34,6578987,15 mins,5 mins,,20 mins,8 ,8,327,12g,7g,118mg,618mg,45g,2g,10g,252mg,4.8,44,,13g,2mg,191mg,3mg,
35,6597061,10 mins,20 mins,,30 mins,4 ,4,501,29g,8g,124mg,908mg,47g,1g,13g,296mg,4.5,57,4 waffles,16g,1mg,322mg,3mg,
36,6594567,15 mins,5 mins,,23 mins,12 ,12,270,16g,10g,41mg,342mg,29g,0g,4g,78mg,5.0,1,12 cones,19g,,23mg,1mg,3 mins
37,6582722,15 mins,30 mins,,45 mins,4 ,4,345,10g,5g,108mg,858mg,52g,2g,12g,214mg,4.4,115,,3g,1mg,212mg,4mg,
38,6576076,15 mins,5 mins,,20 mins,8 ,8,51,3g,1g,47mg,60mg,4g,1g,2g,172mg,4.0,12,8 waffles,1g,10mg,23mg,0mg,
39,6595433,10 mins,20 mins,,30 mins,4 ,4,374,15g,5g,102mg,976mg,48g,1g,12g,246mg,4.4,177,4 waffles,12g,0mg,320mg,3mg,
40,6588223,15 mins,15 mins,,30 mins,6 ,6,424,22g,4g,61mg,687mg,45g,2g,9g,204mg,3.9,12,6 servings,11g,0mg,259mg,3mg,
41,6568771,10 mins,25 mins,, 1 hr 5 mins,6 ,6,367,12g,6g,119mg,430mg,55g,2g,10g,265mg,4.6,127,6 waffles,19g,16mg,212mg,3mg,30 mins
42,6597010,5 mins,5 mins,,10 mins,8 ,8,338,23g,6g,,153mg,28g,1g,5g,37mg,4.7,31,,1g,,6mg,2mg,
43,6597992,10 mins,30 mins,,40 mins,10 ,10,161,11g,7g,41mg,70mg,13g,0g,2g,39mg,3.7,3,10 mini waffles,0g,0mg,22mg,1mg,
44,6581654,10 mins,20 mins,,30 mins,4 ,4,1184,81g,19g,185mg,701mg,97g,7g,23g,527mg,4.6,27,4 servings,21g,2mg,352mg,7mg,
45,6592871,10 mins,15 mins,,25 mins,4 ,4,506,23g,13g,158mg,740mg,61g,2g,14g,298mg,4.7,270,4 waffles,13g,4mg,309mg,4mg,
46,6569652,30 mins,15 mins,,45 mins,6 ,6,731,36g,22g,158mg,967mg,92g,2g,12g,309mg,4.0,12,,56g,17mg,340mg,3mg,
47,6601965,15 mins,5 mins,,20 mins,6 ,6,162,3g,1g,33mg,418mg,32g,1g,5g,116mg,4.5,39,6 (4 x 5-inch) waffles,3g,0mg,96mg,1mg,
48,6590399,10 mins,5 mins,,15 mins,8 ,8,188,11g,9g,27mg,295mg,19g,2g,5g,129mg,4.9,47,8 servings,5g,0mg,136mg,1mg,
49,6573002,15 mins,5 mins,,20 mins,4 ,4,141,8g,3g,94mg,325mg,22g,2g,6g,433mg,4.4,8,4 waffles,1g,8mg,76mg,2mg,
50,6651073,15 mins,10 mins,,35 mins,4 ,4,464,31g,20g,115mg,379mg,39g,2g,9g,226mg,4.4,43,4 servings,5g,15mg,140mg,3mg,10 mins
51,6599048,15 mins,15 mins,,30 mins,5 ,5,468,26g,9g,109mg,477mg,46g,3g,14g,292mg,5.0,4,5 waffles,10g,1mg,237mg,3mg,
52,6587866,15 mins,20 mins,,35 mins,6 ,6,382,22g,3g,67mg,374mg,39g,3g,9g,332mg,4.7,30,6 waffles,8g,3mg,226mg,2mg,
53,6602600,15 mins,10 mins,,25 mins,5 ,5,517,7g,4g,52mg,631mg,108g,3g,8g,413mg,4.1,22,5 servings,59g,5mg,372mg,4mg,
54,6598186,15 mins,5 mins,,20 mins,4 ,4,623,33g,3g,93mg,463mg,72g,2g,10g,191mg,5.0,2,4 waffles,3g,,192mg,2mg,
55,6585636,10 mins,40 mins,,50 mins,8 ,8,299,18g,11g,54mg,377mg,30g,1g,5g,106mg,5.0,4,8 servings,4g,0mg,97mg,2mg,
56,6583573,15 mins,20 mins,,35 mins,8 ,8,389,16g,9g,117mg,977mg,50g,3g,11g,247mg,4.6,28,8 servings,9g,1mg,321mg,3mg,
57,6562062,5 mins,10 mins,,15 mins,3 ,3,480,27g,8g,68mg,477mg,52g,2g,10g,243mg,4.8,5,3 servings,18g,0mg,285mg,3mg,
58,6602967,15 mins,5 mins,,20 mins,4 ,4,235,12g,6g,69mg,234mg,26g,3g,6g,170mg,4.3,11,4 to 6 round waffles,5g,,135mg,2mg,
59,6606036,15 mins,15 mins,, 8 hrs 30 mins,4 ,4,378,14g,8g,81mg,764mg,49g,2g,12g,334mg,5.0,10,4 waffles,9g,1mg,161mg,3mg, 8 hrs
60,6564263,5 mins,10 mins,,15 mins,3 ,3,411,24g,5g,131mg,763mg,40g,3g,12g,271mg,4.7,3,3 servings,8g,0mg,393mg,3mg,
