,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cool Time:,Yield:,Chill Time:,Freeze Time:,Stand Time:,Additional Time:,Refrigerate Time:,Bake Time:,Active Time:
0,7970804,25 mins, 1 hr 15 mins, 1 hr 40 mins,12 ,12,358,15g,5g,66mg,242mg,45g,0g,30g,7g,2mg,109mg,2mg,81mg,,,,,,,,,,,
1,7642173,30 mins,12 mins,52 mins,20 ,20,112,5g,2g,0mg,102mg,16g,1g,5g,1g,0mg,6mg,0mg,25mg,4.0,1,20 mins,20 cookies plus scraps,,,,,,,
2,7775410,15 mins,35 mins, 1 hr,16 ,16,284,15g,6g,44mg,198mg,34g,1g,20g,3g,0mg,54mg,1mg,109mg,,,10 mins,16 blondies,,,,,,,
3,7775443,30 mins,10 mins, 2 hrs 25 mins,40 ,40,109,6g,4g,25mg,74mg,13g,0g,8g,1g,0mg,9mg,0mg,19mg,,,,40 cookies, 1 hr 15 mins,30 mins,,,,,
4,7968770,5 mins,14 mins,19 mins,4 ,4,411,23g,14g,61mg,376mg,48g,1g,25g,3g,0mg,113mg,1mg,46mg,,,,,,,,,,,
5,7967888,40 mins, 1 hr 10 mins, 2 hrs 5 mins,12 ,12,621,26g,11g,20mg,399mg,92g,6g,42g,6g,18mg,70mg,3mg,523mg,,,15 mins,,,,,,,,
6,7963451,30 mins,45 mins, 1 hr 45 mins,8 ,8,287,13g,8g,77mg,240mg,38g,2g,24g,3g,3mg,53mg,1mg,116mg,4.9,16,30 mins,,,,,,,,
7,7852324,15 mins,20 mins, 5 hrs 35 mins,8 ,8,499,28g,17g,90mg,102mg,57g,6g,52g,9g,26mg,262mg,1mg,490mg,4.7,3,,, 1 hr, 4 hrs,,,,,
8,7693661,25 mins,35 mins, 1 hr,8 ,8,314,15g,6g,37mg,216mg,42g,3g,16g,4g,3mg,25mg,1mg,146mg,5.0,1,,1 pear galette,,,,,,,
9,7574346,15 mins,0 mins, 4 hrs 15 mins,6 ,6,133,0g,0g,0mg,3mg,12g,0g,12g,0g,3mg,2mg,0mg,22mg,5.0,1,,6 popsicles,, 4 hrs,,,,,
10,7570645,20 mins,45 mins, 1 hr 25 mins,16 ,16,167,7g,4g,38mg,124mg,25g,1g,13g,2g,3mg,16mg,1mg,92mg,,,20 mins,,,,,,,,
11,7566967,15 mins,2 mins, 4 hrs 17 mins,12 ,12,353,23g,8g,0mg,200mg,36g,3g,29g,8g,0mg,34mg,1mg,283mg,5.0,1,,,, 4 hrs,,,,,
12,7564661,10 mins,5 mins,45 mins,6 ,6,104,0g,0g,0mg,133mg,24g,1g,15g,1g,2mg,39mg,1mg,65mg,4.7,6,,,,,30 mins,,,,
