,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:
0,6738182,10 mins,15 mins,20 mins,45 mins,6 ,6,524,21g,6g,178mg,594mg,59g,3g,8g,26g,19mg,62mg,2mg,394mg,4.0,760,
1,6571239,30 mins,20 mins, 1 hr 10 mins, 2 hrs,4 ,4,397,23g,4g,41mg,1234mg,40g,5g,10g,13g,29mg,204mg,5mg,430mg,4.3,77,4 servings
2,6596180,30 mins,20 mins,,50 mins,4 ,4,619,28g,5g,120mg,1421mg,76g,7g,16g,22g,18mg,85mg,3mg,631mg,4.7,29,4 servings
3,6593015,20 mins,50 mins,, 1 hr 10 mins,4 ,4,441,24g,5g,83mg,887mg,22g,5g,6g,36g,52mg,70mg,3mg,661mg,4.7,219,4 servings
4,6583070,15 mins,20 mins,30 mins, 1 hr 5 mins,4 ,4,679,29g,4g,130mg,2614mg,76g,4g,18g,31g,6mg,63mg,3mg,505mg,5.0,3,
5,6649012,15 mins,15 mins,,30 mins,3 ,3,742,28g,5g,280mg,1591mg,83g,6g,11g,41g,39mg,127mg,6mg,758mg,4.0,202,
6,6598954,15 mins,15 mins,,30 mins,4 ,4,554,28g,5g,186mg,1421mg,62g,7g,15g,18g,27mg,115mg,3mg,767mg,3.9,144,
7,6736588,30 mins,30 mins,, 1 hr,8 ,8,370,17g,4g,88mg,648mg,36g,5g,3g,21g,8mg,58mg,3mg,542mg,4.6,79,8 servings
8,6561980,20 mins,20 mins,,40 mins,4 ,4,519,20g,4g,97mg,602mg,39g,3g,8g,44g,6mg,53mg,2mg,581mg,5.0,1,4 servings
9,6580757,20 mins,8 mins,10 mins,38 mins,4 ,4,807,35g,6g,186mg,1244mg,109g,6g,30g,17g,14mg,104mg,4mg,586mg,4.8,13,4 main dish servings
10,6582762,20 mins,15 mins,10 mins,45 mins,4 ,4,452,17g,3g,47mg,1579mg,61g,3g,8g,14g,4mg,340mg,8mg,211mg,4.2,5,4 main-dish servings
11,6606172,15 mins,15 mins,,30 mins,4 ,4,553,18g,3g,104mg,1298mg,70g,4g,15g,30g,52mg,78mg,4mg,532mg,3.7,31,4 servings
12,6598942,45 mins,12 mins,,57 mins,4 ,4,370,15g,3g,222mg,671mg,28g,5g,13g,36g,56mg,121mg,5mg,1141mg,4.6,28,4 servings
13,6574203,30 mins,15 mins,10 mins,55 mins,4 ,4,536,15g,3g,148mg,626mg,66g,3g,13g,36g,178mg,154mg,5mg,678mg,4.5,2,4 servings
14,6585677,30 mins,,,30 mins,4 ,4,452,29g,3g,,478mg,46g,12g,23g,14g,152mg,279mg,4mg,1310mg,4.6,53,4 servings
15,6575480,10 mins,20 mins,10 mins,40 mins,8 ,8,597,31g,5g,117mg,635mg,62g,4g,18g,21g,8mg,60mg,2mg,402mg,4.6,22,8 servings
16,6577599,20 mins,30 mins,,50 mins,5 ,5,585,11g,3g,201mg,1791mg,90g,3g,32g,29g,4mg,69mg,2mg,399mg,4.4,59,5 servings
17,6592784,20 mins,20 mins, 1 hr, 1 hr 40 mins,8 ,8,830,39g,8g,95mg,999mg,104g,7g,44g,24g,17mg,137mg,3mg,745mg,3.9,93,8 servings
18,6605005,25 mins,10 mins,25 mins, 1 hr,6 ,6,450,22g,4g,92mg,712mg,53g,3g,8g,14g,13mg,133mg,3mg,404mg,4.3,19,6 servings
19,6596980,10 mins,15 mins,,25 mins,4 ,4,363,22g,4g,93mg,1023mg,32g,6g,17g,17g,20mg,330mg,7mg,428mg,4.8,5,4 servings
20,6606210,10 mins,20 mins,5 mins,35 mins,4 ,4,571,24g,3g,266mg,1013mg,61g,4g,7g,30g,18mg,120mg,5mg,605mg,,,4 servings
