,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:
0,6650777,25 mins,20 mins,15 mins, 1 hr,6 ,6,263,16g,8g,102mg,357mg,17g,1g,3g,13g,65mg,312mg,2mg,217mg,4.7,295,
1,6649851,15 mins,45 mins,, 1 hr,6 ,6,387,28g,17g,140mg,1449mg,12g,1g,7g,24g,48mg,644mg,2mg,451mg,4.4,"1,171",1 9x13-inch casserole
2,6737295,30 mins,20 mins,,50 mins,4 ,4,741,42g,25g,171mg,1746mg,52g,3g,11g,39g,194mg,973mg,5mg,705mg,4.3,209,
3,6603807,30 mins,20 mins,,50 mins,4 ,4,808,71g,14g,195mg,270mg,20g,3g,4g,25g,44mg,264mg,3mg,464mg,4.4,166,4 stuffed peppers
4,6664734,45 mins, 1 hr,20 mins, 2 hrs 5 mins,4 ,4,424,23g,9g,91mg,1240mg,34g,5g,7g,21g,72mg,395mg,4mg,590mg,4.7,197,
5,6574210,10 mins,45 mins,,55 mins,8 ,8,564,42g,25g,211mg,1475mg,13g,1g,5g,35g,39mg,935mg,2mg,503mg,4.5,149,
6,6649673,20 mins,51 mins,10 mins, 1 hr 21 mins,10 ,10,325,23g,13g,80mg,695mg,9g,3g,2g,22g,44mg,297mg,2mg,386mg,4.4,31,
7,6598031,15 mins,50 mins,, 1 hr 5 mins,5 ,5,511,36g,17g,258mg,886mg,13g,1g,6g,33g,32mg,368mg,3mg,556mg,4.1,185,
8,6736994,30 mins,40 mins,, 1 hr 10 mins,8 ,8,318,22g,7g,52mg,1738mg,16g,2g,7g,16g,11mg,115mg,2mg,454mg,3.9,9,
9,6650064,15 mins,25 mins,15 mins,55 mins,4 ,4,466,28g,12g,275mg,1226mg,31g,7g,14g,23g,45mg,412mg,4mg,742mg,4.8,16,
10,6586464,15 mins,30 mins,,45 mins,8 ,8,361,22g,12g,70mg,1240mg,22g,3g,9g,20g,21mg,467mg,1mg,251mg,4.0,3,8 servings
11,6576998,15 mins,30 mins,,45 mins,6 ,6,619,39g,20g,96mg,1309mg,50g,4g,2g,19g,46mg,332mg,3mg,375mg,4.2,23,6 servings
12,6580681,40 mins,30 mins, 3 hrs 15 mins, 4 hrs 25 mins,12 ,12,647,54g,18g,109mg,721mg,22g,3g,5g,22g,37mg,248mg,2mg,505mg,,,12 peppers
