,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Additional Time:
32,6738844,Quick Tuna Casserole,5 mins,20 mins,25 mins,4 ,4,363,7g,2g,26mg,1062mg,46g,3g,8g,28g,5mg,94mg,4mg,504mg,4.4,285,4 servings,
33,6597227,Healthier Tuna Noodle Casserole,20 mins,50 mins, 1 hr 10 mins,4 ,4,544,22g,13g,72mg,1066mg,62g,9g,9g,28g,31mg,292mg,3mg,630mg,4.8,5,1 2-quart casserole,
34,6602776,Tuna and Rice Casserole,15 mins, 1 hr 30 mins, 1 hr 55 mins,6 ,6,307,7g,2g,23mg,835mg,43g,1g,,17g,8mg,123mg,3mg,381mg,,,1 2-quart casserole,10 mins
35,6587820,Curry Tuna and Rice Casserole,15 mins,30 mins,50 mins,4 ,4,362,11g,4g,159mg,754mg,38g,2g,6g,27g,2mg,159mg,4mg,452mg,4.2,15,4 servings,5 mins
36,6601904,Tuna Garden Casserole,30 mins,25 mins,55 mins,8 ,8,284,8g,3g,21mg,472mg,39g,4g,3g,14g,55mg,179mg,2mg,312mg,4.4,59,1 large casserole,
37,6564329,Microwave Tuna Casserole,15 mins,20 mins,35 mins,4 ,4,454,20g,10g,48mg,1054mg,50g,3g,9g,20g,6mg,113mg,4mg,467mg,,,4 servings,
38,6563885,Mom's Tuna Casserole with Ritz® Cracker Topping,15 mins,30 mins,45 mins,8 ,8,569,30g,10g,96mg,999mg,53g,3g,4g,24g,2mg,159mg,4mg,406mg,3.0,1,1 9x13-inch casserole,
39,6571877,Cheesy Tuna and Zucchini Noodle Casserole,25 mins,50 mins, 3 hrs 15 mins,8 ,8,314,21g,13g,75mg,313mg,10g,3g,4g,23g,17mg,203mg,2mg,380mg,,,8 servings, 2 hrs
40,6586126,Fern's Tuna Casserole,15 mins,40 mins,55 mins,4 ,4,334,15g,5g,49mg,760mg,33g,1g,5g,18g,2mg,157mg,3mg,451mg,4.5,38,4 servings,
41,6603626,Best Tuna Noodle Casserole from Scratch,20 mins,50 mins, 1 hr 10 mins,4 ,4,655,25g,15g,96mg,564mg,73g,4g,13g,36g,3mg,331mg,4mg,968mg,4.0,3,4 servings,
42,6574255,Tangy Tomato Tuna Casserole,15 mins,45 mins, 1 hr,6 ,6,434,16g,9g,60mg,1120mg,42g,3g,6g,30g,7mg,95mg,4mg,598mg,4.5,10,6 servings,
43,6563870,Dairy-Free Skillet Tuna Casserole,15 mins,15 mins,30 mins,4 ,4,424,8g,1g,9mg,208mg,67g,9g,10g,26g,31mg,104mg,5mg,553mg,,,4 servings,
44,6588225,Mediterranean-Style Skillet Tuna Casserole,25 mins,50 mins, 1 hr 15 mins,4 ,4,300,10g,3g,26mg,464mg,33g,3g,,22g,6mg,149mg,3mg,456mg,5.0,1,4 servings,
45,6564844,Dairy- and Gluten-Free Tuna Casserole,10 mins,20 mins,30 mins,6 ,6,239,3g,0g,19mg,496mg,33g,5g,1g,21g,7mg,38mg,2mg,364mg,,,6 servings,
46,6563579,Mom's Easy Tuna Casserole with Rice,20 mins,40 mins, 1 hr,4 ,4,440,21g,13g,70mg,712mg,41g,2g,6g,23g,9mg,362mg,2mg,430mg,,,4 servings,
47,6563360,Tuna Casserole III,10 mins,10 mins,25 mins,4 ,4,465,28g,8g,19mg,1208mg,34g,2g,2g,22g,9mg,36mg,3mg,1052mg,4.2,44,4 to 5 servings,5 mins
48,6562974,Spicy Gluten-Free Tuna Casserole,20 mins,45 mins, 1 hr 5 mins,6 ,6,424,16g,7g,55mg,531mg,43g,3g,6g,28g,31mg,249mg,2mg,480mg,,,6 servings,
49,6576684,Tuna Noodle Casserole with Potato Chips,,,,5 ,5,683,33g,18g,143mg,1543mg,61g,3g,5g,34g,3mg,464mg,4mg,517mg,4.3,220,4 to 6 servings,
