,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Chill Time:,Yield:,Additional Time:,Cool Time:
0,6648682,Authentic German Potato Salad,15 mins,25 mins,40 mins,4 ,4,183,4g,1g,10mg,796mg,32g,2g,11g,5g,10mg,16mg,1mg,426mg,4.7,"1,598",,,,
1,6663171,Old-Fashioned Potato Salad,15 mins,15 mins, 1 hr,8 ,8,206,8g,2g,72mg,335mg,31g,4g,6g,6g,28mg,37mg,2mg,647mg,4.5,"1,343",30 mins,8 servings,,
2,6736723,Light and Easy Greek Potato Salad,30 mins,25 mins, 1 hr 25 mins,8 ,8,105,7g,1g,,150mg,10g,1g,1g,1g,6mg,11mg,1mg,283mg,4.5,85,,,30 mins,
3,6650323,Authentic Russian Salad 'Olivye',30 mins,20 mins,50 mins,10 ,10,261,12g,3g,82mg,1307mg,31g,5g,4g,8g,33mg,43mg,2mg,757mg,4.9,17,,,,
4,6736755,Red-Skinned Potato Salad,20 mins,35 mins, 1 hr 55 mins,12 ,12,430,37g,7g,121mg,536mg,16g,1g,2g,10g,10mg,24mg,1mg,388mg,4.7,"2,411",,, 1 hr,
5,6650948,Hot German Potato Salad,10 mins,50 mins, 1 hr,12 ,12,205,7g,2g,10mg,512mg,33g,3g,4g,4g,11mg,17mg,1mg,518mg,4.6,983,,,,
6,7556905,Pitmaster Potato Salad,30 mins,15 mins, 5 hrs 15 mins,8 ,8,211,9g,1g,0mg,376mg,29g,3g,2g,4g,22mg,38mg,2mg,751mg,5.0,1, 4 hrs,,,30 mins
7,6739761,World's Best Potato Salad,15 mins,25 mins, 3 hrs 40 mins,6 ,6,555,46g,13g,315mg,790mg,27g,1g,21g,11g,3mg,121mg,2mg,321mg,4.5,861,,, 3 hrs,
8,6737118,Red Potato Salad,15 mins,10 mins, 3 hrs 25 mins,12 ,12,163,5g,2g,79mg,249mg,25g,2g,3g,5g,14mg,42mg,1mg,464mg,4.6,292,,, 3 hrs,
9,6664705,Potato Salad,20 mins,15 mins, 6 hrs 35 mins,20 ,20,339,28g,4g,54mg,538mg,20g,2g,2g,4g,11mg,25mg,1mg,571mg,4.7,267,,, 6 hrs,
10,6584920,Warm Dijon Potato Salad,15 mins,20 mins,35 mins,8 ,8,155,6g,1g,6mg,345mg,24g,3g,2g,3g,13mg,34mg,1mg,640mg,4.4,89,,,,
