,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:
0,6649850,20 mins,30 mins,50 mins,4 ,4 servings,4,421,21g,8g,128mg,348mg,16g,1g,1g,41g,20mg,38mg,2mg,388mg,4.5,"1,722",
1,6648444,10 mins,15 mins,25 mins,4 ,,4,321,18g,7g,88mg,224mg,8g,0g,1g,25g,10mg,23mg,1mg,259mg,4.7,"1,691",
2,6599922,20 mins,45 mins, 1 hr 5 mins,4 ,,4,543,23g,9g,95mg,385mg,43g,3g,2g,31g,10mg,30mg,3mg,403mg,4.4,180,
3,6596889,15 mins,10 mins,25 mins,4 ,4 servings,4,330,12g,4g,111mg,387mg,10g,1g,1g,39g,10mg,32mg,2mg,384mg,4.6,97,
4,6737332,20 mins,35 mins,55 mins,6 ,,6,288,10g,6g,121mg,697mg,13g,1g,2g,31g,6mg,34mg,2mg,492mg,4.6,772,
5,6738116,15 mins,35 mins,50 mins,4 ,4 servings,4,424,16g,5g,82mg,1528mg,34g,5g,2g,31g,18mg,34mg,2mg,310mg,4.6,477,
6,6586959,15 mins,30 mins,45 mins,4 ,4 servings,4,276,15g,8g,139mg,539mg,8g,0g,1g,26g,5mg,24mg,1mg,193mg,4.4,"1,371",
7,6737981,15 mins,20 mins,35 mins,4 ,4 servings,4,484,26g,15g,122mg,820mg,29g,2g,1g,27g,28mg,47mg,3mg,283mg,4.7,170,
8,6606452,10 mins,30 mins,40 mins,4 ,4 servings,4,334,16g,9g,100mg,943mg,18g,2g,1g,28g,29mg,102mg,2mg,305mg,5.0,6,
9,6663950,20 mins,15 mins,35 mins,4 ,4 servings,4,384,14g,8g,96mg,247mg,34g,5g,0g,31g,66mg,77mg,3mg,478mg,4.3,56,
10,6651149,15 mins,25 mins,40 mins,4 ,4 servings,4,391,21g,7g,90mg,1268mg,19g,1g,,29g,,,,375mg,4.9,43,
11,6573275,15 mins,15 mins,30 mins,4 ,4 servings,4,444,18g,3g,69mg,786mg,38g,5g,1g,33g,21mg,21mg,3mg,364mg,4.2,112,
12,6589943,20 mins,20 mins,40 mins,4 ,4 servings,4,397,10g,2g,66mg,262mg,41g,3g,2g,34g,53mg,74mg,4mg,579mg,4.5,13,
13,6604888,15 mins,25 mins,55 mins,6 ,6 servings,6,433,28g,12g,106mg,4578mg,21g,3g,0g,27g,30mg,69mg,2mg,293mg,5.0,1,15 mins
14,6571144,30 mins,45 mins, 3 hrs 15 mins,4 ,4 servings,4,370,7g,2g,72mg,261mg,28g,1g,10g,32g,20mg,131mg,2mg,570mg,4.2,40, 2 hrs
15,6563126,20 mins,30 mins,50 mins,4 ,4 servings,4,491,19g,10g,147mg,1661mg,40g,3g,3g,34g,13mg,142mg,4mg,385mg,,,
16,6596777,10 mins,25 mins,35 mins,4 ,4 servings,4,301,15g,8g,137mg,388mg,14g,1g,1g,26g,1mg,24mg,2mg,208mg,4.8,15,
