,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Yield:,Chill Time:
33,6737963,30 mins,10 mins, 2 hrs 10 mins,4 ,4,301,21g,9g,87mg,820mg,5g,1g,2g,23g,6mg,45mg,3mg,340mg,4.8,19, 1 hr 30 mins,,
34,6595515,20 mins,25 mins,45 mins,4 ,4,650,47g,23g,139mg,761mg,25g,2g,4g,31g,8mg,220mg,4mg,595mg,4.7,96,,,
35,6586101,,,,4 ,4,476,17g,7g,76mg,888mg,52g,6g,12g,29g,47mg,149mg,7mg,1070mg,4.3,36,,4 lahmahjoons,
36,6576386,25 mins,25 mins,55 mins,6 ,6,484,31g,13g,147mg,2071mg,16g,1g,2g,34g,2mg,130mg,4mg,471mg,4.7,71,5 mins,6 burgers,
37,6561787,25 mins, 1 hr 30 mins, 1 hr 55 mins,4 ,4,420,26g,8g,124mg,1284mg,22g,7g,8g,25g,11mg,84mg,3mg,808mg,4.8,117,,,
38,6584247,30 mins,45 mins, 1 hr 45 mins,8 ,8,364,23g,9g,80mg,664mg,16g,4g,1g,23g,3mg,33mg,3mg,389mg,5.0,2,30 mins,,
39,6577082,25 mins,20 mins, 1 hr 45 mins,24 ,24,136,10g,5g,45mg,145mg,3g,0g,1g,7g,3mg,18mg,1mg,142mg,4.4,22, 1 hr,24 servings,
40,6737676,45 mins, 1 hr 5 mins, 2 hrs 5 mins,8 ,8,449,28g,11g,111mg,1086mg,24g,3g,5g,25g,6mg,61mg,4mg,554mg,4.4,11,15 mins,1 9-inch pie,
41,6580879,30 mins, 2 hrs, 2 hrs 45 mins,12 ,12,402,25g,7g,91mg,1292mg,34g,3g,3g,26g,5mg,75mg,3mg,527mg,,,15 mins,12 servings,
42,6590246,45 mins, 2 hrs, 10 hrs 45 mins,8 ,8,332,18g,7g,60mg,462mg,22g,7g,4g,21g,19mg,194mg,4mg,827mg,4.6,51, 8 hrs,8 servings,
43,6606092,40 mins, 2 hrs 30 mins, 9 hrs 10 mins,15 ,15,511,22g,9g,103mg,1004mg,45g,2g,15g,33g,5mg,142mg,4mg,559mg,4.3,3, 6 hrs,15 servings,
44,6663872,15 mins,15 mins, 1 hr 30 mins,4 ,4,288,22g,9g,69mg,693mg,6g,1g,,16g,,,,286mg,4.8,6,,4 kebabs, 1 hr
45,6575866, 2 hrs,20 mins,1 day 3 hrs 20 mins,10 ,10,480,20g,6g,35mg,572mg,58g,4g,6g,17g,35mg,91mg,5mg,431mg,4.6,20,1 day 1 hr,10 individual pizzas,
46,6738788,10 mins,10 mins,20 mins,8 ,8,185,14g,6g,99mg,482mg,2g,0g,1g,14g,5mg,108mg,2mg,193mg,4.6,187,,8 servings,
47,6581964,20 mins,45 mins, 1 hr 5 mins,4 ,4,720,42g,10g,76mg,1471mg,62g,12g,3g,31g,108mg,236mg,7mg,1679mg,,,,4 servings,
48,6605945,15 mins, 1 hr, 1 hr 15 mins,6 ,6,490,27g,9g,107mg,693mg,37g,2g,16g,24g,4mg,67mg,4mg,453mg,4.4,127,,6 servings,
49,6589053,10 mins,20 mins,30 mins,6 ,6,306,11g,4g,51mg,445mg,34g,3g,6g,19g,11mg,67mg,4mg,526mg,4.7,43,,6 servings,
50,6586103,15 mins,45 mins, 1 hr,4 ,4,183,5g,2g,19mg,1119mg,29g,5g,10g,11g,54mg,66mg,4mg,1221mg,4.4,10,,4 servings,
51,6604744,10 mins,30 mins,40 mins,6 ,6,366,16g,5g,51mg,1052mg,34g,11g,6g,23g,10mg,120mg,6mg,410mg,4.6,53,,6 servings,
52,6589380,20 mins,8 mins,58 mins,30 ,30,60,4g,1g,28mg,91mg,3g,0g,1g,5g,1mg,8mg,1mg,67mg,5.0,2,30 mins,30 meatballs,
53,6599132,15 mins,30 mins,45 mins,18 ,18,222,14g,4g,27mg,247mg,16g,1g,2g,7g,32mg,17mg,1mg,165mg,4.4,16,,18 patties,
54,6663836,20 mins,50 mins, 1 hr 10 mins,10 ,10,192,14g,7g,58mg,542mg,4g,1g,2g,12g,13mg,32mg,1mg,276mg,3.9,8,,10 servings,
55,6568883,35 mins, 1 hr 40 mins, 2 hrs 35 mins,12 ,12,352,20g,7g,105mg,706mg,20g,1g,10g,23g,7mg,63mg,3mg,506mg,,,20 mins,12 servings,
56,6564965,30 mins,20 mins,50 mins,4 ,4,453,31g,13g,144mg,767mg,16g,1g,5g,26g,15mg,160mg,3mg,508mg,4.0,1,,4 servings,
57,6736888,30 mins,30 mins, 4 hrs 10 mins,6 ,6,346,16g,7g,96mg,1138mg,30g,1g,0g,20g,7mg,50mg,3mg,280mg,,, 3 hrs 10 mins,36 dumplings,
58,6579009,15 mins,15 mins, 1 hr,24 ,24,39,3g,1g,13mg,97mg,0g,0g,,3g,0mg,5mg,0mg,49mg,4.8,5,30 mins,24 meatballs,
59,6562064,15 mins, 1 hr 5 mins, 1 hr 20 mins,8 ,8,514,23g,8g,68mg,744mg,57g,8g,20g,24g,20mg,87mg,4mg,741mg,,,,8 servings,
60,6664248,30 mins, 1 hr, 1 hr 30 mins,5 ,5,389,19g,6g,61mg,146mg,33g,8g,7g,23g,45mg,129mg,7mg,1064mg,4.0,1,,5 servings,
61,6587659,30 mins, 2 hrs 35 mins, 3 hrs 5 mins,12 ,12,181,9g,3g,37mg,519mg,16g,2g,6g,12g,22mg,43mg,2mg,297mg,4.4,9,,12 servings,
