,id_recipe,Prep Time:,Cook Time:,Chill Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Freeze Time:,Yield:,Stand Time:,Cool Time:,Marinate Time:,Rest Time:,Refrigerate Time:,Additional Time:
0,7971118,20 mins,15 mins,10 mins,45 mins,4 ,4,694,44g,15g,170mg,1481mg,34g,3g,5g,43g,8mg,425mg,4mg,1024mg,,,,,,,,,,
1,7970457,5 mins,55 mins,, 1 hr,4 ,4,628,29g,12g,115mg,959mg,62g,7g,8g,26g,24mg,131mg,5mg,1755mg,,,,,,,,,,
2,7968978,15 mins,16 mins,,31 mins,2 ,2,996,43g,7g,107mg,4254mg,86g,8g,25g,51g,128mg,183mg,6mg,1503mg,,,,,,,,,,
3,7969063,10 mins,8 mins,,38 mins,4 ,4,470,22g,6g,120mg,662mg,32g,2g,4g,35g,4mg,166mg,5mg,456mg,,,20 mins,,,,,,,
4,7814376,15 mins,10 mins,,25 mins,6 ,6,580,26g,11g,139mg,1415mg,59g,5g,6g,27g,88mg,350mg,6mg,829mg,,,,,,,,,,
5,7969090,15 mins,50 mins,, 1 hr 5 mins,5 ,5,314,12g,4g,94mg,700mg,18g,1g,1g,32g,2mg,93mg,2mg,346mg,5.0,1,,,,,,,,
6,7968339,15 mins,10 mins,,25 mins,4 ,4,1892,145g,27g,224mg,2933mg,108g,5g,59g,40g,6mg,192mg,5mg,613mg,,,,4 burgers,,,,,,
7,7965584,15 mins,35 mins,,55 mins,8 ,8,569,44g,12g,103mg,813mg,15g,2g,4g,28g,4mg,240mg,3mg,567mg,4.3,3,,,5 mins,,,,,
8,7965161,20 mins,30 mins,,50 mins,2 ,2,628,42g,15g,162mg,1215mg,10g,1g,1g,47g,1mg,100mg,3mg,516mg,5.0,5,,,,,,,,
9,7963501,20 mins,25 mins,,45 mins,6 ,6,408,27g,13g,114mg,1095mg,28g,2g,4g,15g,40mg,68mg,2mg,467mg,5.0,1,,,,,,,,
10,7814308,10 mins,5 mins,,15 mins,8 ,8,196,7g,2g,8mg,485mg,27g,2g,5g,7g,2mg,106mg,2mg,149mg,5.0,2,,,,,,,,
11,7814108,10 mins,,,10 mins,4 ,4,105,4g,1g,49mg,254mg,6g,0g,5g,11g,4mg,53mg,1mg,203mg,,,,,,,,,,
12,7771488,5 mins,,,5 mins,1 ,1,168,9g,1g,0mg,924mg,20g,6g,2g,4g,9mg,69mg,2mg,385mg,,,,,,,,,,
13,7644847,15 mins,45 mins,, 1 hr,4 ,4,635,39g,19g,219mg,2457mg,35g,2g,5g,35g,50mg,348mg,2mg,614mg,5.0,2,,,,,,,,
14,7644619,15 mins,5 mins,,20 mins,4 ,4,448,19g,5g,21mg,703mg,56g,3g,4g,12g,32mg,113mg,4mg,273mg,,,,,,,,,,
15,7644701,20 mins,10 mins,,30 mins,,,4120,244g,105g,502mg,11108mg,288g,25g,39g,189g,43mg,3815mg,17mg,3067mg,4.0,1,,,,,,,,
16,7644167,5 mins,5 mins,,10 mins,1 ,1,810,59g,24g,152mg,1119mg,33g,2g,4g,36g,0mg,515mg,4mg,331mg,,,,1 chicken melt sandwich,,,,,,
17,7555292,20 mins,20 mins,,40 mins,4 ,4,486,18g,3g,116mg,1027mg,51g,7g,11g,35g,110mg,135mg,4mg,709mg,,,,16 fish sticks,,,,,,
18,7643060,20 mins,8 mins,,28 mins,4 ,4,353,10g,2g,360mg,2309mg,21g,3g,8g,44g,136mg,218mg,3mg,717mg,5.0,1,,,,,,,,
