,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Chill Time:,Vitamin C,Bake Time:,Cool Time:
0,6649915,20 mins,10 mins,30 mins, 1 hr,24 ,2 dozen cookies,24,185,10g,5g,28mg,82mg,22g,1g,12g,2g,27mg,1mg,43mg,4.5,131,,,,
1,6649336,30 mins,15 mins,,45 mins,36 ,3 dozen,36,104,5g,3g,14mg,37mg,14g,0g,8g,1g,3mg,0mg,9mg,4.7,"2,801",,,,
2,7255200,30 mins,12 mins,, 1 hr 42 mins,42 servings,42 cookies,42,98,5g,3g,15mg,65mg,12g,0g,6g,1g,17mg,0mg,22mg,4.5,2, 1 hr,0mg,,
3,6831196,30 mins,,, 1 hr 10 mins,24 ,24 cookies,24,135,8g,5g,26mg,65mg,15g,1g,,2g,,,32mg,4.7,9,,,10 mins,30 mins
4,6664280,30 mins,10 mins,,40 mins,36 ,3 dozen,36,82,4g,3g,22mg,29mg,11g,0g,5g,1g,4mg,0mg,12mg,4.6,"1,284",,0mg,,
5,6650281,20 mins,15 mins,15 mins,50 mins,20 ,20 to 24 cookies,20,139,5g,3g,23mg,33mg,23g,0g,15g,1g,6mg,0mg,18mg,4.5,87,,1mg,,
6,6584319,30 mins,30 mins, 1 hr, 2 hrs,84 ,7 dozen,84,90,4g,3g,16mg,43mg,12g,0g,6g,1g,10mg,0mg,16mg,4.4,328,,1mg,,
7,6595782,20 mins,30 mins,10 mins, 1 hr,50 ,50 cookies,50,114,4g,2g,13mg,2mg,18g,0g,4g,1g,3mg,0mg,19mg,2.5,2,,5mg,,
8,6584756,15 mins,15 mins,,30 mins,24 ,2 dozen cookies,24,195,12g,8g,35mg,6mg,21g,1g,6g,2g,9mg,1mg,29mg,3.3,8,,3mg,,
9,6599505,10 mins,20 mins,,30 mins,16 ,,16,212,12g,7g,31mg,128mg,26g,0g,13g,2g,31mg,1mg,20mg,5.0,1,,,,
10,6739454,30 mins,25 mins,,55 mins,48 ,4 dozen cookies,48,176,10g,5g,26mg,59mg,21g,1g,12g,2g,21mg,1mg,56mg,4.5,37,,0mg,,
11,6592234,20 mins,15 mins,5 mins,40 mins,24 ,24 cookies,24,126,8g,4g,31mg,90mg,12g,1g,6g,2g,8mg,1mg,32mg,4.6,122,,,,
12,6587206,30 mins,10 mins,,40 mins,48 ,48 cookies,48,102,7g,2g,12mg,41mg,10g,1g,5g,1g,7mg,0mg,26mg,4.6,36,,,,
13,6739598,15 mins,26 mins,5 mins,46 mins,60 ,5 dozen,60,105,6g,3g,19mg,92mg,12g,0g,9g,1g,23mg,0mg,44mg,4.5,92,,0mg,,
14,6738540,30 mins,10 mins,2 mins,42 mins,36 ,3 dozen,36,121,4g,3g,13mg,77mg,20g,0g,11g,1g,16mg,0mg,35mg,4.4,61,,,,
15,6576347,30 mins,20 mins, 4 hrs, 4 hrs 50 mins,30 ,30 cookies,30,132,6g,3g,14mg,70mg,18g,1g,11g,2g,7mg,1mg,51mg,4.7,12,,,,
16,6579116,20 mins,15 mins,,35 mins,24 ,48 cookies,24,173,11g,3g,8mg,78mg,18g,0g,8g,2g,3mg,1mg,17mg,4.8,41,,,,
17,6737961,20 mins,10 mins,,30 mins,48 ,4 dozen,48,77,4g,3g,14mg,41mg,10g,0g,6g,1g,4mg,0mg,10mg,4.3,210,,,,
18,6606435,20 mins,15 mins,5 mins,40 mins,24 ,24 macaroons,24,161,6g,5g,6mg,227mg,25g,2g,15g,2g,53mg,2mg,133mg,4.0,6,,0mg,,
19,6564233,20 mins,10 mins,,30 mins,30 ,30 cookies,30,114,5g,3g,23mg,117mg,16g,0g,7g,2g,23mg,1mg,21mg,,,,0mg,,
20,6596445,,,,,36 ,3 dozen,36,88,4g,2g,13mg,19mg,13g,0g,9g,1g,7mg,0mg,20mg,3.9,78,,,,
21,6593915,15 mins,10 mins, 3 hrs 5 mins, 3 hrs 30 mins,24 ,2 dozen cookies,24,197,11g,5g,20mg,77mg,23g,0g,15g,2g,25mg,1mg,26mg,4.7,27,,,,
22,6590585,20 mins,15 mins,,35 mins,36 ,36 cookies,36,120,7g,4g,14mg,53mg,13g,0g,7g,2g,4mg,0mg,32mg,4.4,44,,,,
