,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Servings:,Servings Per Recipe,Additional Time:,Yield:,Chill Time:,Stand Time:,Marinate Time:,Release Pressure Time:,Soak Time:,Active Time:
0,7970546,Creamy Gnocchi with Vegetables,5 mins,10 mins,15 mins,1457,53g,28g,227mg,660mg,203g,19g,24g,44g,53mg,624mg,12mg,1963mg,,,,,,,,,,,,
1,7775399,Waffle Fries,25 mins,25 mins,50 mins,190,14g,2g,6mg,314mg,15g,1g,2g,2g,6mg,12mg,1mg,368mg,,,8 ,8,,,,,,,,
2,7563822,Grilled Pattypan Squash With Garlic Butter,10 mins,10 mins,20 mins,313,31g,15g,61mg,636mg,11g,3g,6g,3g,15mg,77mg,1mg,469mg,,,2 ,2,,,,,,,,
3,7852451,Steak and Potato Foil Packets,15 mins,8 mins,23 mins,665,36g,17g,187mg,335mg,34g,5g,5g,50g,84mg,85mg,5mg,1406mg,5.0,1,4 ,4,,,,,,,,
4,7749884,Braised Red Potatoes,10 mins,40 mins,50 mins,234,13g,5g,15mg,108mg,26g,2g,3g,4g,18mg,25mg,1mg,728mg,,,4 ,4,,,,,,,,
5,7643113,Smoked Cabbage,10 mins, 1 hr 30 mins, 1 hr 40 mins,346,29g,4g,0mg,535mg,20g,7g,9g,6g,118mg,161mg,1mg,637mg,,,4 ,4,,,,,,,,
6,6593320,Smothered Cabbage,15 mins, 3 hrs, 3 hrs 35 mins,157,9g,3g,31mg,449mg,9g,4g,5g,10g,57mg,79mg,1mg,391mg,4.7,48,8 ,8,20 mins,,,,,,,
7,7629322,Baked Feta Cheese and Tomatoes,15 mins,20 mins,35 mins,182,15g,6g,29mg,401mg,8g,1g,6g,5g,8mg,181mg,1mg,167mg,4.7,3,6 ,6,,,,,,,,
8,6663635,Cabbage Steaks,15 mins,45 mins, 1 hr,92,5g,1g,0mg,17mg,13g,4g,6g,3g,80mg,106mg,0mg,424mg,4.6,144,6 ,6,,,,,,,,
9,7567917,Hash Brown and Bacon Omelet Cups,10 mins,35 mins,45 mins,311,22g,8g,124mg,561mg,17g,2g,1g,11g,8mg,151mg,1mg,287mg,4.6,18,12 ,12,,,,,,,,
10,7568012,Green Beans with Olives and Tomatoes,15 mins,5 mins,20 mins,109,6g,1g,0mg,215mg,14g,5g,7g,3g,24mg,76mg,1mg,392mg,,,4 ,4,,,,,,,,
11,7568010,Skillet Green Tomatoes with Crunchy Remoulade,15 mins,5 mins,20 mins,151,12g,2g,7mg,316mg,8g,1g,6g,4g,18mg,107mg,1mg,315mg,,,4 ,4,,,,,,,,
12,7552502,Cheesy Zucchini Rice,10 mins,22 mins,32 mins,1049,66g,39g,195mg,3995mg,76g,6g,9g,40g,37mg,1052mg,6mg,1063mg,4.8,4,,,,,,,,,,
13,7554356,Southern Baked Beans,10 mins,58 mins, 1 hr 8 mins,191,3g,1g,17mg,506mg,33g,5g,17g,11g,4mg,51mg,2mg,389mg,4.6,5,14 ,14,,,,,,,,
14,6663809,Southern Fried Apples,10 mins,10 mins,20 mins,369,23g,15g,61mg,165mg,45g,5g,39g,1g,7mg,49mg,1mg,174mg,4.7,266,4 ,4,,,,,,,,
15,7555578,Basic No-Soak Beans,5 mins, 1 hr 10 mins, 1 hr 15 mins,197,1g,0g,0mg,171mg,35g,9g,1g,12g,4mg,69mg,3mg,790mg,,,8 ,8,,,,,,,,
16,7556710,Copycat Waffle House Hash Browns,5 mins,10 mins,15 mins,1038,72g,22g,117mg,1553mg,75g,8g,8g,28g,17mg,1192mg,2mg,1523mg,5.0,2,,,,,,,,,,
17,7556788,Copycat Chick-Fil-A Honey Mustard,5 mins,0 mins,5 mins,34,0g,0g,0mg,108mg,8g,0g,8g,0g,0mg,6mg,0mg,17mg,,,16 ,16,,1 cup,,,,,,
18,7556719,Copycat Wendy’s Ranch Sauce,5 mins,,5 mins,114,12g,2g,11mg,137mg,1g,0g,1g,1g,0mg,19mg,0mg,26mg,,,8 ,8,,1 cup,,,,,,
19,7556586,Chive Butter,5 mins,0 mins, 2 hrs 5 mins,102,12g,7g,31mg,18mg,0g,0g,0g,0g,0mg,4mg,0mg,6mg,,,8 ,8,,, 1 hr, 1 hr,,,,
20,7551491,Not Your Mama's Collard Greens,40 mins, 1 hr, 2 hrs 10 mins,258,13g,6g,71mg,639mg,21g,10g,4g,19g,57mg,308mg,4mg,587mg,,,12 ,12,,,,,30 mins,,,
21,7497364,How to Make Gravy from Scratch,5 mins,10 mins,15 mins,87,7g,4g,17mg,168mg,5g,0g,1g,2g,0mg,4mg,0mg,69mg,5.0,1,8 ,8,,2 cups,,,,,,
22,7507206,How to Cook Jasmine Rice,5 mins,10 mins,25 mins,34,0g,0g,0mg,178mg,7g,0g,0g,1g,0mg,4mg,0mg,9mg,,,6 ,6,,3 cups cooked rice,,10 mins,,,,
23,7549519,Jollof Rice,15 mins,30 mins,45 mins,489,31g,9g,78mg,610mg,38g,6g,11g,18g,103mg,93mg,4mg,975mg,5.0,2,4 ,4,,,,,,,,
24,7509535,Air Fryer Green Bean Fries,20 mins,25 mins,45 mins,303,13g,2g,30mg,525mg,40g,4g,6g,8g,11mg,97mg,3mg,266mg,,,8 ,8,,,,,,,,
25,7511596,Frijoles Borrachos (Drunken Baked Beans),10 mins, 1 hr, 1 hr 10 mins,187,1g,0g,0mg,595mg,36g,8g,14g,7g,9mg,66mg,2mg,500mg,4.6,13,8 ,8,,,,,,,,
26,7511106,Instant Pot Baked Potatoes,5 mins,30 mins,35 mins,290,0g,0g,0mg,44mg,64g,7g,3g,8g,25mg,56mg,3mg,1645mg,,,4 ,4,,,,,,10 mins,,
27,7510925,Air Fryer Green Beans,12 mins,8 mins,20 mins,81,5g,1g,0mg,81mg,8g,3g,4g,2g,15mg,43mg,1mg,243mg,,,4 ,4,,,,,,,,
28,7488896,One-Pan Creamy Orzo,5 mins,15 mins,20 mins,246,15g,9g,45mg,726mg,18g,1g,2g,9g,1mg,195mg,1mg,111mg,5.0,3,3 servings,3,,,,,,,,
29,6649331,Zucchini Patties,20 mins,10 mins,30 mins,245,15g,5g,111mg,282mg,16g,1g,2g,13g,10mg,248mg,2mg,237mg,4.6,"2,679",4 ,4,,12 patties,,,,,,
