,id_recipe,Prep Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cook Time:,Yield:
0,6574145,15 mins,30 mins,45 mins,8 ,8,28,0g,0g,0mg,174mg,7g,2g,4g,1g,28mg,31mg,1mg,181mg,,,,
1,7509784,15 mins,,21 mins,6 ,6,206,10g,2g,66mg,854mg,23g,2g,2g,6g,2mg,89mg,2mg,164mg,5.0,1,6 mins,
2,6649594,10 mins,15 mins,50 mins,60 ,60,60,0g,,,176mg,14g,2g,12g,1g,4mg,15mg,1mg,246mg,4.5,279,25 mins,10 (1-pint) jars
3,6650098,15 mins,14 days 8 hrs,14 days 8 hrs 35 mins,48 ,48,8,,,,2mg,2g,1g,0g,1g,4mg,11mg,0mg,55mg,4.6,170,20 mins,6 (1/2-pint) jars
4,6588212,40 mins,,45 mins,32 ,32,14,0g,,,83mg,3g,0g,2g,0g,0mg,1mg,1mg,30mg,4.6,61,5 mins,1 1/2 cups
5,6648783,10 mins,3 days,3 days 20 mins,12 ,12,13,0g,,,444mg,3g,0g,2g,0g,2mg,13mg,5mg,86mg,4.6,387,10 mins,
6,6738384,5 mins,10 mins,20 mins,2 ,2,99,1g,0g,,2884mg,24g,2g,21g,1g,32mg,19mg,1mg,164mg,4.8,467,5 mins,2 (8-ounce) jars
7,6648311, 1 hr, 3 hrs, 4 hrs 30 mins,50 ,50,105,0g,0g,,938mg,26g,1g,22g,1g,8mg,26mg,1mg,194mg,4.8,434,30 mins,8 quarts
8,6581206,10 mins, 12 hrs, 12 hrs 35 mins,24 ,24,10,,,,585mg,2g,1g,0g,1g,6mg,26mg,0mg,92mg,4.7,101,25 mins,3 pints
9,6664971,45 mins,2 days 8 hrs,2 days 8 hrs 45 mins,10 ,10,233,24g,3g,,306mg,6g,2g,3g,1g,60mg,31mg,1mg,210mg,4.8,265,,
10,6600959,30 mins,1 day 4 hrs,1 day 5 hrs,96 ,96,20,0g,,,2mg,5g,0g,5g,0g,2mg,3mg,0mg,34mg,4.6,91,30 mins,3 quarts
11,6649433,25 mins, 1 hr, 1 hr 50 mins,24 ,24,49,0g,,,147mg,12g,0g,11g,0g,22mg,3mg,0mg,54mg,4.7,23,25 mins,3 (1/2-pint) jars
12,6650034,10 mins,40 mins,50 mins,8 ,8,51,2g,0g,,329mg,9g,1g,7g,1g,2mg,31mg,1mg,96mg,4.0,9,,
13,6736720,15 mins,10 days 2 hrs,10 days 2 hrs 15 mins,12 ,12,70,0g,0g,,728mg,17g,1g,12g,2g,10mg,50mg,1mg,338mg,4.6,288,,
14,6564975,30 mins, 2 hrs, 2 hrs 50 mins,15 ,15,41,0g,,,2157mg,10g,0g,9g,0g,1mg,12mg,0mg,33mg,4.5,62,20 mins,2 pints
15,6565847,10 mins, 12 hrs, 12 hrs 25 mins,32 ,32,11,,,,85mg,3g,1g,2g,0g,1mg,6mg,0mg,58mg,4.4,43,15 mins,4 cups
