,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:
0,6822993,Grandma's Sweet Potato Pie,15 mins,55 mins, 1 hr 10 mins,8 ,1 9-inch pie,8,500,21g,10g,91mg,270mg,72g,6g,33g,6g,5mg,87mg,2mg,639mg,4.5,2,
1,6650495,Sweet Potato Pie,15 mins, 1 hr 40 mins, 1 hr 55 mins,8 ,1 (9-inch) pie,8,389,21g,10g,78mg,254mg,48g,3g,28g,5g,1mg,49mg,1mg,251mg,4.8,"3,331",
2,6606003,Sweet Potato Pie from Eagle Brand,, 1 hr 5 mins, 1 hr 5 mins,8 ,1 9-inch pie,8,461,20g,9g,79mg,337mg,38g,3g,,6g,2mg,31mg,1mg,227mg,4.7,97,
3,6650099,World's Best Sweet Potato Pie,15 mins, 1 hr 35 mins, 3 hrs 5 mins,24 ,3 (9-inch) pies,24,301,17g,8g,64mg,244mg,32g,3g,12g,5g,2mg,74mg,1mg,271mg,4.8,36, 1 hr 15 mins
4,6568004,Old-Fashioned Sweet Potato Pie,10 mins,50 mins, 1 hr,8 ,8 servings,8,252,12g,5g,79mg,400mg,30g,2g,8g,7g,4mg,120mg,2mg,282mg,3.4,41,
5,6648883,Sweet Potato Pecan Pie,10 mins, 1 hr 30 mins, 1 hr 50 mins,8 ,1 9-inch pie,8,519,29g,12g,91mg,354mg,61g,4g,40g,6g,10mg,102mg,2mg,396mg,4.6,89,10 mins
6,6572844,Easy Sweet Potato Pie,,,,8 ,1 to 9 - inch pie,8,326,18g,8g,73mg,380mg,34g,3g,17g,7g,11mg,134mg,1mg,391mg,4.7,76,
7,6594858,Sweet Potato Pie II,20 mins,40 mins, 1 hr,8 ,1 to 9 - inch pie,8,449,22g,10g,82mg,361mg,60g,2g,38g,6g,4mg,97mg,2mg,256mg,4.7,399,
8,6737231,Sweetest Southern Sweet Potato Pie,30 mins, 1 hr 15 mins, 2 hrs 15 mins,8 ,1 9-inch pie,8,530,22g,11g,84mg,348mg,80g,2g,57g,6g,1mg,89mg,1mg,227mg,4.9,47,30 mins
9,6663521,Sweet Potato Pie VII,20 mins, 1 hr 10 mins, 1 hr 30 mins,8 ,1 to 9 - inch pie,8,310,12g,4g,55mg,374mg,47g,3g,29g,5g,10mg,47mg,1mg,295mg,4.8,230,
10,6598495,Mom's Sweet Potato Pie,15 mins,55 mins, 1 hr 10 mins,16 ,2 pies,16,257,11g,3g,35mg,183mg,36g,2g,21g,3g,1mg,25mg,1mg,150mg,4.6,14,
11,6584924,Mini Sweet Potato Pies,15 mins,15 mins,30 mins,24 ,,24,69,3g,1g,1mg,58mg,10g,1g,5g,2g,2mg,26mg,0mg,45mg,4.6,63,
12,6576996,Southern Sweet Potato Pie,20 mins, 1 hr, 1 hr 20 mins,16 ,2 9-inch pies,16,371,15g,7g,65mg,235mg,54g,3g,30g,5g,2mg,67mg,1mg,358mg,4.7,191,
13,6573785,Mimi's Southern Sweet Potato Pie,20 mins, 1 hr 10 mins, 1 hr 30 mins,16 ,2 9-inch pies,16,308,15g,6g,20mg,176mg,43g,1g,,3g,0mg,44mg,1mg,70mg,5.0,3,
14,6593501,Sweet Potato Pie IV,5 mins,10 mins,15 mins,8 ,1 to 9 - inch pie,8,523,30g,10g,76mg,345mg,57g,4g,35g,9g,9mg,184mg,2mg,412mg,4.5,40,
15,6575198,Sweet Potato Pie with Pecans,,,,8 ,1 to 9 inch pie,8,772,53g,21g,145mg,383mg,67g,4g,38g,9g,6mg,180mg,2mg,430mg,4.6,41,
16,6569066,Sweet Potato Pie with Evaporated Milk,20 mins,50 mins, 1 hr 10 mins,8 ,8 servings,8,782,45g,20g,123mg,571mg,85g,5g,50g,13g,5mg,265mg,3mg,541mg,4.2,6,
17,6572592,Grandaddy's Sweet Potato Meringue Pie,15 mins,55 mins, 1 hr 40 mins,8 ,1 9-inch pie,8,500,22g,10g,124mg,476mg,70g,6g,33g,8g,4mg,81mg,2mg,638mg,4.9,21,30 mins
18,6567306,Healthier Sweet Potato Pie I,30 mins,50 mins, 2 hrs 20 mins,8 ,1 9-inch pan,8,316,19g,9g,79mg,245mg,34g,2g,17g,4g,1mg,68mg,1mg,277mg,5.0,4, 1 hr
19,6599737,Sweet Potato Butternut Squash Pie,10 mins, 1 hr, 1 hr 10 mins,8 ,1 pie,8,399,12g,4g,100mg,250mg,65g,3g,34g,7g,9mg,106mg,2mg,413mg,4.3,12,
20,6605558,Sweet Potato Pie with Marshmallow Meringue Topping,20 mins,51 mins, 1 hr 11 mins,8 ,8 servings,8,508,22g,12g,130mg,424mg,73g,1g,56g,6g,10mg,72mg,2mg,244mg,4.3,15,
21,6595931,Goldilocks Sweet Potato Pie,15 mins, 1 hr, 1 hr 15 mins,8 ,1 9-inch pie,8,398,21g,10g,78mg,265mg,50g,2g,29g,5g,3mg,49mg,2mg,179mg,4.7,22,
22,6603397,Haupia and Purple Sweet Potato Pie,20 mins,53 mins, 5 hrs 13 mins,16 ,1 9x13-inch pan,16,405,28g,21g,62mg,149mg,37g,2g,21g,4g,1mg,30mg,3mg,188mg,5.0,2, 4 hrs
23,6606136,Sweet Potato and Carrot Pie,15 mins,30 mins,45 mins,8 ,1 pie,8,216,7g,2g,47mg,199mg,36g,2g,19g,4g,4mg,52mg,2mg,233mg,4.8,4,
24,6577953,Sarah Contona's Sweet Potato Pie,30 mins, 1 hr, 1 hr 30 mins,8 ,8 servings,8,558,24g,14g,108mg,381mg,76g,2g,42g,7g,27mg,69mg,2mg,411mg,4.6,32,
25,6572650,Mini Sweet Potato Pumpkin Pies,15 mins,15 mins,45 mins,6 ,6 mini pies,6,518,26g,12g,107mg,398mg,69g,5g,43g,5g,11mg,68mg,1mg,246mg,4.7,3,15 mins
26,6595490,Delicious Sweet Potato Pie Recipe,15 mins, 1 hr 25 mins, 2 hrs,8 ,1 9-inch pie,8,327,12g,4g,55mg,395mg,51g,3g,29g,5g,2mg,51mg,1mg,298mg,5.0,1,20 mins
