,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cool Time:
0,7255780,45 mins, 1 hr 5 mins, 4 hrs, 5 hrs 50 mins,10 ,1 (8-inch) cheesecake,10,848,58g,32g,212mg,555mg,66g,2g,59g,11g,0mg,145mg,3mg,271mg,5.0,1,
1,7101371,10 mins,10 mins,,30 mins,12 ,,12,162,4g,2g,8mg,141mg,32g,1g,,2g,,,,29mg,,,10 mins
2,6598884,15 mins, 5 hrs,, 5 hrs 15 mins,8 ,,8,465,26g,9g,134mg,1560mg,28g,4g,2g,28g,31mg,34mg,4mg,851mg,4.4,68,
3,6568739,15 mins, 3 hrs 15 mins,, 3 hrs 30 mins,8 ,,8,334,15g,5g,52mg,365mg,30g,5g,7g,18g,27mg,57mg,3mg,937mg,3.8,5,
4,6572584,10 mins, 1 hr 40 mins,10 mins, 2 hrs,10 ,,10,222,15g,5g,80mg,923mg,2g,0g,0g,15g,0mg,9mg,2mg,135mg,4.6,48,
5,6602820,10 mins,40 mins,,50 mins,12 ,1 loaf,12,242,9g,5g,23mg,395mg,36g,1g,5g,5g,0mg,70mg,2mg,103mg,4.7,53,
6,6586434,15 mins,30 mins,,45 mins,24 ,2 loaves,24,122,4g,3g,11mg,220mg,20g,1g,8g,2g,0mg,53mg,1mg,109mg,4.8,162,
7,6598824,15 mins,15 mins,,30 mins,6 ,,6,227,10g,2g,32mg,121mg,29g,2g,1g,5g,10mg,24mg,2mg,305mg,4.3,118,
8,6650394,5 mins,,,5 mins,1 ,,,,,,,,,,,,,,,,4.6,42,
9,6570161,25 mins, 2 hrs 25 mins,, 2 hrs 50 mins,4 ,4 lamb shanks,4,348,15g,5g,89mg,544mg,16g,3g,5g,30g,38mg,85mg,4mg,826mg,4.5,47,
10,6577186,20 mins, 1 hr,, 1 hr 20 mins,12 ,12 servings,12,222,5g,3g,42mg,361mg,39g,1g,14g,6g,1mg,104mg,2mg,108mg,4.8,49,
11,6663249,15 mins, 8 hrs,, 8 hrs 15 mins,8 ,,8,473,20g,7g,100mg,1281mg,50g,7g,7g,24g,55mg,68mg,3mg,1126mg,4.6,"2,063",
12,6649667,, 2 hrs 30 mins,, 2 hrs 30 mins,6 ,,6,839,41g,13g,147mg,3378mg,69g,12g,,50g,,,,2780mg,4.7,"1,388",
13,6663160,5 mins, 1 hr 30 mins,25 mins, 2 hrs,4 ,4 servings,4,417,28g,9g,146mg,1697mg,5g,0g,,28g,1mg,25mg,3mg,253mg,4.6,209,
14,6649506,5 mins,,,5 mins,1 ,,,,,,,,,,,,,,,,4.7,19,
15,6664783,15 mins, 6 hrs 15 mins,, 6 hrs 30 mins,6 ,,6,455,34g,11g,162mg,1877mg,5g,1g,2g,31g,4mg,28mg,3mg,307mg,4.8,"1,010",
16,6650895,30 mins, 2 hrs 30 mins,, 3 hrs,6 ,,6,528,25g,10g,96mg,1605mg,42g,5g,9g,29g,20mg,91mg,4mg,1015mg,4.9,"1,206",
