,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Soak Time:,Stand Time:,Yield:,Additional Time:
19,6650672,Grandma's Slow Cooker Vegetarian Chili,10 mins, 2 hrs, 2 hrs 10 mins,8 ,8,260,2g,0g,1mg,966mg,53g,13g,9g,12g,19mg,102mg,5mg,451mg,4.4,972,,,,
20,6587558,Slow Cooker 3-Bean Chili,10 mins, 4 hrs 10 mins, 4 hrs 20 mins,10 ,10,238,5g,1g,42mg,878mg,29g,9g,5g,20g,14mg,61mg,3mg,532mg,4.6,94,,,,
21,6581961,Mile High Green Chili,30 mins, 4 hrs 30 mins, 5 hrs,8 ,8,174,12g,5g,32mg,210mg,9g,2g,4g,8g,48mg,45mg,2mg,365mg,4.6,110,,,,
22,6663239,Quick Chili,10 mins,40 mins,50 mins,8 ,8,489,31g,12g,97mg,1909mg,27g,8g,6g,26g,19mg,86mg,5mg,633mg,4.7,572,,,,
23,6663906,Pressure Cooker Chili,10 mins,20 mins,35 mins,6 ,6,353,15g,5g,46mg,790mg,35g,12g,8g,22g,29mg,120mg,6mg,630mg,4.7,133,,,,5 mins
24,6739606,It's Chili by George!!,10 mins, 1 hr 40 mins, 1 hr 50 mins,10 ,10,305,14g,5g,55mg,1267mg,26g,7g,9g,22g,36mg,75mg,5mg,943mg,4.7,"3,225",,,,
25,6648325,Spicy Slow-Cooked Chili,20 mins, 4 hrs 10 mins, 4 hrs 30 mins,10 ,10,308,14g,6g,62mg,1024mg,22g,8g,4g,23g,21mg,130mg,5mg,483mg,4.7,239,,,,
26,6573982,Award Winning Chili Con Carne,15 mins, 2 hrs 20 mins, 2 hrs 35 mins,8 ,8,495,27g,9g,86mg,1212mg,29g,8g,9g,32g,34mg,101mg,7mg,1081mg,4.4,132,,,,
27,6737215,Easy Chili,20 mins, 1 hr 40 mins, 2 hrs,6 ,6,368,21g,8g,65mg,1106mg,27g,7g,10g,20g,38mg,58mg,4mg,808mg,4.7,408,,,,
28,6738617,My Chili,10 mins, 1 hr 30 mins, 1 hr 40 mins,8 ,8,482,31g,12g,97mg,1517mg,28g,7g,11g,25g,24mg,122mg,7mg,943mg,4.6,"1,356",,,,
29,6574767,Fantastic Black Bean Chili,20 mins, 1 hr 15 mins, 1 hr 35 mins,6 ,6,366,9g,2g,56mg,969mg,44g,18g,1g,30g,15mg,145mg,7mg,1101mg,4.5,"1,039",,,,
30,6596504,Hearty Vegan Slow-Cooker Chili,30 mins, 5 hrs 10 mins, 5 hrs 40 mins,15 ,15,134,2g,0g,,617mg,25g,7g,7g,6g,50mg,99mg,4mg,665mg,4.5,160,,,,
31,6649677,Award-Winning White Chicken Chili,15 mins, 8 hrs 5 mins, 8 hrs 20 mins,10 ,10,179,8g,4g,45mg,933mg,13g,1g,1g,15g,10mg,60mg,1mg,192mg,4.8,223,,,,
32,6586780,Slow-Cooked Stew Meat Chili,20 mins, 6 hrs 5 mins, 6 hrs 25 mins,8 ,8,268,9g,3g,23mg,967mg,30g,10g,7g,16g,22mg,96mg,6mg,522mg,4.6,24,,,,
