,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Chill Time:,Additional Time:
18,7509591,Air Fryer Loaded Egg Salad Sandwiches,15 mins,20 mins, 1 hr 40 mins,4 ,,4,473,26g,7g,389mg,934mg,35g,3g,6g,23g,3mg,172mg,5mg,413mg,,, 1 hr 5 mins,
19,6605305,Curried Egg Sandwiches,15 mins,,15 mins,4 ,,4,410,29g,5g,222mg,704mg,27g,1g,3g,10g,0mg,105mg,3mg,124mg,4.3,61,,
20,7090808,Beans and Greens Tartine,30 mins,35 mins, 1 hr 5 mins,4 ,4 tartines,4,514,32g,12g,55mg,977mg,38g,6g,,20g,,,,545mg,,,,
21,6664150,Meatball Sandwich,20 mins,20 mins,40 mins,4 ,4 meatball subs,4,781,32g,13g,141mg,1473mg,78g,6g,13g,44g,6mg,371mg,8mg,780mg,4.6,"1,170",,
22,6649702,Philly Steak Sandwich,15 mins,25 mins,40 mins,4 ,4 sandwiches,4,641,38g,14g,96mg,717mg,40g,3g,6g,35g,26mg,277mg,5mg,500mg,4.5,434,,
23,6649490,Slow Cooker Italian Beef,10 mins, 4 hrs 5 mins, 4 hrs 15 mins,10 ,,10,318,16g,6g,100mg,819mg,2g,0g,1g,39g,0mg,17mg,3mg,530mg,4.6,"2,683",,
24,6651120,Homemade Sloppy Joes,15 mins,55 mins, 1 hr 10 mins,6 ,,6,251,12g,5g,69mg,1002mg,14g,1g,12g,22g,22mg,25mg,2mg,442mg,4.7,700,,
25,6664292,Easy French Dip Sandwiches,5 mins,10 mins,15 mins,4 ,4 sandwiches,4,548,23g,12g,94mg,2310mg,41g,2g,4g,45g,,546mg,5mg,596mg,4.6,"1,079",,
26,6649203,Chicago-Style Hot Dog,10 mins,5 mins,15 mins,1 ,,1,726,34g,12g,56mg,2082mg,83g,9g,23g,26g,200mg,282mg,7mg,1319mg,4.8,302,,
27,6587727,Hawaiian Ham and Cheese Sliders,15 mins,35 mins,50 mins,12 ,12 sliders,12,484,17g,13g,99mg,899mg,47g,3g,1g,26g,2mg,174mg,1mg,151mg,4.8,192,,
28,6663438,Easy Slow Cooker French Dip,10 mins, 7 hrs, 7 hrs 10 mins,9 ,9 sandwiches,9,413,18g,7g,96mg,661mg,20g,1g,1g,39g,0mg,58mg,4mg,504mg,4.5,"4,194",,
29,6650032,Slow Cooker Buffalo Chicken Sandwiches,10 mins, 6 hrs, 6 hrs 10 mins,6 ,6 sandwiches,6,578,14g,4g,54mg,2902mg,81g,4g,5g,31g,1mg,197mg,5mg,396mg,4.4,"2,540",,
30,6585204,Monte Cristo Sandwich,5 mins,15 mins,20 mins,1 ,,1,641,34g,14g,298mg,1308mg,33g,1g,9g,49g,20mg,487mg,4mg,665mg,4.2,226,,
