,id_recipe,name,Prep Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cook Time:,Additional Time:,Rest Time:,Refrigerate Time:,Marinate Time:,Other Time Time:
46,6736949,Indian Fish Curry,15 mins, 1 hr 15 mins,4 ,,4,338,14g,1g,56mg,2715mg,12g,2g,5g,42g,10mg,69mg,2mg,940mg,4.6,247,30 mins,30 mins,,,,
47,6649975,Punjabi Chicken in Thick Gravy,25 mins, 1 hr 25 mins,8 ,,8,325,22g,7g,102mg,395mg,4g,1g,1g,28g,5mg,33mg,2mg,323mg,4.3,73, 1 hr,,,,,
48,6587188,Goan Pork Vindaloo,35 mins, 10 hrs 5 mins,8 ,,8,264,16g,5g,54mg,51mg,9g,2g,3g,20g,33mg,46mg,1mg,454mg,4.4,20, 1 hr 30 mins, 8 hrs,,,,
49,6600620,Crispy Vegetable Pakoras,20 mins,35 mins,6 ,,6,217,16g,2g,,406mg,16g,3g,4g,5g,26mg,39mg,2mg,215mg,4.6,112,15 mins,,,,,
50,6649239,Easy Chicken Curry,10 mins,40 mins,6 ,,6,247,11g,2g,68mg,82mg,8g,3g,2g,29g,6mg,51mg,3mg,460mg,3.8,101,30 mins,,,,,
51,6576954,Gujarati Kadhi,5 mins,25 mins,4 ,,4,185,9g,4g,16mg,100mg,19g,1g,14g,8g,111mg,263mg,1mg,508mg,3.6,5,20 mins,,,,,
52,6579578,Kheer (Rice Pudding),5 mins,35 mins,4 ,,4,513,33g,24g,10mg,99mg,48g,3g,22g,11g,2mg,195mg,4mg,627mg,4.5,205,30 mins,,,,,
53,6565967,Indian Lassi,15 mins,15 mins,6 ,,6,50,1g,1g,4mg,51mg,6g,,6g,4g,1mg,131mg,0mg,168mg,4.3,26,,,,,,
54,6664957,Air Fryer Pakoras,10 mins,40 mins,8 ,,8,81,1g,0g,,891mg,14g,3g,1g,4g,12mg,20mg,1mg,218mg,3.8,5,20 mins,10 mins,,,,
55,6737491,Indian Saffron Rice,5 mins,25 mins,6 ,6 servings,6,154,4g,3g,10mg,418mg,26g,0g,,3g,,13mg,1mg,35mg,4.4,152,20 mins,,,,,
56,6582907,Mild Curry Powder,2 mins,2 mins,20 ,1/4 cup,20,7,0g,,,1mg,1g,1g,,0g,0mg,11mg,1mg,19mg,4.4,51,,,,,,
57,6649283,Chicken Vindaloo,30 mins, 1 hr 5 mins,4 ,,4,417,12g,3g,70mg,785mg,50g,8g,11g,26g,60mg,140mg,8mg,1377mg,4.0,44,35 mins,,,,,
58,6663668,Creamy Cashew Chicken Curry,20 mins, 4 hrs 50 mins,8 ,,8,287,19g,5g,77mg,824mg,9g,2g,2g,22g,7mg,42mg,3mg,346mg,4.9,67,30 mins, 4 hrs,,,,
59,6650198,Bengali Chicken Curry with Potatoes,25 mins, 1 hr 25 mins,4 ,4 servings,4,368,10g,2g,59mg,200mg,42g,6g,8g,28g,36mg,71mg,3mg,1383mg,4.2,82, 1 hr,,,,,
60,6587181,Easy Palak Paneer,20 mins, 1 hr,6 ,,6,195,9g,3g,11mg,773mg,16g,6g,5g,15g,20mg,212mg,3mg,711mg,4.5,47,35 mins,5 mins,,,,
61,6739039,Spicy Vegan Potato Curry,30 mins, 1 hr,6 ,,6,407,20g,13g,,1176mg,51g,10g,6g,10g,44mg,107mg,7mg,1090mg,4.5,"1,142",30 mins,,,,,
62,6650295,Easy Baked Indian Samosas,30 mins, 1 hr 35 mins,16 ,32 samosas,16,315,19g,4g,,396mg,33g,4g,1g,5g,13mg,26mg,2mg,325mg,4.6,40,35 mins,30 mins,,,,
